year,total_return,annualized_return,downside_volatility,sharpe,days
2014,5.91246,55.0604253995388,0.05273193903532006,2.5496410529390032,121
2015,0.9527088487503201,0.9793420193267708,0.16307947955899216,1.142579283630012,247
2016,0.1054676307062099,0.10817443958348472,0.1497596931829231,0.701892032950189,246
2017,0.9195454383396378,0.9398409052298704,0.10236038095650853,4.657132561640273,248
2018,-0.21489753282632795,-0.21951678072099,0.12307689126717813,-1.116448782910092,246
2019,0.14949525333317215,0.15475811868676526,0.08302611581895376,1.1724238872586263,244
2020,0.14063689054320294,0.14183826467786487,0.3018318017158598,0.5964721909972582,250
2021,2.213033301722635,2.2898543318814233,0.1154289694383794,5.856153358389293,247
2022,-0.2845557412484696,-0.28938888980111244,0.2036640663958018,-0.7464108582877881,247
2023,0.6052189431287673,0.6270716726789225,0.15250480628515475,2.586357933002869,245
2024,0.504345002031245,0.5142859407188516,0.21415762019582163,1.4999851858963138,248
2025,0.05877646345654752,0.06000127901621921,0.1835061203785989,0.16046432195947988,247
2026,-0.10084438128796092,-0.329553758678237,0.17724575176249813,-1.537821297380304,67
