Ticker,Quantity,Avg_Price,Invested,Current_Price,Current_Amount
COFORGE.NS,10.160688,1160.54,11791.89,1764.6,17929.55
FACT.NS,7.140079,970.76,6931.28,952.25,6799.14
JINDWORLD.NS,32.295235,81.03,2617.02,36.8,1188.46
SURYAROSNI.NS,12.123089,318.35,3859.42,284.75,3452.05
GODFRYPHLP.NS,16.029471,1369.49,21952.28,3523.67,56482.51
GPIL.NS,12.692676,317.78,4033.46,239.27,3036.98
RITES.NS,9.460602,370.48,3504.95,258.48,2445.38
BANCOINDIA.NS,31.88331,443.94,14154.16,590.7,18833.47
TI.NS,39.222168,321.57,12612.72,480.75,18856.06
HINDZINC.NS,14.899531,554.97,8268.77,435.9,6494.71
MSTCLTD.NS,2.463998,843.15,2077.52,458.75,1130.36
SHARDAMOTR.NS,3.460371,2441.87,8449.78,1044.9,3615.74
DHANUKA.NS,1.220688,1735.0,2117.89,1624.8,1983.37
HGINFRA.NS,0.660888,1505.45,994.93,992.05,655.63
CHAMBLFERT.NS,2.297307,662.45,1521.86,544.85,1251.69
WELCORP.NS,5.679278,907.09,5151.64,848.45,4818.58
REFEX.NS,10.766935,433.43,4666.73,364.2,3921.32
THYROCARE.NS,17.972775,391.81,7041.83,430.03,7728.89
REDINGTON.NS,26.21054,268.66,7041.83,243.89,6392.49
CREDITACC.NS,1.692631,1403.2,2375.1,1403.2,2375.1
