Month,Date,Bank_Balance_Before_Investing,Portfolio_Value_Before_Liquidity,Total_Liquidation_Limit,Total_Liquidated,Investable_Amount_from_Bank_Balance,Investable_Amount_from_Liquidation,Investment,Bank_Balance_After_Investing,Portfolio_Value_After_Investing,Stocks_Affected
Jul 2014,2014-07-31,12000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,11000.0,1055.41,0
Aug 2014,2014-08-28,11000.0,1047.18,1003.932032,254.12,1000.0,254.12,1254.12,10000.0,2020.55,1
Sep 2014,2014-09-30,10000.0,2218.42,1018.201827,0.0,1000.0,0.0,1000.0,9000.0,3321.93,0
Oct 2014,2014-10-31,9000.0,3322.86,1026.904988,0.0,1000.0,0.0,1000.0,8000.0,4308.98,0
Nov 2014,2014-11-28,8000.0,4518.55,1043.212639,0.0,1000.0,0.0,1000.0,7000.0,5580.1,0
Dec 2014,2014-12-31,7000.0,5688.5,1057.374671,164.69,1000.0,164.69,1164.69,6000.0,6699.54,1
Jan 2015,2015-01-30,6000.0,6938.7,1078.2247,187.83,1000.0,187.83,1187.83,5000.0,7961.84,1
Feb 2015,2015-02-27,5000.0,8138.83,1094.902226,263.37,1000.0,263.37,1263.37,4000.0,9145.22,1
Mar 2015,2015-03-31,4000.0,9564.77,1130.397877,552.03,1000.0,552.03,1552.03,3000.0,10598.58,1
Apr 2015,2015-04-30,3000.0,11125.09,1177.090854,1177.09,1000.0,1177.09,2177.09,2000.0,12106.85,1
May 2015,2015-05-29,2000.0,12481.07,1206.755759,1206.76,1000.0,1206.76,2206.76,1000.0,13446.8,2
Jun 2015,2015-06-30,1000.0,13065.98,1172.164937,1172.16,1000.0,1172.16,2172.16,0.0,13940.51,2
Jul 2015,2015-07-31,0.0,15495.65,1291.303968,1291.3,0.0,1291.3,1291.3,0.0,15523.07,2
Aug 2015,2015-08-31,0.0,15369.93,1280.827651,1280.83,0.0,1280.83,1280.83,0.0,15279.05,3
Sep 2015,2015-09-30,0.0,14815.69,1234.640452,1234.64,0.0,1234.64,1234.64,0.0,14835.84,1
Oct 2015,2015-10-30,0.0,15673.73,1306.14407,1306.14,0.0,1306.14,1306.14,0.0,15699.53,1
Nov 2015,2015-11-30,0.0,15454.0,1287.833726,1287.83,0.0,1287.83,1287.83,0.0,15479.91,1
Dec 2015,2015-12-31,0.0,15741.16,1311.763079,1311.76,0.0,1311.76,1311.76,0.0,15798.88,2
Jan 2016,2016-01-29,0.0,14208.01,1184.000868,1148.71,0.0,1148.71,1148.71,0.0,14168.06,3
Feb 2016,2016-02-29,0.0,12852.16,1071.013278,1071.01,0.0,1071.01,1071.01,0.0,12771.46,1
Mar 2016,2016-03-31,0.0,14193.78,1182.814804,675.42,0.0,675.42,675.42,0.0,14246.37,2
Apr 2016,2016-04-29,0.0,14794.9,1232.908023,1232.91,0.0,1232.91,1232.91,0.0,14823.37,1
May 2016,2016-05-31,0.0,14966.3,1247.191962,0.0,0.0,0.0,0.0,0.0,14966.3,0
Jun 2016,2016-06-30,0.0,15589.6,1299.133562,41.07,0.0,41.07,41.07,0.0,15590.63,1
Jul 2016,2016-07-29,0.0,17108.32,1425.693541,443.29,0.0,443.29,443.29,0.0,17164.82,1
Aug 2016,2016-08-31,0.0,17966.7,1497.225226,96.14,0.0,96.14,96.14,0.0,17968.92,1
Sep 2016,2016-09-30,0.0,17574.83,1464.568843,19.05,0.0,19.05,19.05,0.0,17575.66,1
Oct 2016,2016-10-28,0.0,17354.12,1446.177013,1446.18,0.0,1446.18,1446.18,0.0,17402.71,1
Nov 2016,2016-11-30,0.0,16671.02,1389.251837,1389.25,0.0,1389.25,1389.25,0.0,16584.3,2
Dec 2016,2016-12-30,0.0,15833.24,1319.437077,680.9,0.0,680.9,680.9,0.0,15819.86,2
Jan 2017,2017-01-31,0.0,17223.7,1435.308503,3.38,0.0,3.38,3.38,0.0,17224.0,1
Feb 2017,2017-02-28,0.0,17995.77,1499.647132,0.0,0.0,0.0,0.0,0.0,17995.77,0
Mar 2017,2017-03-31,0.0,18663.41,1555.28436,0.0,0.0,0.0,0.0,0.0,18663.41,0
Apr 2017,2017-04-28,0.0,19457.04,1621.419793,0.0,0.0,0.0,0.0,0.0,19457.04,0
May 2017,2017-05-31,0.0,19888.14,1657.345194,0.0,0.0,0.0,0.0,0.0,19888.14,0
Jun 2017,2017-06-30,0.0,19859.36,1654.946821,1014.42,0.0,1014.42,1014.42,0.0,19851.93,1
Jul 2017,2017-07-31,0.0,21676.05,1806.337519,1806.34,0.0,1806.34,1806.34,0.0,21752.79,3
Aug 2017,2017-08-31,0.0,22102.65,1841.887539,1841.89,0.0,1841.89,1841.89,0.0,22079.51,2
Sep 2017,2017-09-29,0.0,22278.9,1856.57511,1072.42,0.0,1072.42,1072.42,0.0,22283.45,1
Oct 2017,2017-10-31,0.0,23346.72,1945.5601,0.0,0.0,0.0,0.0,0.0,23346.72,0
Nov 2017,2017-11-30,0.0,23640.62,1970.051525,0.0,0.0,0.0,0.0,0.0,23640.62,0
Dec 2017,2017-12-29,0.0,24634.41,2052.867351,189.47,0.0,189.47,189.47,0.0,24642.61,1
Jan 2018,2018-01-31,0.0,24055.13,2004.594447,683.28,0.0,683.28,683.28,0.0,24026.73,1
Feb 2018,2018-02-28,0.0,23246.64,1937.219753,0.0,0.0,0.0,0.0,0.0,23246.64,0
Mar 2018,2018-03-28,0.0,23507.27,1958.93898,1002.65,0.0,1002.65,1002.65,0.0,23474.99,1
Apr 2018,2018-04-30,0.0,27229.73,2269.144523,0.0,0.0,0.0,0.0,0.0,27229.73,0
May 2018,2018-05-31,0.0,27288.46,2274.038156,2274.04,0.0,2274.04,2274.04,0.0,27258.94,1
Jun 2018,2018-06-29,0.0,27498.82,2291.567956,591.73,0.0,591.73,591.73,0.0,27512.58,1
Jul 2018,2018-07-31,0.0,28892.65,2407.720912,2407.72,0.0,2407.72,2407.72,0.0,29096.07,5
Aug 2018,2018-08-31,0.0,33644.72,2803.726259,2803.73,0.0,2803.73,2803.73,0.0,33782.0,1
Sep 2018,2018-09-28,0.0,27958.5,2329.874926,2329.87,0.0,2329.87,2329.87,0.0,27817.1,1
Oct 2018,2018-10-31,0.0,29549.88,2462.489892,0.0,0.0,0.0,0.0,0.0,29549.88,0
Nov 2018,2018-11-30,0.0,29628.82,2469.068218,2469.07,0.0,2469.07,2469.07,0.0,29630.02,2
Dec 2018,2018-12-31,0.0,30842.96,2570.246382,2570.25,0.0,2570.25,2570.25,0.0,30835.28,2
Jan 2019,2019-01-31,0.0,30785.83,2565.486118,1775.64,0.0,1775.64,1775.64,0.0,30778.19,2
Feb 2019,2019-02-28,0.0,30741.72,2561.809966,1590.68,0.0,1590.68,1590.68,0.0,30666.55,1
Mar 2019,2019-03-29,0.0,33536.49,2794.707374,0.0,0.0,0.0,0.0,0.0,33536.49,0
Apr 2019,2019-04-30,0.0,34617.22,2884.768318,2884.77,0.0,2884.77,2884.77,0.0,34641.14,5
May 2019,2019-05-31,0.0,36899.13,3074.927523,3074.93,0.0,3074.93,3074.93,0.0,36674.76,5
Jun 2019,2019-06-28,0.0,37354.21,3112.850702,2321.65,0.0,2321.65,2321.65,0.0,37324.11,2
Jul 2019,2019-07-31,0.0,33756.81,2813.067249,2813.07,0.0,2813.07,2813.07,0.0,33575.18,2
Aug 2019,2019-08-30,0.0,34591.89,2882.657562,2882.66,0.0,2882.66,2882.66,0.0,34781.28,2
Sep 2019,2019-09-30,0.0,39534.1,3294.508251,3294.51,0.0,3294.51,3294.51,0.0,39765.75,3
Oct 2019,2019-10-31,0.0,39999.18,3333.264909,1748.6,0.0,1748.6,1748.6,0.0,40085.62,3
Nov 2019,2019-11-29,0.0,40628.89,3385.740424,1301.62,0.0,1301.62,1301.62,0.0,40631.79,2
Dec 2019,2019-12-31,0.0,41532.06,3461.004661,0.0,0.0,0.0,0.0,0.0,41532.06,0
Jan 2020,2020-01-31,0.0,43556.05,3629.671181,3048.9,0.0,3048.9,3048.9,0.0,43727.08,1
Feb 2020,2020-02-28,0.0,43055.54,3587.961961,486.53,0.0,486.53,486.53,0.0,43013.2,1
Mar 2020,2020-03-31,0.0,25042.8,2086.900331,0.0,0.0,0.0,0.0,0.0,25042.8,0
Apr 2020,2020-04-30,0.0,27388.98,2282.414928,2282.41,0.0,2282.41,2282.41,0.0,27928.67,3
May 2020,2020-05-29,0.0,25364.67,2113.722771,2113.72,0.0,2113.72,2113.72,0.0,25440.05,2
Jun 2020,2020-06-30,0.0,31531.38,2627.614707,2041.67,0.0,2041.67,2041.67,0.0,31603.12,2
Jul 2020,2020-07-30,0.0,35384.07,2948.672356,2492.7,0.0,2492.7,2492.7,0.0,35495.55,4
Aug 2020,2020-08-31,0.0,38596.79,3216.398804,0.0,0.0,0.0,0.0,0.0,38596.79,0
Sep 2020,2020-09-30,0.0,38101.17,3175.097601,0.0,0.0,0.0,0.0,0.0,38101.17,0
