Ticker,Avg_Holding_Days,Avg_Holding_Months,Avg_Return_Pct
FDC.NS,60.0,1.97,-2.76
IGL.NS,354.9,11.66,53.27
ENGINERSIN.NS,391.9,12.88,-27.62
BERGEPAINT.NS,58.0,1.91,-1.16
AIAENG.NS,58.2,1.91,-12.44
CENTURYPLY.NS,57.0,1.87,-6.44
ICRA.NS,57.0,1.87,-4.36
BALKRISIND.NS,452.1,14.85,33.45
AJANTPHARM.NS,420.0,13.8,72.54
ASTRAL.NS,357.5,11.74,2.2
TORNTPHARM.NS,537.6,17.66,60.17
HINDUNILVR.NS,271.3,8.91,22.72
NAUKRI.NS,394.0,12.94,8.35
KKCL.NS,272.0,8.93,1.17
ECLERX.NS,758.9,24.93,71.6
KAJARIACER.NS,318.0,10.45,9.58
BRITANNIA.NS,289.0,9.49,2.33
MUNJALSHOW.NS,270.0,8.87,-7.0
JUBLFOOD.NS,361.0,11.86,-34.7
RATNAMANI.NS,581.6,19.11,12.58
INFY.NS,410.1,13.47,26.63
VINATIORGA.NS,319.0,10.48,4.03
ZENSARTECH.NS,685.2,22.51,3.21
VGUARD.NS,407.3,13.38,46.98
BAJFINANCE.NS,529.8,17.4,151.22
VAKRANGEE.NS,338.0,11.1,115.3
RECLTD.NS,279.6,9.19,-20.88
TIDEWATER.NS,438.8,14.42,28.68
TVSSRICHAK.NS,578.0,18.99,39.64
AARTIIND.NS,691.4,22.71,88.85
VSTIND.NS,1001.5,32.9,532.45
KRBL.NS,176.0,5.78,-13.36
RUPA.NS,176.0,5.78,-11.17
NBCC.NS,180.0,5.91,-19.96
WIPRO.NS,204.1,6.7,-10.33
DIVISLAB.NS,74.3,2.44,-8.35
GREENPLY.NS,272.8,8.96,-31.39
NAVNETEDUL.NS,455.0,14.95,-31.51
BAJAJ-AUTO.NS,1644.1,54.01,249.05
PERSISTENT.NS,397.1,13.05,111.65
RELAXO.NS,434.1,14.26,41.26
PAGEIND.NS,379.1,12.45,1.94
COLPAL.NS,59.3,1.95,-7.16
AUROPHARMA.NS,283.0,9.3,4.14
PCJEWELLER.NS,469.2,15.41,-87.94
TCS.NS,407.4,13.38,3.63
APLLTD.NS,331.6,10.89,-2.92
OFSS.NS,398.7,13.1,17.67
GULFOILLUB.NS,153.2,5.03,-8.17
AVANTIFEED.NS,574.5,18.87,-0.94
CHOLAFIN.NS,572.1,18.79,-29.15
BPCL.NS,372.1,12.23,-3.77
HINDPETRO.NS,356.3,11.7,-25.32
ALKYLAMINE.NS,385.3,12.66,158.16
BHARATRAS.NS,393.7,12.93,64.46
TECHM.NS,1617.3,53.13,144.87
CAPLIPOINT.NS,392.0,12.88,46.01
DHANUKA.NS,413.3,13.58,-7.83
BEL.NS,405.1,13.31,101.05
SHARDACROP.NS,420.9,13.83,-15.23
COFORGE.NS,71.2,2.34,-9.31
STLTECH.NS,484.0,15.9,-30.85
KPRMILL.NS,406.4,13.35,13.51
SUDARSCHEM.NS,854.5,28.07,16.35
LUXIND.NS,270.0,8.87,-52.7
EKC.NS,82.5,2.71,-41.36
DWARKESH.NS,60.0,1.97,-16.47
DCMSHRIRAM.NS,483.0,15.87,-6.37
SONATSOFTW.NS,1038.9,34.13,166.12
FCL.NS,120.0,3.94,-18.74
KEI.NS,426.3,14.01,64.45
FACT.NS,360.1,11.83,82.22
COCHINSHIP.NS,77.4,2.54,-6.73
MANGCHEFER.NS,240.0,7.88,-24.5
GNA.NS,91.0,2.99,-19.48
GHCL.NS,334.0,10.97,-17.06
GOKULAGRO.NS,58.0,1.91,-9.91
BALRAMCHIN.NS,568.4,18.67,-2.32
ASAL.NS,730.5,24.0,423.12
COALINDIA.NS,349.0,11.46,57.52
TVSMOTOR.NS,394.0,12.94,68.44
SOLARINDS.NS,393.0,12.91,45.49
UGARSUGAR.NS,105.5,3.47,-25.48
TI.NS,370.6,12.17,44.91
REFEX.NS,220.3,7.24,112.18
TEMBO.NS,58.0,1.91,-0.69
SAKSOFT.NS,87.0,2.86,-3.34
PITTIENG.NS,547.8,18.0,114.19
SALASAR.NS,395.5,12.99,108.15
UTTAMSUGAR.NS,394.0,12.94,24.41
MOLDTECH.NS,90.0,2.96,-13.66
BANCOINDIA.NS,393.0,12.91,175.04
GPTINFRA.NS,394.6,12.96,159.06
GRAVITA.NS,394.6,12.96,125.32
ACE.NS,395.0,12.98,243.69
PRECWIRE.NS,417.7,13.72,96.96
POLYPLEX.NS,866.2,28.45,-37.75
AARTIDRUGS.NS,1287.9,42.31,-26.95
HAL.NS,426.9,14.02,93.41
HINDZINC.NS,896.3,29.44,99.56
MSTCLTD.NS,60.0,1.97,-2.9
GEEKAYWIRE.NS,405.4,13.32,83.48
NEWGEN.NS,411.7,13.52,66.02
NMDC.NS,256.3,8.42,-74.75
PCBL.NS,106.4,3.49,-24.6
IIFLSEC.NS,131.3,4.31,-41.32
GRANULES.NS,163.9,5.38,-23.5
GPIL.NS,546.0,17.94,-69.43
MUTHOOTFIN.NS,86.0,2.83,-0.12
GODFRYPHLP.NS,488.8,16.06,9.08
SHARDAMOTR.NS,340.5,11.18,-57.0
SUVENPHAR.NS,91.0,2.99,-7.08
GOKEX.NS,585.9,19.25,-19.62
ASTRAZEN.NS,137.8,4.53,-1.26
