Ticker,Quantity,Avg_Buy_Price,Invested_Amount,Current_Price,Current_Amount,Percent_of_Portfolio,Month,Date
RECLTD.NS,2.889102,57.69,166.67,34.17,98.73,0.473,Apr 2016,2016-04-29
LAOPALA.NS,2.439183,196.3,478.82,268.75,655.53,3.143,Apr 2016,2016-04-29
ADANIPORTS.NS,0.505848,329.48,166.67,227.79,115.23,0.552,Apr 2016,2016-04-29
HINDZINC.NS,2.773303,60.1,166.67,71.61,198.59,0.952,Apr 2016,2016-04-29
HERITGFOOD.NS,4.120081,95.26,392.49,119.42,492.0,2.359,Apr 2016,2016-04-29
NOCIL.NS,12.558241,39.24,492.74,46.49,583.78,2.799,Apr 2016,2016-04-29
WIPRO.NS,1.387755,106.04,147.16,99.83,138.54,0.664,Apr 2016,2016-04-29
ZENSARTECH.NS,1.196354,178.89,214.01,172.55,206.43,0.99,Apr 2016,2016-04-29
VAKRANGEE.NS,2.164522,56.49,122.27,88.47,191.5,0.918,Apr 2016,2016-04-29
TATASTEEL.NS,27.088213,5.48,148.5,7.72,209.14,1.003,Apr 2016,2016-04-29
HINDPETRO.NS,1.840455,70.32,129.43,82.07,151.05,0.724,Apr 2016,2016-04-29
KEC.NS,1.276702,101.38,129.43,118.08,150.75,0.723,Apr 2016,2016-04-29
BAJFINANCE.NS,8.142797,337.9,2751.44,741.14,6034.95,27.945,May 2016,2016-05-31
AARTIIND.NS,23.109189,79.6,1839.59,122.97,2841.76,13.159,May 2016,2016-05-31
HAVELLS.NS,4.381174,239.63,1049.87,340.76,1492.92,6.913,May 2016,2016-05-31
ATUL.NS,0.434914,1102.93,479.68,1811.28,787.75,3.648,May 2016,2016-05-31
CHOLAFIN.NS,3.462492,121.78,421.66,188.66,653.22,3.025,May 2016,2016-05-31
AJANTPHARM.NS,0.620881,536.87,333.33,942.64,585.27,2.71,May 2016,2016-05-31
KAJARIACER.NS,1.091567,327.43,357.41,508.42,554.97,2.57,May 2016,2016-05-31
M&M.NS,0.263245,633.12,166.67,602.17,158.52,0.734,May 2016,2016-05-31
CANFINHOME.NS,18.367338,122.22,2244.79,227.24,4173.87,19.327,May 2016,2016-05-31
LICHSGFIN.NS,0.665079,300.72,200.0,391.53,260.4,1.206,May 2016,2016-05-31
VSTIND.NS,133.304375,4.92,655.28,7.55,1006.2,4.659,May 2016,2016-05-31
RECLTD.NS,2.889102,57.69,166.67,30.67,88.61,0.41,May 2016,2016-05-31
LAOPALA.NS,2.439183,196.3,478.82,256.07,624.61,2.892,May 2016,2016-05-31
ADANIPORTS.NS,0.505848,329.48,166.67,183.75,92.95,0.43,May 2016,2016-05-31
HINDZINC.NS,2.773303,60.1,166.67,71.04,197.03,0.912,May 2016,2016-05-31
HERITGFOOD.NS,4.120081,95.26,392.49,120.29,495.62,2.295,May 2016,2016-05-31
NOCIL.NS,12.558241,39.24,492.74,40.37,506.98,2.348,May 2016,2016-05-31
WIPRO.NS,1.387755,106.04,147.16,98.22,136.31,0.631,May 2016,2016-05-31
ZENSARTECH.NS,1.196354,178.89,214.01,167.57,200.48,0.928,May 2016,2016-05-31
VAKRANGEE.NS,2.164522,56.49,122.27,80.27,173.76,0.805,May 2016,2016-05-31
TATASTEEL.NS,27.088213,5.48,148.5,7.35,199.16,0.922,May 2016,2016-05-31
HINDPETRO.NS,1.840455,70.32,129.43,89.23,164.22,0.76,May 2016,2016-05-31
KEC.NS,1.276702,101.38,129.43,130.35,166.42,0.771,May 2016,2016-05-31
BAJFINANCE.NS,8.202758,340.88,2796.19,780.98,6406.15,28.771,Jun 2016,2016-06-30
AARTIIND.NS,23.473582,80.28,1884.35,123.25,2893.24,12.994,Jun 2016,2016-06-30
HAVELLS.NS,4.381174,239.63,1049.87,339.3,1486.55,6.676,Jun 2016,2016-06-30
ATUL.NS,0.434914,1102.93,479.68,1976.54,859.63,3.861,Jun 2016,2016-06-30
CHOLAFIN.NS,1.998636,127.58,255.0,183.43,366.62,1.647,Jun 2016,2016-06-30
AJANTPHARM.NS,0.620881,536.87,333.33,932.34,578.87,2.6,Jun 2016,2016-06-30
KAJARIACER.NS,1.091567,327.43,357.41,562.39,613.89,2.757,Jun 2016,2016-06-30
M&M.NS,0.263245,633.12,166.67,651.19,171.42,0.77,Jun 2016,2016-06-30
CANFINHOME.NS,18.564328,123.33,2289.54,229.74,4265.05,19.155,Jun 2016,2016-06-30
LICHSGFIN.NS,0.665079,300.72,200.0,411.7,273.82,1.23,Jun 2016,2016-06-30
VSTIND.NS,139.258757,5.03,700.03,7.73,1076.8,4.836,Jun 2016,2016-06-30
RECLTD.NS,2.889102,57.69,166.67,33.23,96.0,0.431,Jun 2016,2016-06-30
LAOPALA.NS,2.439183,196.3,478.82,257.59,628.32,2.822,Jun 2016,2016-06-30
ADANIPORTS.NS,0.505848,329.48,166.67,197.81,100.06,0.449,Jun 2016,2016-06-30
HINDZINC.NS,2.773303,60.1,166.67,75.12,208.34,0.936,Jun 2016,2016-06-30
HERITGFOOD.NS,4.120081,95.26,392.49,121.01,498.56,2.239,Jun 2016,2016-06-30
NOCIL.NS,12.558241,39.24,492.74,46.02,577.87,2.595,Jun 2016,2016-06-30
WIPRO.NS,1.387755,106.04,147.16,100.48,139.44,0.626,Jun 2016,2016-06-30
ZENSARTECH.NS,1.463173,176.85,258.77,171.47,250.9,1.127,Jun 2016,2016-06-30
VAKRANGEE.NS,2.164522,56.49,122.27,84.33,182.53,0.82,Jun 2016,2016-06-30
TATASTEEL.NS,27.088213,5.48,148.5,7.08,191.78,0.861,Jun 2016,2016-06-30
HINDPETRO.NS,1.840455,70.32,129.43,98.07,180.49,0.811,Jun 2016,2016-06-30
KEC.NS,1.276702,101.38,129.43,135.57,173.09,0.777,Jun 2016,2016-06-30
ARVIND.NS,0.419343,106.72,44.75,111.48,46.75,0.21,Jun 2016,2016-06-30
BAJFINANCE.NS,8.239804,342.94,2825.74,1013.84,8353.88,32.51,Jul 2016,2016-07-29
AARTIIND.NS,23.710652,80.72,1913.9,131.41,3115.86,12.126,Jul 2016,2016-07-29
HAVELLS.NS,4.381174,239.63,1049.87,367.35,1609.43,6.263,Jul 2016,2016-07-29
ATUL.NS,0.434914,1102.93,479.68,1861.52,809.6,3.151,Jul 2016,2016-07-29
CHOLAFIN.NS,2.154813,132.05,284.54,211.68,456.13,1.775,Jul 2016,2016-07-29
AJANTPHARM.NS,0.620881,536.87,333.33,1105.81,686.58,2.672,Jul 2016,2016-07-29
KAJARIACER.NS,1.091567,327.43,357.41,592.17,646.39,2.515,Jul 2016,2016-07-29
CANFINHOME.NS,18.693259,124.06,2319.09,253.38,4736.58,18.433,Jul 2016,2016-07-29
LICHSGFIN.NS,0.665079,300.72,200.0,432.5,287.64,1.119,Jul 2016,2016-07-29
VSTIND.NS,139.258757,5.03,700.03,9.27,1290.37,5.022,Jul 2016,2016-07-29
RECLTD.NS,2.889102,57.69,166.67,40.65,117.44,0.457,Jul 2016,2016-07-29
LAOPALA.NS,2.439183,196.3,478.82,257.31,627.64,2.443,Jul 2016,2016-07-29
ADANIPORTS.NS,0.505848,329.48,166.67,222.24,112.42,0.437,Jul 2016,2016-07-29
HINDZINC.NS,2.773303,60.1,166.67,84.86,235.34,0.916,Jul 2016,2016-07-29
HERITGFOOD.NS,4.120081,95.26,392.49,149.47,615.82,2.397,Jul 2016,2016-07-29
NOCIL.NS,12.558241,39.24,492.74,49.78,625.17,2.433,Jul 2016,2016-07-29
WIPRO.NS,1.387755,106.04,147.16,98.5,136.7,0.532,Jul 2016,2016-07-29
ZENSARTECH.NS,1.463173,176.85,258.77,185.72,271.74,1.057,Jul 2016,2016-07-29
VAKRANGEE.NS,2.164522,56.49,122.27,83.48,180.69,0.703,Jul 2016,2016-07-29
TATASTEEL.NS,27.088213,5.48,148.5,10.01,271.27,1.056,Jul 2016,2016-07-29
HINDPETRO.NS,1.840455,70.32,129.43,125.81,231.56,0.901,Jul 2016,2016-07-29
KEC.NS,1.276702,101.38,129.43,134.87,172.19,0.67,Jul 2016,2016-07-29
ARVIND.NS,0.419343,106.72,44.75,105.48,44.23,0.172,Jul 2016,2016-07-29
BPCL.NS,0.271727,108.74,29.55,118.04,32.07,0.125,Jul 2016,2016-07-29
TVTODAY.NS,0.111432,265.17,29.55,266.78,29.73,0.116,Jul 2016,2016-07-29
BAJFINANCE.NS,8.239804,342.94,2825.74,1076.25,8868.07,30.832,Aug 2016,2016-08-31
