Ticker,Avg_Holding_Days,Avg_Holding_Months,Avg_Return_Pct
JSWSTEEL.NS,149.5,4.91,-0.49
HERITGFOOD.NS,239.0,7.85,43.5
ARVIND.NS,109.4,3.6,-17.55
BPCL.NS,604.1,19.85,18.57
TATASTEEL.NS,372.4,12.23,101.16
ASTRAL.NS,197.0,6.47,-6.28
VTL.NS,395.0,12.98,135.52
VAKRANGEE.NS,552.5,18.15,-17.17
CHOLAFIN.NS,432.7,14.21,54.16
LT.NS,355.9,11.69,69.25
AARTIIND.NS,1060.9,34.85,244.49
WHEELS.NS,378.3,12.43,-11.68
KPRMILL.NS,940.7,30.9,9.31
BBTC.NS,546.0,17.94,55.84
BLUEDART.NS,301.0,9.89,-8.82
TATAELXSI.NS,486.0,15.97,210.17
SONATSOFTW.NS,58.8,1.93,-8.19
M&M.NS,278.3,9.14,-5.72
NOCIL.NS,338.1,11.11,50.75
GREENPLY.NS,59.0,1.94,-14.49
JKTYRE.NS,368.6,12.11,-17.34
TVTODAY.NS,214.0,7.03,-7.65
FINCABLES.NS,564.4,18.54,-35.49
LAOPALA.NS,704.6,23.15,34.21
KEC.NS,308.0,10.12,68.75
HIMATSEIDE.NS,119.0,3.91,-1.66
HINDPETRO.NS,295.3,9.7,65.08
KRBL.NS,149.0,4.89,-0.17
DCMSHRIRAM.NS,190.6,6.26,-12.53
ATUL.NS,1265.6,41.58,119.41
CEATLTD.NS,132.5,4.35,-25.93
MRF.NS,194.3,6.38,-8.91
APLAPOLLO.NS,226.7,7.45,40.83
VSTIND.NS,887.4,29.15,466.0
TIDEWATER.NS,432.1,14.2,45.99
FINPIPE.NS,264.7,8.7,23.81
TRIDENT.NS,198.2,6.51,-13.33
CANFINHOME.NS,931.7,30.61,218.95
EICHERMOT.NS,190.5,6.26,-13.52
IOC.NS,311.7,10.24,-19.97
NAVINFLUOR.NS,255.6,8.4,37.2
LICHSGFIN.NS,1366.0,44.88,49.22
RECLTD.NS,911.3,29.94,-18.22
ADANIPORTS.NS,1184.0,38.9,16.99
ZENSARTECH.NS,943.5,30.99,26.89
JCHAC.NS,120.0,3.94,-14.19
GHCL.NS,275.1,9.04,-8.72
KNRCON.NS,110.2,3.62,-16.45
CHAMBLFERT.NS,275.0,9.03,-12.64
IIFL.NS,98.6,3.24,-33.42
NILKAMAL.NS,78.0,2.56,-14.94
ESCORTS.NS,330.6,10.86,16.65
VOLTAS.NS,152.0,4.99,-1.43
GAIL.NS,244.0,8.02,-2.31
MARUTI.NS,103.7,3.41,-5.14
BLUESTARCO.NS,228.3,7.5,38.61
TVSSRICHAK.NS,484.0,15.9,-48.29
MANAPPURAM.NS,393.6,12.93,25.02
RELIANCE.NS,317.0,10.41,44.69
JKPAPER.NS,190.9,6.27,-12.63
BALMLAWRIE.NS,60.0,1.97,-5.06
SRF.NS,426.2,14.0,66.45
TTKPRESTIG.NS,302.0,9.92,-0.84
NBCC.NS,1121.1,36.83,-76.23
TORNTPHARM.NS,395.0,12.98,59.43
HEIDELBERG.NS,160.5,5.27,-7.38
SUVEN.NS,393.0,12.91,286.3
MOIL.NS,97.1,3.19,-6.15
GAEL.NS,108.0,3.55,21.86
MUTHOOTFIN.NS,690.7,22.69,109.2
VENKEYS.NS,61.0,2.0,-20.07
CGCL.NS,423.0,13.9,155.14
JINDALSAW.NS,263.0,8.64,-17.07
PNCINFRA.NS,56.2,1.85,-1.1
VAIBHAVGBL.NS,121.0,3.98,-18.04
GUJGASLTD.NS,332.0,10.91,-5.19
JUBLFOOD.NS,171.9,5.65,-33.3
BHARATRAS.NS,543.0,17.84,62.43
TATACHEM.NS,245.8,8.08,20.48
FACT.NS,210.0,6.9,-0.36
BSOFT.NS,58.0,1.91,-1.72
CARBORUNIV.NS,58.0,1.91,-2.56
REDINGTON.NS,313.0,10.28,-15.62
ALOKINDS.NS,60.0,1.97,-13.5
BAJFINANCE.NS,2745.3,90.19,1672.44
RATNAMANI.NS,455.0,14.95,47.28
PRESTIGE.NS,120.0,3.94,-4.58
USHAMART.NS,89.8,2.95,-1.09
NIITLTD.NS,91.0,2.99,-23.6
WELCORP.NS,275.2,9.04,24.67
ANDHRSUGAR.NS,90.4,2.97,-7.87
TATAPOWER.NS,121.0,3.98,-2.41
ESTER.NS,58.0,1.91,-13.66
PRAJIND.NS,148.0,4.86,-7.96
GPIL.NS,116.0,3.81,-9.93
JINDALSTEL.NS,142.5,4.68,-11.17
DLINKINDIA.NS,300.2,9.86,81.19
RADICO.NS,455.0,14.95,65.82
WSTCSTPAPR.NS,89.3,2.93,-10.29
RHIM.NS,395.0,12.98,41.08
NACLIND.NS,91.0,2.99,-17.18
GLOBUSSPR.NS,59.0,1.94,-29.8
VOLTAMP.NS,59.0,1.94,-3.79
UGARSUGAR.NS,136.3,4.48,-26.96
KOTARISUG.NS,90.0,2.96,-0.82
GENUSPOWER.NS,58.0,1.91,-13.36
JWL.NS,542.6,17.83,542.01
REFEX.NS,393.0,12.91,176.08
ULTRACEMCO.NS,264.7,8.69,20.13
SARDAEN.NS,235.5,7.74,61.77
ADANIPOWER.NS,392.1,12.88,235.35
FIEMIND.NS,120.0,3.94,-0.18
POLYPLEX.NS,865.3,28.43,-6.43
AARTIDRUGS.NS,1338.0,43.96,-27.16
BALAMINES.NS,973.0,31.96,-14.2
VEDL.NS,58.0,1.91,-1.55
BRIGADE.NS,456.0,14.98,112.52
HCC.NS,179.7,5.9,45.64
SJVN.NS,395.0,12.98,138.17
ELECON.NS,60.0,1.97,-6.42
IRB.NS,78.0,2.56,-6.03
GABRIEL.NS,91.0,2.99,-6.75
GESHIP.NS,59.0,1.94,-2.15
TITAGARH.NS,59.0,1.94,-12.49
TATACOMM.NS,394.0,12.94,4.99
RCF.NS,120.0,3.94,-16.69
NTPC.NS,59.0,1.94,-16.86
SHRIRAMFIN.NS,152.0,4.99,-2.68
NLCINDIA.NS,57.0,1.87,-2.2
TIMETECHNO.NS,60.0,1.97,-10.94
MANINFRA.NS,229.1,7.52,-24.37
ELECTCAST.NS,166.7,5.48,-56.68
ITDCEM.NS,146.3,4.81,-1.65
IMAGICAA.NS,150.0,4.93,-27.03
PRICOLLTD.NS,88.0,2.89,-19.63
RVNL.NS,301.0,9.89,-12.69
JSL.NS,429.3,14.1,-7.22
IMFA.NS,86.0,2.83,-14.72
WELENT.NS,86.0,2.83,-20.82
KIRLOSBROS.NS,424.0,13.93,73.89
CENTURYPLY.NS,2523.0,82.88,240.26
ADANIENT.NS,1133.4,37.24,3.0
COFORGE.NS,821.0,26.97,-56.6
WABAG.NS,418.3,13.74,53.34
PGEL.NS,227.2,7.46,-31.07
PNBHOUSING.NS,144.9,4.76,-15.65
HSCL.NS,88.0,2.89,-3.96
ASTRAMICRO.NS,638.0,20.96,88.96
PCBL.NS,399.4,13.12,9.95
INDIGO.NS,91.0,2.99,-4.79
MAHSEAMLES.NS,60.0,1.97,-6.03
