Ticker,Avg_Holding_Days,Avg_Holding_Months,Avg_Return_Pct
ATUL.NS,558.2,18.34,47.33
AJANTPHARM.NS,181.3,5.96,52.92
BALKRISIND.NS,319.5,10.49,25.59
ASTRAL.NS,277.8,9.13,-6.9
BERGEPAINT.NS,136.1,4.47,-1.11
TORNTPHARM.NS,175.7,5.77,38.74
KKCL.NS,501.6,16.48,13.21
ECLERX.NS,872.9,28.68,86.27
ZYDUSWELL.NS,254.4,8.36,-31.29
DIVISLAB.NS,90.0,2.96,-16.31
IGL.NS,438.6,14.41,26.68
JUBLFOOD.NS,375.8,12.34,-34.55
RATNAMANI.NS,655.9,21.55,4.05
KAJARIACER.NS,526.5,17.3,33.03
VGUARD.NS,328.4,10.79,44.62
VAKRANGEE.NS,303.0,9.95,85.79
ZENSARTECH.NS,467.1,15.35,18.41
GREENPLY.NS,385.0,12.65,-22.09
VINATIORGA.NS,486.0,15.97,40.33
VMART.NS,392.1,12.88,-29.51
TVSSRICHAK.NS,1124.0,36.93,-6.7
AARTIIND.NS,1005.6,33.04,191.55
AVANTIFEED.NS,735.2,24.15,-19.03
SONATSOFTW.NS,291.9,9.59,8.02
TVTODAY.NS,303.0,9.95,-25.74
TCS.NS,298.6,9.81,22.01
INFY.NS,180.0,5.91,12.7
TECHM.NS,884.0,29.04,93.76
HINDUNILVR.NS,60.0,1.97,5.83
AUROPHARMA.NS,100.5,3.3,-11.2
WIPRO.NS,160.4,5.27,-3.22
APLLTD.NS,101.3,3.33,-2.0
VSTIND.NS,169.9,5.58,31.63
BPCL.NS,224.7,7.38,-15.82
ALKYLAMINE.NS,240.0,7.88,133.19
BAJFINANCE.NS,1567.6,51.5,279.79
SUDARSCHEM.NS,456.0,14.98,69.66
PERSISTENT.NS,124.1,4.08,34.38
THYROCARE.NS,244.0,8.02,-6.79
BHARATRAS.NS,667.0,21.91,84.33
KPRMILL.NS,295.2,9.7,35.41
TI.NS,149.7,4.92,44.26
COCHINSHIP.NS,61.0,2.0,-23.59
BEL.NS,910.0,29.89,193.27
ASAL.NS,716.7,23.54,386.3
BALRAMCHIN.NS,486.0,15.97,-16.54
PITTIENG.NS,517.0,16.98,115.42
KAMDHENU.NS,158.6,5.21,-10.79
UTTAMSUGAR.NS,333.0,10.94,71.25
REFEX.NS,152.0,4.99,-2.29
UGARSUGAR.NS,152.0,4.99,-26.81
NEWGEN.NS,110.6,3.63,30.56
APARINDS.NS,116.1,3.81,16.23
BANCOINDIA.NS,61.0,2.0,27.85
MOLDTECH.NS,61.0,2.0,6.33
GARFIBRES.NS,1429.0,46.94,132.0
AARTIDRUGS.NS,1276.0,41.92,-24.72
DCMSHRIRAM.NS,990.0,32.52,5.15
FCL.NS,969.1,31.84,7.53
JINDWORLD.NS,850.0,27.92,-22.71
SURYAROSNI.NS,546.0,17.94,-9.99
GPIL.NS,546.0,17.94,-69.58
GOKEX.NS,500.9,16.45,-4.32
PAISALO.NS,345.6,11.35,-54.53
GODFRYPHLP.NS,235.0,7.72,73.14
DIXON.NS,59.0,1.94,13.68
GRSE.NS,59.0,1.94,77.57
COFORGE.NS,493.3,16.2,30.76
KSCL.NS,109.5,3.6,-14.76
COROMANDEL.NS,82.0,2.69,1.11
