year,total_return,annualized_return,downside_volatility,sharpe,days
2014,5.88891,54.663390906663224,0.04864677289799587,2.5634483017898133,121
2015,1.387189181402566,1.429608894020153,0.15112752187495432,2.4714350690729496,247
2016,0.3420193001712071,0.35168292926183486,0.1861591954025087,1.611270175155594,246
2017,0.7037481853432175,0.7184533677398193,0.10524943955742753,3.5612949411540713,248
2018,-0.11156371732165149,-0.11412332097438949,0.13323951014546506,-0.5173373924121343,246
2019,0.22610244216612707,0.23432428613589718,0.1024071263104258,1.2943399522696497,244
2020,0.27617399038666046,0.2786661496124603,0.3524690448938243,0.9253634787859479,250
2021,0.676121570884376,0.6937375377220063,0.14238545332266644,2.6794819469877154,247
2022,-0.1006447570076523,-0.10257388056154015,0.179045569686152,-0.277184862625613,247
2023,0.4098928807794857,0.4237986541540817,0.13515464170431254,2.202272574912945,245
2024,0.4620892283418465,0.4710747681527836,0.22747696979330462,1.6753780866861243,248
2025,-0.005499046166427934,-0.0056100500645073215,0.17682216791337005,0.14478500992855187,247
2026,-0.125333123042362,-0.39569103553703355,0.1578239062107863,-2.392689871271088,67
