year,total_return,annualized_return,downside_volatility,sharpe,days
2014,5.74858,52.32793310254914,0.053458734934429215,2.093902938641106,121
2015,0.9649232070579101,0.9919743949822379,0.1558673145626119,1.1525187150701932,247
2016,0.0902444400981448,0.0925444046708439,0.14678209258102787,0.6093876623798249,246
2017,0.9447740003920615,0.9657501590729016,0.10454943322199378,4.64138166711122,248
2018,-0.2591642754227096,-0.26456481708307467,0.12428053919983961,-1.47152172821416,246
2019,0.1283029425936939,0.1327774548469598,0.08009055899137892,1.0422975369995766,244
2020,0.12910111451200268,0.1301984276764543,0.301392053058516,0.5617647490773088,250
2021,2.379281515849666,2.4636126698586804,0.1166138842355672,6.034229891246384,247
2022,-0.3176197392551464,-0.3228784012002196,0.20392771009399027,-0.9479782112012433,247
2023,0.7162192849594742,0.7429095804552013,0.15628709038560554,2.9133968511763415,245
2024,0.5391642738351681,0.5499072137595649,0.21717251831330878,1.5438428880238182,248
2025,-0.043765044314886925,-0.04463090853189544,0.18343272341552613,-0.2177963791159082,247
2026,-0.08827934779019919,-0.2936297276854416,0.1634035855146251,-1.38869241926157,67
