Month,Date,Stock,Liquidated_Qty,Liquidated_Amount,Reason,Remaining_Qty,Portfolio_Value_After
Nov 2017,2017-11-30,VGUARD.NS,1.815534,416.57,Not in good list (full within limit),0.0,22440.1
Nov 2017,2017-11-30,VSTIND.NS,4.093749,1217.41,Not in good list (partial to meet limit),23.310239,22440.1
Dec 2017,2017-12-29,VSTIND.NS,7.079327,2063.98,Not in good list (partial to meet limit),16.230912,22703.75
Jan 2018,2018-01-31,VSTIND.NS,6.808282,2011.38,Not in good list (partial to meet limit),9.42263,22125.21
Feb 2018,2018-02-28,NAVNETEDUL.NS,2.084668,283.72,Not in good list (full within limit),0.0,21558.28
Feb 2018,2018-02-28,WIPRO.NS,15.058173,1653.39,Not in good list (full within limit),0.0,21558.28
Feb 2018,2018-02-28,VSTIND.NS,0.078721,22.73,Not in good list (partial to meet limit),9.343909,21558.28
Mar 2018,2018-03-28,ZENSARTECH.NS,10.642301,1918.27,Not in good list (partial to meet limit),7.045459,21101.02
Apr 2018,2018-04-30,NBCC.NS,3.961569,277.05,Not in good list (full within limit),0.0,22818.09
Apr 2018,2018-04-30,VINATIORGA.NS,1.380718,620.49,Not in good list (full within limit),0.0,22818.09
Apr 2018,2018-04-30,IGL.NS,8.180963,1176.83,Not in good list (partial to meet limit),4.640131,22818.09
May 2018,2018-05-31,AVANTIFEED.NS,3.604831,1962.05,Not in good list (partial to meet limit),1.547935,21582.54
Jun 2018,2018-06-29,HINDUNILVR.NS,0.238207,390.93,Not in good list (full within limit),0.0,21608.93
Jun 2018,2018-06-29,VSTIND.NS,5.963367,1573.52,Not in good list (partial to meet limit),3.380542,21608.93
Jul 2018,2018-07-31,RECLTD.NS,7.692711,674.75,Not in good list (full within limit),0.0,23244.03
Jul 2018,2018-07-31,VSTIND.NS,3.380542,833.5,Not in good list (full within limit),0.0,23244.03
Jul 2018,2018-07-31,IGL.NS,3.97989,604.84,Not in good list (partial to meet limit),0.660241,23244.03
Aug 2018,2018-08-31,IGL.NS,0.660241,95.87,Not in good list (full within limit),0.0,25333.83
