Month,Date,Bank_Balance_Before_Investing,Portfolio_Value_Before_Liquidity,Total_Liquidation_Limit,Total_Liquidated,Investable_Amount_from_Bank_Balance,Investable_Amount_from_Liquidation,Investment,Bank_Balance_After_Investing,Portfolio_Value_After_Investing,Stocks_Affected
Jul 2014,2014-07-31,12000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,11000.0,1013.38,0
Aug 2014,2014-08-28,11000.0,1008.11,1000.675733,193.73,1000.0,193.73,1193.73,10000.0,1971.28,1
Sep 2014,2014-09-30,10000.0,2173.32,1014.443555,1014.44,1000.0,1014.44,2014.44,9000.0,3250.41,4
Oct 2014,2014-10-31,9000.0,3330.14,1027.511759,1027.51,1000.0,1027.51,2027.51,8000.0,4301.13,4
Nov 2014,2014-11-28,8000.0,4556.65,1046.38733,808.22,1000.0,808.22,1808.22,7000.0,5704.67,2
Dec 2014,2014-12-31,7000.0,5840.08,1070.006454,0.0,1000.0,0.0,1000.0,6000.0,6833.86,0
Jan 2015,2015-01-30,6000.0,6979.61,1081.634467,187.83,1000.0,187.83,1187.83,5000.0,7998.81,1
Feb 2015,2015-02-27,5000.0,8169.14,1097.428612,1097.43,1000.0,1097.43,2097.43,4000.0,9251.41,2
Mar 2015,2015-03-31,4000.0,9334.35,1111.196093,526.82,1000.0,526.82,1526.82,3000.0,10370.14,1
Apr 2015,2015-04-30,3000.0,10872.44,1156.036808,1156.04,1000.0,1156.04,2156.04,2000.0,11911.11,2
May 2015,2015-05-29,2000.0,12107.88,1175.65676,1175.66,1000.0,1175.66,2175.66,1000.0,13065.28,3
Jun 2015,2015-06-30,1000.0,12726.65,1143.887672,1143.89,1000.0,1143.89,2143.89,0.0,13655.62,4
Jul 2015,2015-07-31,0.0,14868.17,1239.01424,1239.01,0.0,1239.01,1239.01,0.0,14973.35,1
Aug 2015,2015-08-31,0.0,13941.19,1161.766094,1161.77,0.0,1161.77,1161.77,0.0,13848.46,3
Sep 2015,2015-09-30,0.0,13824.31,1152.025532,1152.03,0.0,1152.03,1152.03,0.0,13854.46,1
Oct 2015,2015-10-30,0.0,14345.5,1195.458646,609.58,0.0,609.58,609.58,0.0,14353.61,1
Nov 2015,2015-11-30,0.0,14641.65,1220.137734,1013.27,0.0,1013.27,1013.27,0.0,14669.23,2
Dec 2015,2015-12-31,0.0,15061.44,1255.119759,1255.12,0.0,1255.12,1255.12,0.0,15089.77,2
Jan 2016,2016-01-29,0.0,13961.05,1163.42056,1163.42,0.0,1163.42,1163.42,0.0,13928.63,1
Feb 2016,2016-02-29,0.0,12652.73,1054.393798,927.6,0.0,927.6,927.6,0.0,12592.09,4
Mar 2016,2016-03-31,0.0,13763.45,1146.953951,1146.95,0.0,1146.95,1146.95,0.0,13848.66,2
Apr 2016,2016-04-29,0.0,14054.32,1171.193461,1171.19,0.0,1171.19,1171.19,0.0,13866.52,1
May 2016,2016-05-31,0.0,14030.81,1169.233797,1115.29,0.0,1115.29,1115.29,0.0,13855.26,6
Jun 2016,2016-06-30,0.0,14310.22,1192.517964,0.0,0.0,0.0,0.0,0.0,14310.22,0
Jul 2016,2016-07-29,0.0,16595.14,1382.928631,621.09,0.0,621.09,621.09,0.0,16541.5,2
