Ticker,Avg_Holding_Days,Avg_Holding_Months,Avg_Return_Pct
RECLTD.NS,237.1,7.79,-26.2
ONGC.NS,198.2,6.51,-15.09
ADANIPORTS.NS,222.0,7.29,-4.02
BALKRISIND.NS,610.5,20.06,126.58
RATNAMANI.NS,281.5,9.25,-4.97
BERGEPAINT.NS,161.8,5.32,4.43
LICHSGFIN.NS,750.9,24.67,15.34
TCS.NS,397.6,13.06,24.89
HAVELLS.NS,296.5,9.74,-0.47
ASTRAL.NS,370.7,12.18,0.43
AJANTPHARM.NS,364.7,11.98,69.07
HINDUNILVR.NS,306.2,10.06,10.68
ECLERX.NS,453.3,14.89,48.75
MARICO.NS,59.0,1.94,-4.36
KKCL.NS,384.7,12.64,1.63
BRITANNIA.NS,292.1,9.6,9.1
KAJARIACER.NS,482.7,15.86,31.44
MUNJALSHOW.NS,270.0,8.87,-7.0
NAVNETEDUL.NS,357.5,11.75,-15.17
ATUL.NS,519.3,17.06,69.7
JUBLFOOD.NS,379.1,12.45,-28.96
LAOPALA.NS,394.0,12.94,62.78
TORNTPHARM.NS,711.5,23.37,46.0
VSTIND.NS,852.3,28.0,432.62
WIPRO.NS,842.9,27.69,-6.14
WHIRLPOOL.NS,100.8,3.31,-13.14
CENTURYPLY.NS,153.9,5.06,13.04
ZENSARTECH.NS,848.8,27.89,23.85
BAJFINANCE.NS,609.7,20.03,193.23
IGL.NS,387.9,12.74,37.3
VGUARD.NS,220.4,7.24,-0.38
TIDEWATER.NS,534.8,17.57,27.35
SWARAJENG.NS,156.9,5.15,-4.75
TVSSRICHAK.NS,717.5,23.57,59.47
AARTIIND.NS,674.2,22.15,70.5
VINATIORGA.NS,348.6,11.45,27.82
NBCC.NS,672.8,22.1,-52.01
KPRMILL.NS,571.6,18.78,22.57
VAKRANGEE.NS,575.0,18.89,-51.3
CERA.NS,177.6,5.84,-16.71
GREENPLY.NS,235.5,7.74,-49.38
TITAN.NS,278.3,9.14,25.43
TATAELXSI.NS,155.1,5.09,104.64
RELAXO.NS,353.2,11.6,46.63
AUROPHARMA.NS,464.2,15.25,11.62
PCJEWELLER.NS,499.9,16.42,-89.26
FINCABLES.NS,384.8,12.64,-39.94
INFY.NS,316.6,10.4,34.81
AKZOINDIA.NS,241.0,7.92,-1.39
TVTODAY.NS,455.0,14.95,-23.4
GULFOILLUB.NS,74.5,2.45,-5.86
AVANTIFEED.NS,676.6,22.23,4.47
BPCL.NS,402.6,13.23,3.03
CHOLAFIN.NS,575.7,18.91,-24.58
HINDPETRO.NS,339.4,11.15,-22.15
GARFIBRES.NS,394.1,12.95,93.08
CAPLIPOINT.NS,285.1,9.37,26.74
ALKYLAMINE.NS,425.2,13.97,169.34
BHARATRAS.NS,437.4,14.37,48.07
EICHERMOT.NS,179.0,5.88,-11.0
HCLTECH.NS,349.4,11.48,15.39
TECHM.NS,960.5,31.55,65.37
RHIM.NS,114.1,3.75,-4.14
SUDARSCHEM.NS,807.3,26.52,17.21
STLTECH.NS,408.9,13.43,-39.73
BIRLAMONEY.NS,103.0,3.38,-4.08
SONATSOFTW.NS,1236.3,40.61,197.51
PAGEIND.NS,60.0,1.97,-1.65
ADANIENT.NS,152.0,4.99,-8.02
KEI.NS,434.9,14.29,95.48
FACT.NS,339.7,11.16,50.68
SALASAR.NS,218.0,7.16,53.07
GRINDWELL.NS,321.0,10.54,4.78
BEL.NS,474.4,15.58,96.55
DCMSHRIRAM.NS,1069.5,35.13,34.7
RADICO.NS,394.7,12.97,46.17
TTKPRESTIG.NS,911.7,29.95,24.89
BALRAMCHIN.NS,529.0,17.38,0.81
ASAL.NS,455.0,14.95,-21.7
EKC.NS,395.0,12.98,-36.01
TI.NS,412.2,13.54,132.31
SOLARINDS.NS,393.0,12.91,45.49
HINDZINC.NS,1676.2,55.07,110.67
GHCL.NS,399.0,13.11,-8.97
PITTIENG.NS,445.1,14.62,113.14
DWARKESH.NS,364.6,11.98,-7.7
CENTEXT.NS,423.0,13.9,53.51
MOLDTECH.NS,197.6,6.49,-13.97
UGARSUGAR.NS,164.7,5.41,-30.68
UTTAMSUGAR.NS,394.0,12.94,24.41
ACE.NS,393.0,12.91,290.97
GNA.NS,372.5,12.24,-0.69
HISARMETAL.NS,393.0,12.91,27.23
GOKULAGRO.NS,316.2,10.39,10.88
HITECH.NS,393.0,12.91,70.52
TRITURBINE.NS,395.0,12.98,67.8
CUMMINSIND.NS,395.0,12.98,124.98
AARTIDRUGS.NS,1162.0,38.17,-27.79
POLYPLEX.NS,945.0,31.04,-28.43
HAL.NS,402.1,13.21,82.17
DLINKINDIA.NS,424.0,13.93,126.82
REFEX.NS,414.6,13.62,243.75
PERSISTENT.NS,407.5,13.39,70.76
GRSE.NS,394.3,12.95,139.67
SUPREMEIND.NS,211.0,6.93,-2.77
JBCHEPHARM.NS,179.0,5.88,-2.29
MSTCLTD.NS,150.1,4.93,-17.75
NMDC.NS,602.9,19.81,-60.19
OFSS.NS,122.0,4.01,-20.28
GODFRYPHLP.NS,441.8,14.51,140.66
BAJAJ-AUTO.NS,407.7,13.39,11.36
PCBL.NS,328.5,10.79,3.26
HGINFRA.NS,641.9,21.09,18.15
CANFINHOME.NS,699.0,22.96,-0.11
GPIL.NS,513.1,16.85,-2.24
IIFLSEC.NS,283.2,9.3,-42.83
GOKEX.NS,486.0,15.97,12.68
GRAVITA.NS,395.0,12.98,26.87
SHARDAMOTR.NS,320.5,10.53,-50.83
GRANULES.NS,264.3,8.68,-4.89
