Month,Date,Selected_Tickers,Holdings_Count,Total_Liquidated,Stocks_Affected
Jul 2014,2014-07-31,6,6,0.0,0
Aug 2014,2014-08-28,6,9,0.0,0
Sep 2014,2014-09-30,6,10,416.1,3
Oct 2014,2014-10-31,6,11,235.32,1
Nov 2014,2014-11-28,6,13,0.0,0
Dec 2014,2014-12-31,6,13,0.0,0
Jan 2015,2015-01-30,6,14,0.0,0
Feb 2015,2015-02-27,6,14,0.0,0
Mar 2015,2015-03-31,6,16,0.0,0
Apr 2015,2015-04-30,6,17,163.73,1
May 2015,2015-05-29,6,15,995.65,6
Jun 2015,2015-06-30,6,16,295.89,1
Jul 2015,2015-07-31,6,20,571.95,3
Aug 2015,2015-08-31,6,21,866.08,4
Sep 2015,2015-09-30,6,21,1117.38,4
Oct 2015,2015-10-30,6,19,1098.41,4
Nov 2015,2015-11-30,6,20,962.82,5
Dec 2015,2015-12-31,6,20,231.16,1
Jan 2016,2016-01-29,6,20,829.51,6
Feb 2016,2016-02-29,6,21,1218.78,7
Mar 2016,2016-03-31,6,20,853.86,5
Apr 2016,2016-04-29,6,20,263.26,2
May 2016,2016-05-31,6,16,1399.97,5
Jun 2016,2016-06-30,6,16,410.53,2
Jul 2016,2016-07-29,6,15,440.21,3
Aug 2016,2016-08-31,6,17,274.0,1
Sep 2016,2016-09-30,6,17,0.0,0
Oct 2016,2016-10-28,6,17,189.38,1
Nov 2016,2016-11-30,6,18,2088.47,14
Dec 2016,2016-12-30,6,15,1388.68,5
Jan 2017,2017-01-31,6,15,0.0,0
Feb 2017,2017-02-28,6,15,0.0,0
Mar 2017,2017-03-31,6,15,0.0,0
Apr 2017,2017-04-28,6,15,0.0,0
May 2017,2017-05-31,6,17,2751.65,15
Jun 2017,2017-06-30,6,16,862.91,2
Jul 2017,2017-07-31,6,16,3421.6,14
Aug 2017,2017-08-31,6,18,3209.65,9
Sep 2017,2017-09-29,6,19,2372.21,8
Oct 2017,2017-10-31,6,20,3726.0,13
Nov 2017,2017-11-30,6,21,3859.76,6
Dec 2017,2017-12-29,6,20,3896.6,6
Jan 2018,2018-01-31,6,19,3779.99,6
Feb 2018,2018-02-28,6,21,3703.01,3
Mar 2018,2018-03-28,6,23,3529.42,3
Apr 2018,2018-04-30,6,22,3783.25,8
May 2018,2018-05-31,6,21,3421.48,7
Jun 2018,2018-06-29,6,20,3234.25,7
Jul 2018,2018-07-31,6,19,3269.24,8
Aug 2018,2018-08-31,6,19,3552.55,8
Sep 2018,2018-09-28,6,20,3693.97,6
Oct 2018,2018-10-31,6,19,3862.29,6
Nov 2018,2018-11-30,6,19,3852.19,6
Dec 2018,2018-12-31,6,19,3966.0,6
Jan 2019,2019-01-31,6,19,3987.28,5
Feb 2019,2019-02-28,6,19,3868.97,7
Mar 2019,2019-03-29,6,19,3471.87,5
Apr 2019,2019-04-30,6,20,3659.15,5
May 2019,2019-05-31,6,21,1054.23,2
Jun 2019,2019-06-28,6,22,4173.62,8
Jul 2019,2019-07-31,6,19,3885.14,9
Aug 2019,2019-08-30,6,19,4004.9,7
Sep 2019,2019-09-30,6,18,4149.35,6
Oct 2019,2019-10-31,6,18,2765.74,3
Nov 2019,2019-11-29,6,18,2889.75,4
Dec 2019,2019-12-31,6,18,4443.51,10
Jan 2020,2020-01-31,6,19,4662.33,9
Feb 2020,2020-02-28,6,19,4370.43,7
Mar 2020,2020-03-31,6,18,3236.97,7
Apr 2020,2020-04-30,6,19,3736.73,5
May 2020,2020-05-29,6,19,3670.19,10
Jun 2020,2020-06-30,6,17,2106.21,5
Jul 2020,2020-07-30,6,18,4432.3,9
Aug 2020,2020-08-31,6,19,3397.22,8
Sep 2020,2020-09-30,6,20,3043.07,6
Oct 2020,2020-10-30,6,21,1688.97,3
Nov 2020,2020-11-27,6,20,842.89,2
Dec 2020,2020-12-31,6,20,0.0,0
Jan 2021,2021-01-29,6,20,0.0,0
Feb 2021,2021-02-26,6,22,1098.0,1
Mar 2021,2021-03-31,6,22,0.0,0
Apr 2021,2021-04-30,6,25,3414.75,3
May 2021,2021-05-31,6,24,2183.56,2
Jun 2021,2021-06-30,6,24,1544.22,2
Jul 2021,2021-07-30,6,25,6371.87,4
Aug 2021,2021-08-31,6,24,7328.21,4
Sep 2021,2021-09-30,6,23,4039.4,4
Oct 2021,2021-10-29,6,25,10004.81,7
Nov 2021,2021-11-30,6,24,10146.88,8
Dec 2021,2021-12-31,6,25,2705.04,2
Jan 2022,2022-01-31,6,24,1266.9,1
Feb 2022,2022-02-28,6,23,627.01,2
Mar 2022,2022-03-31,6,24,10049.17,10
Apr 2022,2022-04-29,6,23,4437.65,6
May 2022,2022-05-31,6,24,2124.58,4
Jun 2022,2022-06-30,6,24,2475.63,3
Jul 2022,2022-07-29,6,24,9302.43,15
Aug 2022,2022-08-30,6,21,6838.4,9
Sep 2022,2022-09-30,6,22,9195.08,13
Oct 2022,2022-10-31,6,23,1507.15,1
Nov 2022,2022-11-30,6,23,0.0,0
Dec 2022,2022-12-30,6,23,0.0,0
Jan 2023,2023-01-31,6,24,7551.62,7
Feb 2023,2023-02-28,6,26,8037.73,6
Mar 2023,2023-03-31,6,26,5569.2,4
Apr 2023,2023-04-28,6,29,10823.68,5
May 2023,2023-05-31,6,28,11311.88,13
Jun 2023,2023-06-30,6,29,11858.01,7
Jul 2023,2023-07-31,6,30,12674.6,14
Aug 2023,2023-08-31,6,31,13231.06,7
Sep 2023,2023-09-29,6,31,13298.18,6
Oct 2023,2023-10-31,6,30,13607.12,9
Nov 2023,2023-11-30,6,29,14965.88,9
Dec 2023,2023-12-29,6,31,16494.85,5
Jan 2024,2024-01-31,6,31,16818.53,8
Feb 2024,2024-02-29,6,30,10205.48,3
Mar 2024,2024-03-28,6,29,9748.33,5
Apr 2024,2024-04-30,6,30,10271.81,3
May 2024,2024-05-31,6,30,12414.63,4
Jun 2024,2024-06-28,6,29,23418.45,8
Jul 2024,2024-07-31,6,28,24639.94,20
Aug 2024,2024-08-30,6,27,24416.77,10
Sep 2024,2024-09-30,6,27,25388.42,9
Oct 2024,2024-10-31,6,27,19427.15,8
Nov 2024,2024-11-29,6,28,17707.23,4
Dec 2024,2024-12-31,6,29,22172.41,4
Jan 2025,2025-01-31,6,26,19726.96,11
Feb 2025,2025-02-28,6,28,16295.35,7
Mar 2025,2025-03-31,6,27,18080.39,11
Apr 2025,2025-04-30,6,27,19078.88,8
May 2025,2025-05-30,6,29,21588.18,9
Jun 2025,2025-06-30,6,27,22320.16,8
Jul 2025,2025-07-31,6,25,20975.28,10
Aug 2025,2025-08-29,6,25,20900.34,9
Sep 2025,2025-09-30,6,25,20745.08,6
