Month,Date,Stock,Liquidated_Qty,Liquidated_Amount,Reason,Remaining_Qty,Portfolio_Value_After
Sep 2014,2014-09-30,RECLTD.NS,2.738484,117.62,Lot-sellable (within limit),3.199984,1832.66
Sep 2014,2014-09-30,RECLTD.NS,3.199984,137.45,Lot-sellable (within limit),0.0,1832.66
Sep 2014,2014-09-30,ONGC.NS,0.985253,161.03,Lot-sellable (within limit),0.0,1832.66
Oct 2014,2014-10-31,ADANIPORTS.NS,0.868097,235.32,Lot-sellable (within limit),0.0,3096.78
Apr 2015,2015-04-30,BALKRISIND.NS,0.45953,163.73,Lot-sellable (within limit),1.171422,10103.18
May 2015,2015-05-29,ONGC.NS,1.342998,182.15,Lot-sellable (within limit),1.029852,10624.6
May 2015,2015-05-29,ONGC.NS,1.029852,139.68,Lot-sellable (within limit),0.0,10624.6
May 2015,2015-05-29,RATNAMANI.NS,0.388302,141.59,Lot-sellable (within limit),0.0,10624.6
May 2015,2015-05-29,BERGEPAINT.NS,1.327171,158.5,Lot-sellable (within limit),1.605125,10624.6
May 2015,2015-05-29,BERGEPAINT.NS,1.605125,191.7,Lot-sellable (within limit),0.0,10624.6
May 2015,2015-05-29,LICHSGFIN.NS,0.527379,182.03,Lot-sellable (within limit),0.0,10624.6
Jun 2015,2015-06-30,ADANIPORTS.NS,1.009497,295.89,Lot-sellable (within limit),0.0,12204.77
Jul 2015,2015-07-31,TCS.NS,0.161342,179.16,Lot-sellable (within limit),0.214466,13520.24
Jul 2015,2015-07-31,HAVELLS.NS,0.776833,200.62,Lot-sellable (within limit),2.212139,13520.24
Jul 2015,2015-07-31,ASTRAL.NS,1.162847,192.17,Lot-sellable (within limit),6.923792,13520.24
Aug 2015,2015-08-31,HAVELLS.NS,0.784129,188.76,Lot-sellable (within limit),1.428011,14532.81
Aug 2015,2015-08-31,AJANTPHARM.NS,0.404786,374.63,Lot-sellable (within limit),2.547864,14532.81
Aug 2015,2015-08-31,HINDUNILVR.NS,0.287252,213.33,Lot-sellable (within limit),0.120334,14532.81
Aug 2015,2015-08-31,HINDUNILVR.NS,0.120334,89.37,Lot-sellable (within limit),0.0,14532.81
Sep 2015,2015-09-30,TCS.NS,0.214466,245.48,Lot-sellable (within limit),0.0,14709.5
Sep 2015,2015-09-30,HAVELLS.NS,0.866481,202.25,Lot-sellable (within limit),0.561529,14709.5
Sep 2015,2015-09-30,HAVELLS.NS,0.561529,131.07,Lot-sellable (within limit),0.0,14709.5
Sep 2015,2015-09-30,AJANTPHARM.NS,0.589824,538.58,Lot-sellable (within limit),1.958039,14709.5
Oct 2015,2015-10-30,AJANTPHARM.NS,0.483481,462.26,Lot-sellable (within limit),1.474559,15099.03
Oct 2015,2015-10-30,ECLERX.NS,0.303348,273.71,Lot-sellable (within limit),0.0,15099.03
Oct 2015,2015-10-30,TCS.NS,0.16595,184.33,Lot-sellable (within limit),0.0,15099.03
Oct 2015,2015-10-30,MARICO.NS,1.059825,178.11,Lot-sellable (within limit),0.0,15099.03
Nov 2015,2015-11-30,KKCL.NS,0.61335,193.59,Lot-sellable (within limit),4.121184,15417.04
Nov 2015,2015-11-30,KKCL.NS,0.707356,223.26,Lot-sellable (within limit),3.413828,15417.04
