year,total_return,annualized_return,downside_volatility,sharpe,days
2014,5.48695,48.11248286397838,0.052539300203337254,1.4124408072864676,121
2015,1.0464750636234026,1.0763575165573074,0.15783886381947013,1.3048833349829916,247
2016,0.07792829441861415,0.07990299772903331,0.14403143707021232,0.5315699992829754,246
2017,0.9836313159886658,1.0056664660065788,0.10850987244129122,4.703885234632008,248
2018,-0.2056244482744125,-0.21007205840474075,0.12108964518139996,-1.088718700890186,246
2019,0.08103479902560617,0.08380006280590191,0.0922376278170443,0.6836680621207073,244
2020,0.20649960933062061,0.2083128750924801,0.30303650143399413,0.7933307468763862,250
2021,1.7725163772689134,1.830343742500077,0.12386092026888652,5.719450245818032,247
2022,-0.304046805898345,-0.3091346787038206,0.1989508935059817,-0.9410306122200994,247
2023,0.42578070469006746,0.4403042417391343,0.14573475089025587,2.066561864132274,245
2024,0.5155685824504659,0.5257665990225435,0.22480268796352454,1.4026584598328982,248
2025,0.0930211892710564,0.0949909665104105,0.18343194246462716,0.3080255516181741,247
2026,-0.11330734485582272,-0.36384266795288234,0.16083060856948067,-2.0196520588932723,67
