year,total_return,annualized_return,downside_volatility,sharpe,days
2014,5.88891,54.663390906663224,0.04864677289799587,2.5634483017898133,121
2015,1.3385878808862515,1.3791531161555097,0.14872514613199772,2.3386653144510294,247
2016,0.30599434516920376,0.31452585639180053,0.18642101498328498,1.4918739069097164,246
2017,0.7367764682179911,0.7523092911679707,0.1042100994671147,3.771630573705849,248
2018,-0.1107675646958115,-0.11331009078439835,0.1309346973690613,-0.532346264345335,246
2019,0.21915950159827768,0.22710629594290022,0.09800452250008823,1.2777545060920779,244
2020,0.3312210497651593,0.3342714017826234,0.3475585123760583,1.0500767109835358,250
2021,0.7488960632805426,0.7687980516185531,0.14421216264212053,2.866014393516064,247
2022,-0.09782869652343784,-0.09970688678538164,0.17568856430795857,-0.27430497709708135,247
2023,0.5287921072208197,0.5474460970082637,0.1210602546441271,2.7905195503978235,245
2024,0.5214462821845236,0.5317794761772292,0.23540174888914905,1.8250942380522384,248
2025,-0.011007600142199925,-0.01122917031834414,0.18174936585243848,0.11867030776067546,247
2026,-0.1308764414437501,-0.40997042004595174,0.1582103219051555,-2.5547090511435306,67
