Month,Date,Bank_Balance_Before_Investing,Portfolio_Value_Before_Liquidity,Total_Liquidation_Limit,Available_for_Liquidation,Total_Liquidated,Investable_Amount_from_Bank_Balance,Investable_Amount_from_Liquidation,Investment,Bank_Balance_After_Investing,Portfolio_Value_After_Investing
Jul 2014,2014-07-31,12000.0,0.0,1000.0,0.0,0.0,1000.0,0.0,1000.0,11000.0,1143.72
Aug 2014,2014-08-28,11000.0,1200.18,1016.681283,0.0,0.0,1000.0,0.0,1000.0,10000.0,2218.68
Sep 2014,2014-09-30,10000.0,2248.76,1020.729859,0.0,416.1,1000.0,416.1,1416.1,9000.0,3252.44
Oct 2014,2014-10-31,9000.0,3332.09,1027.674474,0.0,235.32,1000.0,235.32,1235.32,8000.0,4331.75
Nov 2014,2014-11-28,8000.0,4676.78,1056.398608,0.0,0.0,1000.0,0.0,1000.0,7000.0,5686.64
Dec 2014,2014-12-31,7000.0,5557.76,1046.479713,0.0,0.0,1000.0,0.0,1000.0,6000.0,6500.67
Jan 2015,2015-01-30,6000.0,6639.79,1053.315856,0.0,0.0,1000.0,0.0,1000.0,5000.0,7669.63
Feb 2015,2015-02-27,5000.0,7885.24,1073.770279,0.0,0.0,1000.0,0.0,1000.0,4000.0,8927.08
Mar 2015,2015-03-31,4000.0,9115.08,1092.923344,0.0,0.0,1000.0,0.0,1000.0,3000.0,10145.46
Apr 2015,2015-04-30,3000.0,10266.91,1105.575606,0.0,163.73,1000.0,163.73,1163.73,2000.0,11232.48
May 2015,2015-05-29,2000.0,11620.26,1135.021294,0.0,995.65,1000.0,995.65,1995.65,1000.0,12690.34
Jun 2015,2015-06-30,1000.0,12500.66,1125.055112,0.0,295.89,1000.0,295.89,1295.89,0.0,13499.72
Jul 2015,2015-07-31,0.0,14092.19,1174.349295,0.0,571.95,0.0,571.95,571.95,0.0,14144.97
Aug 2015,2015-08-31,0.0,15398.89,1283.24112,0.0,866.08,0.0,866.08,866.08,0.0,15408.28
Sep 2015,2015-09-30,0.0,15826.88,1318.906502,0.0,1117.38,0.0,1117.38,1117.38,0.0,15871.14
Oct 2015,2015-10-30,0.0,16197.44,1349.786528,0.0,1098.41,0.0,1098.41,1098.41,0.0,16243.85
Nov 2015,2015-11-30,0.0,16379.86,1364.988412,0.0,962.82,0.0,962.82,962.82,0.0,16409.79
Dec 2015,2015-12-31,0.0,16861.03,1405.085423,0.0,231.16,0.0,231.16,231.16,0.0,16865.1
Jan 2016,2016-01-29,0.0,16211.4,1350.950066,0.0,829.51,0.0,829.51,829.51,0.0,16167.99
Feb 2016,2016-02-29,0.0,14625.34,1218.777935,0.0,2342.62,0.0,2342.62,2342.62,0.0,14468.1
Mar 2016,2016-03-31,0.0,16062.7,1338.558456,0.0,576.63,0.0,576.63,576.63,0.0,16097.57
Apr 2016,2016-04-29,0.0,16374.87,1364.572808,0.0,263.26,0.0,263.26,263.26,0.0,16377.53
May 2016,2016-05-31,0.0,16701.68,1391.806511,0.0,1595.27,0.0,1595.27,1595.27,0.0,16709.99
Jun 2016,2016-06-30,0.0,17344.49,1445.374425,0.0,0.0,0.0,0.0,0.0,0.0,17344.49
Jul 2016,2016-07-29,0.0,19773.52,1647.793326,0.0,440.21,0.0,440.21,440.21,0.0,19820.91
Aug 2016,2016-08-31,0.0,26537.92,2211.49372,0.0,274.0,0.0,274.0,274.0,0.0,26575.37
Sep 2016,2016-09-30,0.0,26453.34,2204.444991,0.0,0.0,0.0,0.0,0.0,0.0,26453.34
Oct 2016,2016-10-28,0.0,26850.6,2237.549916,0.0,189.38,0.0,189.38,189.38,0.0,26846.83
Nov 2016,2016-11-30,0.0,25099.24,2091.603098,0.0,14906.09,0.0,14906.09,14906.09,0.0,23232.55
Dec 2016,2016-12-30,0.0,22152.54,1846.045174,0.0,9911.46,0.0,9911.46,9911.46,0.0,22026.13
Jan 2017,2017-01-31,0.0,24319.11,2026.592556,0.0,0.0,0.0,0.0,0.0,0.0,24319.11
Feb 2017,2017-02-28,0.0,26033.91,2169.49221,0.0,0.0,0.0,0.0,0.0,0.0,26033.91
Mar 2017,2017-03-31,0.0,27074.0,2256.166621,0.0,0.0,0.0,0.0,0.0,0.0,27074.0
Apr 2017,2017-04-28,0.0,29409.76,2450.813652,0.0,0.0,0.0,0.0,0.0,0.0,29409.76
May 2017,2017-05-31,0.0,30022.87,2501.9062,0.0,3336.03,0.0,3336.03,3336.03,0.0,30338.32
Jun 2017,2017-06-30,0.0,32042.95,2670.24564,0.0,1046.17,0.0,1046.17,1046.17,0.0,32079.06
Jul 2017,2017-07-31,0.0,35305.14,2942.095059,0.0,8256.96,0.0,8256.96,8256.96,0.0,35799.01
Aug 2017,2017-08-31,0.0,35285.03,2940.419258,0.0,72.67,0.0,72.67,72.67,0.0,35286.14
Sep 2017,2017-09-29,0.0,36271.11,3022.592313,0.0,0.0,0.0,0.0,0.0,0.0,36271.11
Oct 2017,2017-10-31,0.0,39661.47,3305.122411,0.0,2834.74,0.0,2834.74,2834.74,0.0,39982.84
Nov 2017,2017-11-30,0.0,41513.82,3459.485061,0.0,50.29,0.0,50.29,50.29,0.0,41514.55
Dec 2017,2017-12-29,0.0,43865.65,3655.470952,0.0,13816.34,0.0,13816.34,13816.34,0.0,43996.92
Jan 2018,2018-01-31,0.0,41660.4,3471.699857,0.0,2260.91,0.0,2260.91,2260.91,0.0,41509.09
Feb 2018,2018-02-28,0.0,40902.61,3408.551119,0.0,0.0,0.0,0.0,0.0,0.0,40902.61
Mar 2018,2018-03-28,0.0,39560.85,3296.737697,0.0,0.0,0.0,0.0,0.0,0.0,39560.85
Apr 2018,2018-04-30,0.0,43053.57,3587.797646,0.0,15253.46,0.0,15253.46,15253.46,0.0,42792.83
May 2018,2018-05-31,0.0,37096.32,3091.359796,0.0,5457.43,0.0,5457.43,5457.43,0.0,36621.39
Jun 2018,2018-06-29,0.0,34873.92,2906.159922,0.0,5987.76,0.0,5987.76,5987.76,0.0,35072.69
Jul 2018,2018-07-31,0.0,36427.18,3035.598398,0.0,8265.89,0.0,8265.89,8265.89,0.0,36618.49
Aug 2018,2018-08-31,0.0,37261.31,3105.109178,0.0,2443.09,0.0,2443.09,2443.09,0.0,37378.2
Sep 2018,2018-09-28,0.0,34447.16,2870.596663,0.0,0.0,0.0,0.0,0.0,0.0,34447.16
Oct 2018,2018-10-31,0.0,34178.42,2848.201664,0.0,667.92,0.0,667.92,667.92,0.0,34163.92
Nov 2018,2018-11-30,0.0,33531.61,2794.301181,0.0,2992.37,0.0,2992.37,2992.37,0.0,33600.77
Dec 2018,2018-12-31,0.0,34343.56,2861.963114,0.0,473.49,0.0,473.49,473.49,0.0,34349.29
Jan 2019,2019-01-31,0.0,34514.3,2876.191326,0.0,577.49,0.0,577.49,577.49,0.0,34524.83
Feb 2019,2019-02-28,0.0,33572.9,2797.741802,0.0,0.0,0.0,0.0,0.0,0.0,33572.9
Mar 2019,2019-03-29,0.0,35914.14,2992.84528,0.0,0.0,0.0,0.0,0.0,0.0,35914.14
Apr 2019,2019-04-30,0.0,36205.95,3017.162426,0.0,884.56,0.0,884.56,884.56,0.0,36226.78
May 2019,2019-05-31,0.0,36248.85,3020.737322,0.0,125.11,0.0,125.11,125.11,0.0,36250.03
Jun 2019,2019-06-28,0.0,35294.54,2941.211646,0.0,4339.51,0.0,4339.51,4339.51,0.0,35166.55
Jul 2019,2019-07-31,0.0,33228.59,2769.048864,0.0,9059.18,0.0,9059.18,9059.18,0.0,32759.42
Aug 2019,2019-08-30,0.0,34425.39,2868.782194,0.0,3756.34,0.0,3756.34,3756.34,0.0,34591.99
Sep 2019,2019-09-30,0.0,37097.26,3091.43821,0.0,1626.89,0.0,1626.89,1626.89,0.0,37229.38
Oct 2019,2019-10-31,0.0,38870.21,3239.184063,0.0,1819.28,0.0,1819.28,1819.28,0.0,38936.04
Nov 2019,2019-11-29,0.0,39483.83,3290.319183,0.0,1942.6,0.0,1942.6,1942.6,0.0,39436.76
Dec 2019,2019-12-31,0.0,40061.25,3338.437632,0.0,11939.32,0.0,11939.32,11939.32,0.0,40419.11
Jan 2020,2020-01-31,0.0,41312.95,3442.7456,0.0,1057.48,0.0,1057.48,1057.48,0.0,41387.24
Feb 2020,2020-02-28,0.0,37733.14,3144.428644,0.0,2148.8,0.0,2148.8,2148.8,0.0,37575.32
Mar 2020,2020-03-31,0.0,27943.57,2328.630827,0.0,4891.82,0.0,4891.82,4891.82,0.0,26561.21
Apr 2020,2020-04-30,0.0,31207.57,2600.630702,0.0,425.25,0.0,425.25,425.25,0.0,31290.21
May 2020,2020-05-29,0.0,30256.77,2521.397538,0.0,3211.3,0.0,3211.3,3211.3,0.0,30240.78
Jun 2020,2020-06-30,0.0,33172.42,2764.368507,0.0,893.9,0.0,893.9,893.9,0.0,33189.75
Jul 2020,2020-07-30,0.0,37780.15,3148.345496,0.0,7199.19,0.0,7199.19,7199.19,0.0,38775.36
Aug 2020,2020-08-31,0.0,41851.99,3487.665719,0.0,778.2,0.0,778.2,778.2,0.0,41940.61
Sep 2020,2020-09-30,0.0,41359.02,3446.585251,0.0,3095.81,0.0,3095.81,3095.81,0.0,41383.38
Oct 2020,2020-10-30,0.0,41608.78,3467.398017,0.0,635.95,0.0,635.95,635.95,0.0,41592.26
Nov 2020,2020-11-27,0.0,45840.63,3820.052164,0.0,493.38,0.0,493.38,493.38,0.0,45911.71
Dec 2020,2020-12-31,0.0,48380.26,4031.688143,0.0,0.0,0.0,0.0,0.0,0.0,48380.26
Jan 2021,2021-01-29,0.0,49770.79,4147.566143,0.0,0.0,0.0,0.0,0.0,0.0,49770.79
Feb 2021,2021-02-26,0.0,52562.22,4380.185074,0.0,539.85,0.0,539.85,539.85,0.0,52564.93
Mar 2021,2021-03-31,0.0,53228.25,4435.687499,0.0,0.0,0.0,0.0,0.0,0.0,53228.25
Apr 2021,2021-04-30,0.0,60338.05,5028.170846,0.0,388.61,0.0,388.61,388.61,0.0,60404.97
