Ticker,Quantity,Avg_Price,Invested,Current_Price,Current_Amount
KNRCON.NS,17.012807,291.17,4953.69,193.77,3296.57
CHAMBLFERT.NS,22.703788,445.73,10119.8,544.85,12370.16
HAL.NS,2.076246,3771.37,7830.3,4429.6,9196.94
BANCOINDIA.NS,30.008109,488.6,14662.03,590.7,17725.79
SURYAROSNI.NS,14.569613,544.85,7938.21,281.98,4108.37
HGINFRA.NS,5.335073,986.3,5261.98,992.05,5292.66
PCBL.NS,32.093833,381.6,12246.96,374.85,12030.37
APARINDS.NS,0.369877,6263.95,2316.89,7802.0,2885.78
ECLERX.NS,2.717581,3517.55,9559.22,4496.8,12220.42
POWERGRID.NS,9.890786,310.4,3070.1,279.85,2767.94
TI.NS,74.209548,281.73,20907.34,480.75,35676.24
WELCORP.NS,17.883577,874.85,15645.36,848.45,15173.32
CHOLAFIN.NS,5.707372,1577.26,9001.99,1453.8,8297.38
REDINGTON.NS,29.153468,308.78,9001.99,243.89,7110.24
REFEX.NS,3.454204,417.65,1442.65,364.2,1258.02
MANAPPURAM.NS,5.819477,247.9,1442.65,275.0,1600.36
EICHERMOT.NS,0.260971,5528.0,1442.65,6280.0,1638.9
