year,total_return,annualized_return,downside_volatility,sharpe,days
2014,5.60654,50.01696156312613,0.05363219448863161,1.7735107153467866,121
2015,1.0359193233093564,1.0654314145629953,0.15627121833911117,1.3166114980163246,247
2016,0.09378206430476221,0.09617610089200679,0.14550230272127335,0.6257415683412064,246
2017,0.963890639190901,0.9853861982403138,0.10737231844781728,4.699754828864781,248
2018,-0.21381673288941416,-0.218416115459108,0.12130688429829646,-1.1610656035221298,246
2019,0.1528455321031179,0.15823425046787776,0.08480198325250211,1.1998796187263403,244
2020,0.17293540315142653,0.17443311324642496,0.3061215113361123,0.6852239874320228,250
2021,1.8567915214595492,1.918144940614083,0.11973089542631546,5.675904646560602,247
2022,-0.30272746335697254,-0.30779844370532616,0.19782090264453486,-0.9344031152701583,247
2023,0.5527642468481477,0.5724095775471343,0.14930298647137905,2.5044939141847546,245
2024,0.5920826801280108,0.6040693027460118,0.2230092166181946,1.5413076518357667,248
2025,0.056261002538459115,0.057431990823769485,0.18710141968395916,0.13545887760349873,247
2026,-0.10974290761726424,-0.35417064268436316,0.1628414176395124,-1.8907018115680336,67
