Ticker,Quantity,Avg_Price,Invested,Current_Price,Current_Amount
HAVELLS.NS,4.381174,239.63,1049.87,1574.2,6896.84
AJANTPHARM.NS,0.6554,573.94,376.16,2452.0,1607.04
KAJARIACER.NS,1.091567,327.43,357.41,1225.8,1338.04
HINDZINC.NS,7.227783,118.15,853.94,435.9,3150.59
WIPRO.NS,1.387755,106.04,147.16,250.36,347.44
AVANTIFEED.NS,2.65843,251.75,669.26,632.3,1680.93
BERGEPAINT.NS,0.206722,207.17,42.83,547.0,113.08
SONATSOFTW.NS,26.796997,94.07,2520.8,354.0,9486.14
IGL.NS,0.042876,301.64,12.93,210.93,9.04
MANAPPURAM.NS,10.00856,144.53,1446.55,275.0,2752.35
KEI.NS,16.710045,970.27,16213.34,3920.3,65508.39
ALKYLAMINE.NS,2.549428,1124.96,2867.99,2035.8,5190.13
CHAMBLFERT.NS,52.410644,294.45,15432.47,544.85,28555.94
KNRCON.NS,2.265459,196.61,445.4,193.77,438.98
NMDC.NS,28.229444,194.21,5482.42,69.62,1965.33
KPRMILL.NS,2.673686,499.89,1336.54,985.0,2633.58
ACE.NS,14.629497,302.81,4429.97,1071.5,15675.51
FACT.NS,24.135451,133.16,3213.93,952.25,22982.98
CHOLAFIN.NS,7.163359,1306.57,9359.43,1453.8,10414.09
HGINFRA.NS,2.973671,896.07,2664.61,992.05,2950.03
JBCHEPHARM.NS,0.094185,1022.21,96.28,1725.5,162.52
LTIM.NS,0.021681,4440.55,96.28,5197.0,112.68
REDINGTON.NS,5.868059,172.63,1013.03,243.89,1431.16
BEL.NS,32.600433,167.37,5456.33,373.9,12189.3
BAJAJ-AUTO.NS,0.022835,4630.81,105.74,8967.0,204.76
HAL.NS,1.147587,3064.19,3516.42,4429.6,5083.35
PERSISTENT.NS,0.256542,3471.53,890.59,5420.0,1390.46
GRSE.NS,0.430264,817.18,351.6,2485.0,1069.21
WABAG.NS,1.666253,1419.71,2365.6,1491.6,2485.38
MSTCLTD.NS,2.332571,845.77,1972.82,458.75,1070.07
SARDAEN.NS,12.913157,490.36,6332.05,601.2,7763.39
POLYCAB.NS,0.318077,6705.08,2132.73,7144.5,2272.5
PCBL.NS,13.200252,406.22,5362.16,374.85,4948.11
ECLERX.NS,0.56088,3081.86,1728.55,4496.8,2522.16
FIEMIND.NS,4.526643,1770.11,8012.65,2192.4,9924.21
WELENT.NS,0.230144,418.85,96.4,470.0,108.17
ULTRACEMCO.NS,0.102595,11174.65,1146.46,12826.0,1315.88
GABRIEL.NS,0.212373,453.9,96.4,1226.45,260.46
TI.NS,15.564866,338.31,5265.76,480.75,7482.81
M&M.NS,0.236269,2983.54,704.92,3315.4,783.33
WELCORP.NS,1.236118,911.65,1126.91,848.45,1048.78
VEDL.NS,4.404898,424.45,1869.66,431.0,1898.51
JINDALSTEL.NS,2.39429,962.85,2305.34,962.85,2305.34
NATIONALUM.NS,12.020137,191.79,2305.34,191.79,2305.34
LT.NS,0.640658,3598.4,2305.34,3598.4,2305.34
