Month,Date,Ticker,Quantity,Current_Price,Current_Amount
Jul 2014,2014-07-01,TORNTPHARM.NS,0.234017,356.1,83.33
Jul 2014,2014-07-01,KKCL.NS,0.247229,337.07,83.33
Jul 2014,2014-07-01,ECLERX.NS,0.284839,292.56,83.33
Jul 2014,2014-07-01,BPCL.NS,0.848033,98.27,83.33
Jul 2014,2014-07-01,ATUL.NS,0.093659,889.75,83.33
Jul 2014,2014-07-01,NAUKRI.NS,0.617925,134.86,83.33
Jul 2014,2014-07-01,ARVIND.NS,0.96018,86.79,83.33
Jul 2014,2014-07-01,ENGINERSIN.NS,0.520427,160.12,83.33
Jul 2014,2014-07-01,KAJARIACER.NS,0.311818,267.25,83.33
Jul 2014,2014-07-01,WIPRO.NS,0.825798,100.91,83.33
Jul 2014,2014-07-01,AJANTPHARM.NS,0.190514,437.41,83.33
Jul 2014,2014-07-01,BALKRISIND.NS,0.229859,362.54,83.33
Aug 2014,2014-08-01,TORNTPHARM.NS,0.234017,372.73,87.22
Aug 2014,2014-08-01,KKCL.NS,0.490077,343.15,168.17
Aug 2014,2014-08-01,ECLERX.NS,0.543037,322.75,175.27
Aug 2014,2014-08-01,BPCL.NS,1.714058,96.22,164.94
Aug 2014,2014-08-01,ATUL.NS,0.165098,1166.5,192.59
Aug 2014,2014-08-01,NAUKRI.NS,1.215982,139.34,169.43
Aug 2014,2014-08-01,ARVIND.NS,1.975215,82.1,162.16
Aug 2014,2014-08-01,ENGINERSIN.NS,1.119947,139.0,155.67
Aug 2014,2014-08-01,KAJARIACER.NS,0.578357,312.65,180.82
Aug 2014,2014-08-01,WIPRO.NS,0.825798,100.5,82.99
Aug 2014,2014-08-01,AJANTPHARM.NS,0.377131,446.55,168.41
Aug 2014,2014-08-01,BALKRISIND.NS,0.450316,378.0,170.22
Aug 2014,2014-08-01,ZENSARTECH.NS,1.010959,82.43,83.33
Aug 2014,2014-08-01,AARTIIND.NS,1.582939,52.64,83.33
Sep 2014,2014-09-01,TORNTPHARM.NS,0.434832,414.98,180.44
Sep 2014,2014-09-01,KKCL.NS,0.722184,359.03,259.29
Sep 2014,2014-09-01,ECLERX.NS,0.543037,343.6,186.59
Sep 2014,2014-09-01,BPCL.NS,2.423429,117.47,284.69
Sep 2014,2014-09-01,ATUL.NS,0.226296,1361.7,308.15
Sep 2014,2014-09-01,NAUKRI.NS,1.779464,147.89,263.16
Sep 2014,2014-09-01,ARVIND.NS,2.746774,108.01,296.67
Sep 2014,2014-09-01,ENGINERSIN.NS,1.119947,119.95,134.34
Sep 2014,2014-09-01,KAJARIACER.NS,0.826225,336.2,277.78
Sep 2014,2014-09-01,WIPRO.NS,0.825798,106.1,87.61
Sep 2014,2014-09-01,AJANTPHARM.NS,0.569155,433.97,247.0
Sep 2014,2014-09-01,BALKRISIND.NS,0.681492,360.48,245.66
Sep 2014,2014-09-01,ZENSARTECH.NS,1.928929,90.78,175.11
Sep 2014,2014-09-01,AARTIIND.NS,2.811907,67.81,190.67
Sep 2014,2014-09-01,IGL.NS,2.119093,39.33,83.33
Oct 2014,2014-10-01,TORNTPHARM.NS,0.623262,442.25,275.64
Oct 2014,2014-10-01,KKCL.NS,0.722184,365.64,264.06
Oct 2014,2014-10-01,ECLERX.NS,0.543037,351.95,191.12
Oct 2014,2014-10-01,BPCL.NS,2.423429,108.81,263.69
