year,total_return,annualized_return,downside_volatility,sharpe,days
2014,5.52808,48.76323187589613,0.04631947983783531,1.7727723604994505,121
2015,1.038402667433536,1.0680017870628071,0.1897180112676111,1.2580932776944689,247
2016,0.18414958545567495,0.18904138693938788,0.13969237551768082,1.0727779782292968,246
2017,0.7400697908114533,0.7556857122880114,0.10735014505864313,3.9131504780632818,248
2018,-0.031800765208543136,-0.03256362729520201,0.124895952860957,-0.1082491341927425,246
2019,0.25479743931510024,0.2641701920217947,0.10879403381426023,1.5199930427753767,244
2020,0.20472605946366973,0.20652246054161805,0.3716234042971244,0.6974303170886451,250
2021,1.2465903208180862,1.283703678974852,0.1317956704940217,4.448767280221941,247
2022,-0.246302724331533,-0.25060454697838763,0.18530474113797524,-0.8363350847300569,247
2023,0.6608416643922626,0.6850908619358937,0.14124875854980617,3.1081612733123913,245
2024,0.43859020291220085,0.4492196219218496,0.1932486379933875,1.5364929543963377,247
2025,-0.08957561115615431,-0.09130348875575112,0.17233009190976795,-0.31214161041275723,247
2026,-0.12171482782792353,-0.38623464547459985,0.1605385774028748,-2.5731248181910615,67
