Ticker,Avg_Holding_Days,Avg_Holding_Months,Avg_Return_Pct
CENTURYPLY.NS,2523.0,82.88,240.26
ADANIENT.NS,1142.2,37.52,6.51
COFORGE.NS,821.0,26.97,-56.6
WABAG.NS,405.1,13.31,48.29
PGEL.NS,251.6,8.27,-27.16
PNBHOUSING.NS,146.0,4.79,-15.24
HSCL.NS,88.0,2.89,-3.96
ASTRAMICRO.NS,638.0,20.96,88.96
PCBL.NS,401.1,13.18,10.09
INDIGO.NS,91.0,2.99,-4.79
MAHSEAMLES.NS,60.0,1.97,-6.03
