Month,Date,Ticker,Quantity,Current_Price,Current_Amount
Jun 2016,2016-06-01,BERGEPAINT.NS,0.608776,169.61,103.26
Jun 2016,2016-06-01,VGUARD.NS,1.066817,96.79,103.26
Jul 2016,2016-07-01,BPCL.NS,5.615913,181.99,1022.05
Jul 2016,2016-07-01,ECLERX.NS,2.085876,478.22,997.5
Jul 2016,2016-07-01,AARTIIND.NS,19.971544,127.91,2554.6
Jul 2016,2016-07-01,ZENSARTECH.NS,10.30212,196.41,2023.44
Jul 2016,2016-07-01,IGL.NS,25.711453,61.56,1582.93
Jul 2016,2016-07-01,CANFINHOME.NS,11.796281,243.85,2876.52
Jul 2016,2016-07-01,BAJFINANCE.NS,27.8552,81.67,2274.99
Jul 2016,2016-07-01,TORNTPHARM.NS,0.856829,696.85,597.08
Jul 2016,2016-07-01,KEC.NS,1.62212,143.55,232.86
Jul 2016,2016-07-01,ATUL.NS,0.223798,2026.0,453.41
Jul 2016,2016-07-01,INFY.NS,0.657415,586.2,385.38
Jul 2016,2016-07-01,HAVELLS.NS,0.289518,366.8,106.2
Jul 2016,2016-07-01,VGUARD.NS,2.093288,99.69,208.67
Jul 2016,2016-07-01,HMVL.NS,0.376262,271.95,102.32
Jul 2016,2016-07-01,VAKRANGEE.NS,1.162367,88.03,102.32
Jul 2016,2016-07-01,FINCABLES.NS,0.284235,360.0,102.32
Jul 2016,2016-07-01,CHOLAFIN.NS,0.522944,195.67,102.32
Jul 2016,2016-07-01,KAJARIACER.NS,0.170527,600.05,102.32
Jul 2016,2016-07-01,AVANTIFEED.NS,0.592327,172.75,102.32
Aug 2016,2016-08-01,BPCL.NS,5.615913,198.2,1113.07
Aug 2016,2016-08-01,AARTIIND.NS,19.971544,136.76,2731.25
Aug 2016,2016-08-01,ZENSARTECH.NS,10.30212,219.34,2259.67
Aug 2016,2016-08-01,IGL.NS,27.34601,64.97,1776.67
Aug 2016,2016-08-01,CANFINHOME.NS,11.416924,276.41,3155.75
Aug 2016,2016-08-01,BAJFINANCE.NS,28.801171,112.26,3233.29
Aug 2016,2016-08-01,TORNTPHARM.NS,0.856829,729.05,624.67
Aug 2016,2016-08-01,KEC.NS,1.62212,146.3,237.32
Aug 2016,2016-08-01,ATUL.NS,0.279057,1921.8,536.29
Aug 2016,2016-08-01,INFY.NS,0.657415,542.62,356.73
Aug 2016,2016-08-01,HAVELLS.NS,0.552317,404.1,223.19
Aug 2016,2016-08-01,VGUARD.NS,2.992284,118.13,353.47
Aug 2016,2016-08-01,HMVL.NS,0.376262,274.9,103.43
Aug 2016,2016-08-01,VAKRANGEE.NS,1.162367,87.15,101.3
Aug 2016,2016-08-01,FINCABLES.NS,0.54867,401.6,220.35
Aug 2016,2016-08-01,CHOLAFIN.NS,0.983809,230.43,226.7
Aug 2016,2016-08-01,KAJARIACER.NS,0.337549,635.83,214.62
Aug 2016,2016-08-01,AVANTIFEED.NS,1.115294,203.07,226.48
Aug 2016,2016-08-01,HINDZINC.NS,0.50164,211.7,106.2
Aug 2016,2016-08-01,JAGRAN.NS,0.58982,180.05,106.2
Sep 2016,2016-09-01,BPCL.NS,5.615913,195.6,1098.47
Sep 2016,2016-09-01,AARTIIND.NS,19.971544,149.7,2989.67
Sep 2016,2016-09-01,ZENSARTECH.NS,10.30212,215.16,2216.6
Sep 2016,2016-09-01,IGL.NS,28.868393,78.42,2263.72
Sep 2016,2016-09-01,CANFINHOME.NS,7.065273,301.76,2132.02
Sep 2016,2016-09-01,BAJFINANCE.NS,29.870782,111.61,3333.83
Sep 2016,2016-09-01,TORNTPHARM.NS,0.856829,799.65,685.16
Sep 2016,2016-09-01,KEC.NS,1.62212,135.55,219.88
Sep 2016,2016-09-01,ATUL.NS,0.279057,2178.85,608.02
Sep 2016,2016-09-01,INFY.NS,0.657415,518.78,341.05
Sep 2016,2016-09-01,HAVELLS.NS,0.834634,422.85,352.92
Sep 2016,2016-09-01,VGUARD.NS,3.872372,135.64,525.26
Sep 2016,2016-09-01,HMVL.NS,0.376262,283.0,106.48
Sep 2016,2016-09-01,VAKRANGEE.NS,2.479079,90.66,224.76
Sep 2016,2016-09-01,FINCABLES.NS,0.822723,435.6,358.38
Sep 2016,2016-09-01,CHOLAFIN.NS,1.495676,233.22,348.82
Sep 2016,2016-09-01,KAJARIACER.NS,0.523387,642.38,336.21
Sep 2016,2016-09-01,AVANTIFEED.NS,1.115294,181.12,202.0
Sep 2016,2016-09-01,HINDZINC.NS,1.030327,225.8,232.65
Sep 2016,2016-09-01,JAGRAN.NS,0.58982,197.9,116.73
Sep 2016,2016-09-01,VSTIND.NS,0.580977,205.48,119.38
Sep 2016,2016-09-01,HEROMOTOCO.NS,0.03365,3547.6,119.38
