year,yearly_log_return,yearly_return,annualized_return,volatility,downside_volatility,sharpe,max_drawdown,days
2008,-0.2774102556197906,-0.2422564352218094,-0.7003978141027861,0.4812623813785045,0.31948109976953804,-2.5044544887576112,-0.32671574249786256,58
2009,0.6879941900915396,0.9897205268229996,1.0410726048935048,0.2986627699958496,0.20017137547651997,2.3888998833069857,-0.2557638712946539,243
2010,0.17532804923690465,0.19163706813044934,0.19163706813044934,0.16005156285411914,0.12380337146432184,1.0954472803037196,-0.143844298155947,252
2011,-0.37100935876613383,-0.3099625163708629,-0.31512550033440856,0.18301525085322337,0.11636672350181178,-2.068241132406503,-0.32311918376499693,247
2012,0.33044465475250123,0.3915867665826762,0.39342001453356934,0.16214898126215987,0.1068921101446748,2.046026837411024,-0.15175170408981586,251
2013,-0.052351423801567085,-0.05100469130286511,-0.051402058130910366,0.1762172121306085,0.11725923418521023,-0.2994612986662587,-0.26558980775793334,250
2014,0.44403213684316073,0.5589805855314522,0.5818429123740088,0.17738705470707025,0.1355415694781429,2.5852538581049656,-0.09150850382055702,244
2015,0.06260945832212646,0.06461098307239843,0.0656866021574134,0.18470140647208763,0.17779255461082044,0.34444398399683135,-0.1293377623860345,248
2016,0.06886347125683573,0.07128993729471378,0.07278435403989914,0.18055215139459088,0.1450520841251691,0.38912562441393117,-0.15214823564151778,247
2017,0.3870161735912202,0.4725803079924742,0.4818011927591588,0.1342247765946924,0.1078465041608349,2.929849316322246,-0.07449453995026485,248
2018,-0.16740473956318244,-0.1541428098234996,-0.15758943946350823,0.18086777110886262,0.12106109464502435,-0.948138968817921,-0.2635791788991256,246
2019,-0.044206408563817884,-0.04324354563508748,-0.04445120471975006,0.1635614877506787,0.09965059169880353,-0.27799605783611325,-0.17254033775199137,245
2020,0.19776951964961478,0.21868147931588866,0.21868147931588866,0.2975129408699241,0.32296577918036085,0.6647425791676128,-0.4016169865251123,252
2021,0.37885862653540603,0.46061652872736025,0.46956913082549656,0.18653458396458542,0.1495290322895346,2.0637955780743056,-0.1230538120955581,248
2022,0.034423595162077325,0.035022944594633065,0.03696275063418253,0.19865969432958097,0.15469545092065717,0.18270444042782105,-0.21059842824416558,239
2023,0.38230614004108116,0.4656607138890041,0.4793912417862729,0.11939769064963872,0.10335537882376047,3.2800523855296877,-0.08028747086443927,246
2024,0.21396174991371336,0.23857527827611347,0.24505577633208198,0.19072511727280717,0.17963152559017173,1.1491948848372862,-0.11585632399245367,246
2025,0.055842850910376364,0.05743149628186961,0.05838434451222185,0.18085148480760255,0.13391045534883866,0.31375767865250476,-0.17541414120554397,248
2026,-0.044638266507000285,-0.04365663930428465,-0.16118338691241507,0.23276508873103313,0.16006712761186814,-0.7551096916188025,-0.14285295654679658,64
