year,yearly_log_return,yearly_return,annualized_return,volatility,downside_volatility,sharpe,max_drawdown,days
2008,-0.43406283387015776,-0.3521284540702013,-0.8483117990884994,0.48189189443600217,0.34695778194606025,-3.913591817005887,-0.40525679093808437,58
2009,0.7604479391945884,1.139234252778921,1.2003417246390051,0.30626863536917487,0.2178541916944213,2.5749051212269474,-0.24984146624391013,243
2010,0.15060886429245457,0.16254185751125805,0.16254185751125805,0.1784038272765493,0.15698643176615176,0.8442019803700236,-0.20145659579466696,252
2011,-0.4468335371568069,-0.36034962256654735,-0.3661093086058087,0.19125944732209135,0.12794777310476987,-2.383561998335442,-0.37208540738800067,247
2012,0.3234478274491692,0.3818840579710152,0.38366595243074064,0.1473484434752032,0.10267589832808821,2.2038676252902785,-0.14082497919721002,251
2013,-0.08489565078211378,-0.08139186455914293,-0.08201553942980955,0.1577368740224212,0.10793527214395536,-0.5425162411688648,-0.3229685807150595,250
2014,0.5280946129774926,0.6956982670744167,0.7253142200613989,0.19784508207702747,0.1595827451129886,2.756748789135022,-0.08616780045351519,244
2015,0.09717309962277873,0.10205112174477704,0.10377972962536819,0.20081467951226303,0.19344919053743578,0.4916991522782623,-0.14949047030230633,248
2016,0.0036154589193488212,0.003622002574676708,0.003695457775210631,0.20202502087656826,0.18264516336983594,0.018258363894042937,-0.2258036602777657,247
2017,0.4528425195251975,0.5727764854229616,0.5843059597225555,0.14347487193838593,0.11607065362236299,3.2071569391471466,-0.08037552899972439,248
2018,-0.31197997699935787,-0.2680038151583434,-0.2735526321170064,0.19066527375828532,0.14177578886350048,-1.6761796127395847,-0.362146056578096,246
2019,-0.08635031116685551,-0.08272715598963676,-0.08498741793868936,0.1527602704400037,0.09289850700557424,-0.5814172929823586,-0.21908836805398488,245
2020,0.22387618524817285,0.2509161279696952,0.2509161279696952,0.29031963802873334,0.31965311174054456,0.7711368985174042,-0.43798295454545444,252
2021,0.48207621048000504,0.6194331983805672,0.6320740564346412,0.1769118125607946,0.14803028315360295,2.7689029134860523,-0.09298624839781892,248
2022,-0.03713954694945651,-0.03645833333333315,-0.03840286024548534,0.19764973040038814,0.16856002148603766,-0.19812670420156445,-0.26877772313392545,239
2023,0.39268682278912403,0.4809545154911026,0.49520683758767503,0.12641419287675473,0.12042611574984274,3.1821154019185593,-0.11045256649471298,246
2024,0.23450928154753628,0.2642882069324075,0.2715403252979256,0.20531139333979478,0.19509934967724676,1.1700715494355554,-0.1245740053084867,246
2025,-0.062017139878411294,-0.06013322254925502,-0.061072879116033874,0.192709831072459,0.15009406621973231,-0.3270067540268276,-0.2361207133516031,248
2026,-0.057461131255555034,-0.05584141206790638,-0.2024838584331473,0.24164207102013205,0.1557171489269899,-0.9363154493900113,-0.15498698299328834,64
