year,yearly_log_return,yearly_return,annualized_return,volatility,downside_volatility,sharpe,max_drawdown,days
2014,0.27486860786341605,0.3163577044530974,0.33297658837374655,0.12396427380906516,0.07099742303566654,2.318526694026041,-0.06221022598302623,241
2015,-0.04356932159240693,-0.04263381435789504,-0.04347781043791421,0.15191320712787557,0.12271855170373812,-0.2926097901923042,-0.1501901238559886,247
2016,0.038932762299257816,0.03970057422383855,0.04068832154436075,0.1447851516577245,0.09937397440741387,0.27545878434975984,-0.12140703600530708,246
2017,0.26155590937520157,0.2989495630002723,0.30444094333469507,0.08756532907615931,0.054570744755682105,3.035157360553583,-0.03854381491119883,248
2018,0.04707274999918104,0.048198262728650576,0.0494024068880734,0.12265041757580758,0.08696817590935613,0.39315696437001796,-0.14052005809393464,246
2019,0.12763094532814512,0.13613362989211075,0.1415169290152858,0.13069247946563228,0.06789355524985825,1.0127439460825394,-0.10471774212930918,243
2020,0.1434415709426722,0.15423936771862246,0.1548991813680063,0.2735591068196024,0.2724754191201106,0.5264421754380216,-0.3633661474801528,251
2021,0.23090823828934365,0.25974363791421173,0.2644440819932663,0.14336044440898696,0.10420472967291086,1.6366618119848455,-0.09542009274016203,248
2022,0.05314471511970967,0.05458224807338574,0.0554865948530161,0.15966205935747405,0.11351071352866061,0.33822617697366686,-0.15734991611786017,248
2023,0.19071050349018148,0.21010907901298248,0.21672080478327982,0.09286521127362005,0.05601308094024803,2.1123020378482127,-0.07011218205037541,245
2024,0.09854832770107416,0.10356773599734459,0.10577144662047377,0.11759975390333567,0.08701573365302302,0.8549612544492952,-0.10507926353359907,247
2025,0.11029781592357045,0.11661056535206571,0.1161238741893813,0.1107490209344225,0.06858181281599077,0.9919894121853156,-0.08299680569212141,253
2026,-0.08240737302048555,-0.07910326621071306,-0.2631655430280673,0.18451927377819644,0.11841715144983898,-1.655068455320057,-0.1482439494578426,68
