Ticker,Quantity,Avg_Buy_Price,Invested_Amount,Current_Price,Current_Amount,Percent_of_Portfolio,Month,Date
VAKRANGEE.NS,2.287866,56.49,129.24,123.33,282.16,1.055,Dec 2016,2016-12-30
TATASTEEL.NS,37.973441,5.67,215.49,11.04,419.05,1.566,Dec 2016,2016-12-30
HINDPETRO.NS,0.621636,70.32,43.72,132.02,82.07,0.307,Dec 2016,2016-12-30
AVANTIFEED.NS,0.863222,153.32,132.35,149.13,128.73,0.481,Dec 2016,2016-12-30
ARVIND.NS,0.832232,106.72,88.82,122.14,101.65,0.38,Dec 2016,2016-12-30
BPCL.NS,1.430905,124.19,177.7,126.57,181.12,0.677,Dec 2016,2016-12-30
KPRMILL.NS,1.916764,114.69,219.84,110.63,212.06,0.793,Dec 2016,2016-12-30
TIDEWATER.NS,0.731283,283.99,207.68,311.69,227.93,0.852,Dec 2016,2016-12-30
FINCABLES.NS,0.10923,411.87,44.99,381.95,41.72,0.156,Dec 2016,2016-12-30
BERGEPAINT.NS,0.217156,207.17,44.99,167.22,36.31,0.136,Dec 2016,2016-12-30
CHOLAFIN.NS,0.065239,186.41,12.16,183.43,11.97,0.045,Dec 2016,2016-12-30
FINPIPE.NS,0.15586,78.03,12.16,77.59,12.09,0.045,Dec 2016,2016-12-30
EICHERMOT.NS,0.006281,1936.24,12.16,1901.42,11.94,0.045,Dec 2016,2016-12-30
BAJFINANCE.NS,8.519175,361.09,3076.15,1013.49,8634.07,28.298,Jan 2017,2017-01-31
AARTIIND.NS,23.609204,82.57,1949.45,170.08,4015.4,13.161,Jan 2017,2017-01-31
HAVELLS.NS,3.72772,236.93,883.21,396.01,1476.22,4.838,Jan 2017,2017-01-31
ATUL.NS,0.503582,1216.82,612.77,2198.78,1107.27,3.629,Jan 2017,2017-01-31
