Ticker,Quantity,Avg_Price,Invested,Current_Price,Current_Amount
HAVELLS.NS,3.72772,236.93,883.21,1574.2,5868.18
AJANTPHARM.NS,0.90217,554.22,500.0,2452.0,2212.12
KAJARIACER.NS,3.382066,340.82,1152.66,1225.8,4145.74
TCS.NS,0.15034,1108.6,166.67,3112.6,467.95
HINDZINC.NS,7.821592,117.36,917.92,435.9,3409.43
TITAN.NS,0.324897,323.51,105.11,3618.6,1175.67
WIPRO.NS,1.387755,106.04,147.16,250.36,347.44
AVANTIFEED.NS,1.537068,224.9,345.68,632.3,971.89
BERGEPAINT.NS,0.217156,207.17,44.99,547.0,118.78
BALKRISIND.NS,0.014659,504.79,7.4,2323.0,34.05
IGL.NS,0.731643,283.7,207.57,210.93,154.33
BRITANNIA.NS,0.355331,2796.1,993.54,5846.5,2077.44
SONATSOFTW.NS,25.317539,130.2,3296.31,354.0,8962.41
KEI.NS,16.591366,1079.56,17911.43,3920.3,65043.13
HINDUNILVR.NS,0.008074,1678.97,13.56,2649.5,21.39
MANAPPURAM.NS,8.926639,144.53,1290.18,275.0,2454.83
ALKYLAMINE.NS,2.870849,1613.16,4631.14,2035.8,5844.47
CHAMBLFERT.NS,43.252306,292.92,12669.33,544.85,23566.02
KNRCON.NS,1.917974,196.61,377.08,193.77,371.65
NMDC.NS,21.728607,197.54,4292.19,69.62,1512.75
KPRMILL.NS,2.010693,495.48,996.27,985.0,1980.53
ACE.NS,12.352573,302.62,3738.16,1071.5,13235.78
FACT.NS,18.911139,371.68,7028.9,952.25,18008.13
PERSISTENT.NS,0.186029,2903.91,540.21,5420.0,1008.28
HGINFRA.NS,2.927804,886.85,2596.53,992.05,2904.53
JBCHEPHARM.NS,0.107376,1022.21,109.76,1725.5,185.28
LTIM.NS,0.024718,4440.55,109.76,5197.0,128.46
PNCINFRA.NS,5.808072,365.21,2121.19,303.1,1760.43
BEL.NS,28.475111,166.84,4750.77,373.9,10646.84
REDINGTON.NS,5.348596,172.63,923.35,243.89,1304.47
HAL.NS,1.445023,3963.12,5726.8,4429.6,6400.87
SUPREMEIND.NS,0.860122,4449.85,3827.41,4574.8,3934.88
MSTCLTD.NS,4.537829,854.01,3875.35,458.75,2081.73
SARDAEN.NS,8.443846,492.87,4161.73,601.2,5076.44
POLYCAB.NS,0.367454,6705.08,2463.81,7144.5,2625.27
PCBL.NS,4.044853,391.17,1582.23,374.85,1516.21
TVSMOTOR.NS,0.188413,2858.2,538.52,3356.2,632.35
WELENT.NS,0.25013,418.85,104.77,470.0,117.56
FIEMIND.NS,1.612379,1785.09,2878.24,2192.4,3534.98
GABRIEL.NS,2.053467,576.74,1184.32,1226.45,2518.47
CHOLAFIN.NS,1.398319,1459.6,2040.99,1453.8,2032.88
TI.NS,8.463765,302.11,2557.02,480.75,4068.96
M&M.NS,0.132118,2928.8,386.95,3315.4,438.02
WELCORP.NS,0.605489,911.65,551.99,848.45,513.73
ECLERX.NS,0.190505,4496.8,856.66,4496.8,856.66
NATIONALUM.NS,4.466676,191.79,856.66,191.79,856.66
JINDALSTEL.NS,0.889717,962.85,856.66,962.85,856.66
