year,total_return,annualized_return,downside_volatility,sharpe,days
2014,6.13915,58.95733376858499,0.05670916850836648,2.8454983465874086,121
2015,1.0522736520106477,1.082360041723276,0.19030510030173778,1.3753435785581067,247
2016,0.06426539945264942,0.06588339770226281,0.14828560853591885,0.45452704775985175,246
2017,0.7093151040396022,0.7241590491116696,0.10678003139658243,3.9829426546605213,248
2018,-0.3263176829199125,-0.3327768175767001,0.12933740993882564,-1.9936773561302885,246
2019,0.04871818764307334,0.05035507370902503,0.073763369802891,0.4764778360021349,244
2020,0.29127591389142404,0.29391933519321944,0.27462809986372466,1.1130709053479755,250
2021,1.6258281329391981,1.6776479035745382,0.11621675558051066,5.295353442504821,247
2022,-0.3067030543487611,-0.31182478130363345,0.1988644463985125,-1.003012909229814,247
2023,0.688657211734135,0.7141257726565227,0.14965495197963785,2.982489703193929,245
2024,0.37294878051709457,0.3799856390185503,0.20556210272082837,1.390686935341842,248
2025,-0.13975692516890448,-0.1423744174393441,0.16289775106021992,-0.5516604484017634,247
2026,-0.09938724811271926,-0.3254580827818324,0.14031228795159312,-1.7996996490148125,67
