Ticker,Quantity,Avg_Buy_Price,Invested_Amount,Current_Price,Current_Amount,Percent_of_Portfolio,Month,Date
IGL.NS,1.505391,91.11,137.15,99.44,149.7,0.937,Jan 2016,2016-01-29
VSTIND.NS,613.213397,4.65,2850.03,6.88,4219.08,28.998,Feb 2016,2016-02-29
BALKRISIND.NS,0.599085,278.2,166.67,262.57,157.3,1.081,Feb 2016,2016-02-29
KKCL.NS,0.118716,324.53,38.53,296.39,35.19,0.242,Feb 2016,2016-02-29
AJANTPHARM.NS,0.553359,770.26,426.23,803.47,444.61,3.056,Feb 2016,2016-02-29
TORNTPHARM.NS,3.711774,496.38,1842.44,545.18,2023.59,13.908,Feb 2016,2016-02-29
ZENSARTECH.NS,18.719608,124.6,2332.41,147.64,2763.8,18.996,Feb 2016,2016-02-29
KAJARIACER.NS,0.215307,458.08,98.63,403.4,86.85,0.597,Feb 2016,2016-02-29
RATNAMANI.NS,5.92531,367.88,2179.82,265.3,1571.98,10.804,Feb 2016,2016-02-29
BRITANNIA.NS,0.236934,989.53,234.45,1219.78,289.01,1.986,Feb 2016,2016-02-29
VINATIORGA.NS,3.139546,262.29,823.46,179.85,564.65,3.881,Feb 2016,2016-02-29
BAJFINANCE.NS,2.030333,534.25,1084.71,577.73,1172.98,8.062,Feb 2016,2016-02-29
JUBLFOOD.NS,0.812569,183.43,149.05,97.37,79.12,0.544,Feb 2016,2016-02-29
MUNJALSHOW.NS,0.993571,150.01,149.05,112.97,112.24,0.771,Feb 2016,2016-02-29
INFY.NS,0.930012,452.11,420.47,430.95,400.79,2.755,Feb 2016,2016-02-29
ECLERX.NS,0.355294,908.93,322.94,870.81,309.39,2.126,Feb 2016,2016-02-29
IGL.NS,3.534763,96.31,340.42,90.3,319.18,2.194,Feb 2016,2016-02-29
VSTIND.NS,626.469461,4.7,2945.19,7.53,4716.44,29.366,Mar 2016,2016-03-31
BALKRISIND.NS,0.599085,278.2,166.67,292.06,174.97,1.089,Mar 2016,2016-03-31
AJANTPHARM.NS,0.287487,815.53,234.45,874.61,251.44,1.566,Mar 2016,2016-03-31
TORNTPHARM.NS,3.882747,499.03,1937.6,593.37,2303.9,14.345,Mar 2016,2016-03-31
ZENSARTECH.NS,19.351148,125.45,2427.58,164.83,3189.57,19.859,Mar 2016,2016-03-31
KAJARIACER.NS,0.215307,458.08,98.63,446.67,96.17,0.599,Mar 2016,2016-03-31
RATNAMANI.NS,5.92531,367.88,2179.82,293.12,1736.82,10.814,Mar 2016,2016-03-31
BRITANNIA.NS,0.236934,989.53,234.45,1188.91,281.69,1.754,Mar 2016,2016-03-31
VINATIORGA.NS,3.139546,262.29,823.46,188.11,590.57,3.677,Mar 2016,2016-03-31
BAJFINANCE.NS,2.187715,539.32,1179.88,676.23,1479.39,9.211,Mar 2016,2016-03-31
JUBLFOOD.NS,0.812569,183.43,149.05,124.97,101.54,0.632,Mar 2016,2016-03-31
MUNJALSHOW.NS,0.993571,150.01,149.05,125.53,124.72,0.777,Mar 2016,2016-03-31
INFY.NS,0.930012,452.11,420.47,484.31,450.42,2.804,Mar 2016,2016-03-31
IGL.NS,4.541374,95.92,435.59,101.18,459.48,2.861,Mar 2016,2016-03-31
BAJAJ-AUTO.NS,0.053554,1777.03,95.17,1935.77,103.67,0.645,Mar 2016,2016-03-31
VSTIND.NS,629.623966,4.71,2968.3,7.43,4678.2,28.295,Apr 2016,2016-04-29
BALKRISIND.NS,0.599085,278.2,166.67,308.02,184.53,1.116,Apr 2016,2016-04-29
AJANTPHARM.NS,0.287487,815.53,234.45,940.0,270.24,1.634,Apr 2016,2016-04-29
TORNTPHARM.NS,3.882747,499.03,1937.6,633.21,2458.61,14.87,Apr 2016,2016-04-29
ZENSARTECH.NS,19.48875,125.75,2450.68,172.55,3362.82,20.339,Apr 2016,2016-04-29
KAJARIACER.NS,0.215307,458.08,98.63,489.53,105.4,0.637,Apr 2016,2016-04-29
RATNAMANI.NS,5.92531,367.88,2179.82,307.88,1824.27,11.034,Apr 2016,2016-04-29
BRITANNIA.NS,0.236934,989.53,234.45,1266.84,300.16,1.815,Apr 2016,2016-04-29
VINATIORGA.NS,3.139546,262.29,823.46,220.26,691.51,4.182,Apr 2016,2016-04-29
BAJFINANCE.NS,2.22211,541.37,1202.98,666.95,1482.03,8.964,Apr 2016,2016-04-29
JUBLFOOD.NS,0.812569,183.43,149.05,113.23,92.01,0.556,Apr 2016,2016-04-29
INFY.NS,0.978221,453.45,443.57,480.26,469.8,2.841,Apr 2016,2016-04-29
IGL.NS,4.541374,95.92,435.59,101.83,462.46,2.797,Apr 2016,2016-04-29
BAJAJ-AUTO.NS,0.053554,1777.03,95.17,2004.97,107.37,0.649,Apr 2016,2016-04-29
TIDEWATER.NS,0.07131,323.97,23.1,304.34,21.7,0.131,Apr 2016,2016-04-29
TVSSRICHAK.NS,0.010803,2138.41,23.1,2107.18,22.76,0.138,Apr 2016,2016-04-29
VSTIND.NS,641.575762,4.77,3060.75,7.55,4842.72,29.251,May 2016,2016-05-31
BALKRISIND.NS,0.599085,278.2,166.67,308.13,184.6,1.115,May 2016,2016-05-31
TORNTPHARM.NS,3.882747,499.03,1937.6,594.03,2306.48,13.931,May 2016,2016-05-31
ZENSARTECH.NS,20.029174,126.97,2543.14,167.57,3356.32,20.273,May 2016,2016-05-31
KAJARIACER.NS,0.215307,458.08,98.63,508.42,109.47,0.661,May 2016,2016-05-31
RATNAMANI.NS,5.92531,367.88,2179.82,312.87,1853.85,11.198,May 2016,2016-05-31
VINATIORGA.NS,3.139546,262.29,823.46,225.55,708.13,4.277,May 2016,2016-05-31
BAJFINANCE.NS,2.356326,549.77,1295.44,741.14,1746.37,10.548,May 2016,2016-05-31
JUBLFOOD.NS,0.812569,183.43,149.05,101.16,82.2,0.496,May 2016,2016-05-31
INFY.NS,1.17187,457.42,536.03,496.38,581.69,3.513,May 2016,2016-05-31
IGL.NS,5.433757,97.18,528.05,99.21,539.1,3.256,May 2016,2016-05-31
BAJAJ-AUTO.NS,0.053554,1777.03,95.17,2106.67,112.82,0.681,May 2016,2016-05-31
TIDEWATER.NS,0.378435,305.37,115.56,287.63,108.85,0.657,May 2016,2016-05-31
TVSSRICHAK.NS,0.010803,2138.41,23.1,2156.5,23.3,0.141,May 2016,2016-05-31
VSTIND.NS,641.575762,4.77,3060.75,7.73,4960.9,29.021,Jun 2016,2016-06-30
BALKRISIND.NS,0.599085,278.2,166.67,306.74,183.77,1.075,Jun 2016,2016-06-30
TORNTPHARM.NS,3.882747,499.03,1937.6,607.8,2359.94,13.806,Jun 2016,2016-06-30
ZENSARTECH.NS,20.029174,126.97,2543.14,171.47,3434.49,20.092,Jun 2016,2016-06-30
KAJARIACER.NS,0.215307,458.08,98.63,562.39,121.09,0.708,Jun 2016,2016-06-30
RATNAMANI.NS,5.92531,367.88,2179.82,315.46,1869.21,10.935,Jun 2016,2016-06-30
VINATIORGA.NS,3.139546,262.29,823.46,265.06,832.15,4.868,Jun 2016,2016-06-30
BAJFINANCE.NS,2.356326,549.77,1295.44,780.98,1840.23,10.765,Jun 2016,2016-06-30
JUBLFOOD.NS,0.812569,183.43,149.05,111.18,90.34,0.528,Jun 2016,2016-06-30
INFY.NS,1.17187,457.42,536.03,470.85,551.78,3.228,Jun 2016,2016-06-30
IGL.NS,5.433757,97.18,528.05,111.47,605.7,3.543,Jun 2016,2016-06-30
