Ticker,Quantity,Avg_Price,Invested,Current_Price,Current_Amount
TI.NS,34.941617,372.04,12999.52,480.75,16798.18
BANCOINDIA.NS,36.559561,471.09,17223.02,590.7,21595.73
SURYAROSNI.NS,12.818765,552.88,7087.26,281.98,3614.66
APARINDS.NS,2.932675,7586.44,22248.55,7802.0,22880.73
RITES.NS,8.83704,360.82,3188.62,258.48,2284.2
GULFOILLUB.NS,2.095539,1379.1,2889.96,1273.4,2668.46
POWERGRID.NS,13.749065,310.73,4272.19,279.85,3847.68
HINDZINC.NS,11.940268,430.65,5142.12,435.9,5204.76
KSCL.NS,9.627825,1196.97,11524.18,1188.4,11441.71
DIXON.NS,0.133027,14486.15,1927.05,17582.0,2338.88
DIVISLAB.NS,0.327501,5884.1,1927.05,6093.0,1995.46
COROMANDEL.NS,5.601261,2203.98,12345.07,2339.4,13103.59
GRAVITA.NS,5.554682,1727.76,9597.13,1655.6,9196.33
PERSISTENT.NS,0.876482,5417.56,4748.39,5420.0,4750.53
CHAMBLFERT.NS,3.810428,545.35,2078.02,544.85,2076.11
AVANTIFEED.NS,3.238588,824.55,2670.38,632.3,2047.76
SUVENPHAR.NS,3.475684,1035.32,3598.43,1056.65,3672.58
ASTRAZEN.NS,0.564286,8592.7,4848.74,8764.0,4945.4
POLYMED.NS,1.010894,2574.0,2602.04,2071.6,2094.17
SOLARINDS.NS,0.361431,14587.64,5272.42,14046.0,5076.65
MANAPPURAM.NS,19.432409,262.28,5096.73,275.0,5343.91
REDINGTON.NS,28.451491,269.41,7665.01,243.89,6939.03
WELCORP.NS,5.634309,904.59,5096.73,848.45,4780.43
AKZOINDIA.NS,0.75263,3419.0,2573.24,3407.6,2564.66
REFEX.NS,6.042121,417.65,2523.49,364.2,2200.54
GPIL.NS,10.733803,239.27,2568.28,239.27,2568.28
IMFA.NS,2.878105,892.35,2568.28,892.35,2568.28
CREDITACC.NS,1.8303,1403.2,2568.28,1403.2,2568.28
