Month,Ticker,Invested_Amount,Current_Amount,Portfolio_Total,Weight_Pct
May 2023,PERSISTENT.NS,6843.8,10189.52,93068.88,10.948
Jun 2023,ASAL.NS,7457.46,11481.81,98645.01,11.64
Jul 2023,ECLERX.NS,7777.03,8879.89,104036.87,8.535
Aug 2023,SALASAR.NS,7977.06,9258.18,111368.43000000001,8.313
Sep 2023,ECLERX.NS,7777.03,9311.37,113399.95,8.211
Oct 2023,ECLERX.NS,7777.03,10118.87,110987.13,9.117
Nov 2023,ECLERX.NS,7777.03,13834.11,123949.78,11.161
Dec 2023,BANCOINDIA.NS,8692.35,15609.28,137382.62,11.362
Jan 2024,SALASAR.NS,7102.58,19703.04,159408.22,12.36
Feb 2024,SALASAR.NS,6684.96,18836.88,154636.97,12.181
Mar 2024,BANCOINDIA.NS,8339.7,14038.03,143570.21,9.778
Apr 2024,BANCOINDIA.NS,9991.68,16375.89,161281.8,10.154
May 2024,BANCOINDIA.NS,12262.38,17707.4,164026.99,10.795
Jun 2024,BANCOINDIA.NS,13623.08,22081.07,178065.35,12.401
Jul 2024,BANCOINDIA.NS,13623.08,24381.65,188657.81,12.924
Aug 2024,BANCOINDIA.NS,16405.61,24316.83,202216.89,12.025
Sep 2024,GODFRYPHLP.NS,14962.15,27933.98,216059.12,12.929
Oct 2024,GODFRYPHLP.NS,17852.11,29330.67,206216.17,14.223
Nov 2024,BANCOINDIA.NS,16405.61,41475.02,219457.74,18.899
Dec 2024,APARINDS.NS,20351.25,28377.03,195907.57,14.485
Jan 2025,GODFRYPHLP.NS,22941.7,24040.78,160594.44,14.97
Feb 2025,GODFRYPHLP.NS,21367.37,23723.99,137972.06,17.195
Mar 2025,GODFRYPHLP.NS,20017.13,27811.33,151764.81,18.325
Apr 2025,GODFRYPHLP.NS,20017.13,33344.67,162253.62,20.551
May 2025,GODFRYPHLP.NS,17746.43,29653.16,187609.06,15.806
Jun 2025,GODFRYPHLP.NS,16385.73,27271.37,191861.68,14.214
Jul 2025,APARINDS.NS,22248.55,26122.8,186241.21,14.026
Aug 2025,APARINDS.NS,22248.55,22675.44,180846.81,12.538
Sep 2025,BANCOINDIA.NS,17223.02,30549.17,185985.88999999998,16.426
