Month,Ticker,Invested_Amount,Current_Amount,Portfolio_Total,Weight_Pct
Jun 2021,AARTIIND.NS,47515.5,72495.63,170735.75,42.461
Jul 2021,AARTIIND.NS,62895.19,94546.19,193663.36,48.82
Aug 2021,AARTIIND.NS,62895.19,94879.95,194490.69999999998,48.784
Sep 2021,AARTIIND.NS,62895.19,94045.54,195456.0,48.116
Oct 2021,AARTIIND.NS,75185.56,110088.32,193887.54,56.779
Nov 2021,AARTIIND.NS,75185.56,107028.09,187087.03,57.208
Dec 2021,AARTIIND.NS,75185.56,114712.92,199374.62,57.536
Jan 2022,AARTIIND.NS,75652.19,113144.46,198255.07,57.07
Feb 2022,BAJFINANCE.NS,40768.35,41745.21,178544.86,23.381
Mar 2022,BAJFINANCE.NS,57861.07,61445.82,201027.47,30.566
Apr 2022,BAJFINANCE.NS,57861.07,56467.91,201240.62,28.06
May 2022,BAJFINANCE.NS,57861.07,51477.31,176589.8,29.151
Jun 2022,SRF.NS,48615.53,45370.69,144962.06,31.298
Jul 2022,SRF.NS,48615.53,48918.23,160747.18,30.432
Aug 2022,SRF.NS,48615.53,51236.92,180664.68,28.36
Sep 2022,SRF.NS,48615.53,50432.13,176308.36,28.605
Oct 2022,ANDHRSUGAR.NS,35037.57,34415.95,177380.64,19.402
Nov 2022,JWL.NS,45248.18,57957.79,183849.93,31.525
Dec 2022,JWL.NS,47896.66,64633.03,218299.45,29.608
Jan 2023,ACE.NS,61731.74,68279.06,233904.82,29.191
Feb 2023,TATACHEM.NS,79794.28,81569.05,229313.76,35.571
Mar 2023,JKPAPER.NS,109456.79,106513.03,234052.88,45.508
Apr 2023,ADANIPOWER.NS,59756.56,87475.68,273171.19,32.022
May 2023,SONATSOFTW.NS,69526.87,78733.67,334122.58999999997,23.564
Jun 2023,KEI.NS,81698.89,98451.44,380470.22,25.876
Jul 2023,KEI.NS,101659.4,124441.7,395687.6,31.449
Aug 2023,DLINKINDIA.NS,123121.4,151189.81,431667.2,35.025
Sep 2023,UGARSUGAR.NS,139909.28,129720.93,414173.27,31.32
Oct 2023,CHOLAFIN.NS,111094.78,107925.66,380304.25,28.379
Nov 2023,CHOLAFIN.NS,184956.93,177875.94,410999.44,43.279
Dec 2023,CHOLAFIN.NS,212639.74,231447.17,445100.75,51.999
Jan 2024,CHOLAFIN.NS,236294.12,240407.99,435965.33999999997,55.144
Feb 2024,CHOLAFIN.NS,236294.12,221131.08,429883.38999999996,51.44
Mar 2024,CHOLAFIN.NS,236294.12,234814.74,449494.73,52.24
Apr 2024,CHOLAFIN.NS,236294.12,242265.64,481743.9,50.289
May 2024,JSL.NS,138266.07,175791.21,590356.8099999999,29.777
Jun 2024,JSL.NS,187293.88,232412.37,638065.86,36.425
Jul 2024,PNCINFRA.NS,119077.09,119357.11,628648.89,18.986
Aug 2024,MANINFRA.NS,134398.94,135047.91,635649.0,21.246
Sep 2024,FIEMIND.NS,111412.65,140064.66,620293.45,22.58
Oct 2024,FIEMIND.NS,151443.71,159419.55,560488.14,28.443
Nov 2024,FIEMIND.NS,151443.71,157660.43,594108.94,26.537
Dec 2024,FIEMIND.NS,151443.71,152898.94,639857.35,23.896
Jan 2025,FIEMIND.NS,151443.71,144366.44,559581.53,25.799
Feb 2025,FIEMIND.NS,193282.89,182140.05,487599.07999999996,37.354
Mar 2025,FIEMIND.NS,200732.74,194380.99,533335.42,36.446
Apr 2025,FIEMIND.NS,200732.74,198171.26,509536.35000000003,38.892
May 2025,FIEMIND.NS,200732.74,220001.59,557315.45,39.475
Jun 2025,FIEMIND.NS,200732.74,266009.57,610806.99,43.551
Jul 2025,SARDAEN.NS,245176.34,245896.7,638966.26,38.484
Aug 2025,TI.NS,144437.76,171490.91,715979.41,23.952
Sep 2025,NAVA.NS,210322.11,212090.67,736834.13,28.784
