Ticker,Quantity,Avg_Price,Invested,Current_Price,Current_Amount
HINDZINC.NS,27.910235,164.08,4579.6,435.9,12166.07
VSTIND.NS,82.069824,30.12,2471.99,270.45,22195.78
BAJAJ-AUTO.NS,0.842409,4219.95,3554.92,8967.0,7553.88
PERSISTENT.NS,1.213177,2382.45,2890.33,5420.0,6575.42
KNRCON.NS,12.374468,243.47,3012.85,193.77,2397.8
ASAL.NS,10.709382,111.57,1194.85,484.4,5187.62
CHAMBLFERT.NS,6.978326,379.27,2646.65,544.85,3802.14
KEC.NS,3.015073,680.4,2051.44,818.05,2466.48
BANCOINDIA.NS,4.884566,378.8,1850.26,590.7,2885.31
PCBL.NS,8.334829,221.7,1847.82,374.85,3124.31
REDINGTON.NS,11.115565,185.42,2061.07,243.89,2710.98
GPTINFRA.NS,16.854017,30.67,516.86,113.44,1911.92
SURYAROSNI.NS,4.483106,410.43,1839.98,281.98,1264.16
BEPL.NS,16.445368,106.01,1743.34,104.57,1719.69
RITES.NS,6.185042,270.48,1672.93,258.48,1598.71
MUTHOOTFIN.NS,0.740677,1759.92,1303.53,2710.0,2007.24
GREENPLY.NS,5.140327,287.47,1477.69,305.9,1572.43
HEROMOTOCO.NS,0.302347,4582.06,1385.37,5244.0,1585.51
KSCL.NS,0.991139,986.13,977.39,1188.4,1177.87
APARINDS.NS,0.136783,7996.85,1093.83,7802.0,1067.18
BALKRISIND.NS,0.397162,2754.12,1093.83,2323.0,922.61
PNCINFRA.NS,3.109326,328.95,1022.82,303.1,942.44
USHAMART.NS,2.888676,354.08,1022.82,388.5,1122.25
WELCORP.NS,1.352674,756.14,1022.82,848.45,1147.68
KAJARIACER.NS,0.738416,1072.97,792.3,1225.8,905.15
POWERGRID.NS,2.655352,298.38,792.3,279.85,743.1
SPLPETRO.NS,0.789979,664.65,525.06,778.7,615.16
MANAPPURAM.NS,2.962517,219.2,649.39,275.0,814.69
COROMANDEL.NS,0.241063,2143.77,516.78,2339.4,563.94
ECLERX.NS,0.160743,3214.97,516.78,4496.8,722.83
FCL.NS,2.049743,252.12,516.78,239.87,491.67
GRSE.NS,0.255766,2020.53,516.78,2485.0,635.58
GULFOILLUB.NS,0.447933,1153.71,516.78,1273.4,570.4
HDFCAMC.NS,0.113095,4569.47,516.78,5579.5,631.01
KEI.NS,0.148582,3478.1,516.78,3920.3,582.49
LTIM.NS,0.10335,5000.33,516.78,5197.0,537.11
LTTS.NS,0.115981,4455.77,516.78,4244.0,492.22
MPHASIS.NS,0.197039,2622.75,516.78,2921.5,575.65
MSTCLTD.NS,1.030476,501.5,516.78,458.75,472.73
POLYCAB.NS,0.087111,5932.46,516.78,7144.5,622.37
ENDURANCE.NS,0.204026,2262.5,461.61,2939.9,599.82
TVSMOTOR.NS,0.097544,2546.14,248.36,3356.2,327.38
AIAENG.NS,0.086727,3223.03,279.52,3074.52,266.64
BAJAJCON.NS,0.375454,176.52,66.28,238.42,89.52
CANFINHOME.NS,0.368303,758.95,279.52,719.9,265.14
CHOLAFIN.NS,0.185185,1509.43,279.52,1453.8,269.22
CREDITACC.NS,0.221368,1262.71,279.52,1403.2,310.62
DIXON.NS,0.004536,14612.0,66.28,17582.0,79.75
ENGINERSIN.NS,1.282567,217.94,279.52,201.08,257.9
EVEREADY.NS,0.217011,305.4,66.28,433.05,93.98
GODREJAGRO.NS,0.360405,775.58,279.52,742.25,267.51
GPIL.NS,1.399915,199.67,279.52,239.27,334.96
HGINFRA.NS,0.264978,1054.89,279.52,992.05,262.87
ICIL.NS,1.080855,258.61,279.52,223.57,241.65
ITC.NS,0.675213,413.98,279.52,405.85,274.04
JYOTHYLAB.NS,0.821664,340.19,279.52,338.4,278.05
PAISALO.NS,9.0089,31.03,279.52,30.14,271.53
SKFINDIA.NS,0.0591,4729.68,279.52,4533.0,267.9
TI.NS,0.675731,413.66,279.52,480.75,324.86
ACE.NS,0.189077,1127.84,213.25,1071.5,202.6
BASF.NS,0.043745,4874.77,213.25,4629.6,202.52
BLUEDART.NS,0.034756,6135.55,213.25,5802.0,201.66
IMFA.NS,0.266581,799.94,213.25,892.35,237.88
JAMNAAUTO.NS,2.19955,96.95,213.25,105.94,233.02
PFC.NS,0.52636,405.14,213.25,389.55,205.04
RECLTD.NS,0.557561,382.47,213.25,360.9,201.22
REFEX.NS,0.523332,407.48,213.25,364.2,190.6
EICHERMOT.NS,0.024119,5886.79,141.98,6280.0,151.46
INFY.NS,0.095635,1484.62,141.98,1499.4,143.39
MGL.NS,0.109264,1299.44,141.98,1264.8,138.2
PIIND.NS,0.035859,3959.44,141.98,3767.7,135.11
WIPRO.NS,0.575838,246.56,141.98,250.36,144.17
AAVAS.NS,0.047298,1527.9,72.27,1527.9,72.27
ABBOTINDIA.NS,0.002249,32130.0,72.27,32130.0,72.27
AJANTPHARM.NS,0.029473,2452.0,72.27,2452.0,72.27
AKZOINDIA.NS,0.021208,3407.6,72.27,3407.6,72.27
ALKYLAMINE.NS,0.035498,2035.8,72.27,2035.8,72.27
ASIANPAINT.NS,0.028117,2570.2,72.27,2570.2,72.27
ASTRAL.NS,0.051351,1407.3,72.27,1407.3,72.27
ASTRAZEN.NS,0.008246,8764.0,72.27,8764.0,72.27
ATGL.NS,0.121631,594.15,72.27,594.15,72.27
AVANTIFEED.NS,0.114292,632.3,72.27,632.3,72.27
BAYERCROP.NS,0.01386,5214.0,72.27,5214.0,72.27
BEL.NS,0.193279,373.9,72.27,373.9,72.27
BERGEPAINT.NS,0.132115,547.0,72.27,547.0,72.27
BLS.NS,0.195026,370.55,72.27,370.55,72.27
BRITANNIA.NS,0.012361,5846.5,72.27,5846.5,72.27
CARBORUNIV.NS,0.077432,933.3,72.27,933.3,72.27
CGPOWER.NS,0.100763,717.2,72.27,717.2,72.27
COALINDIA.NS,0.191233,377.9,72.27,377.9,72.27
COLPAL.NS,0.030619,2360.2,72.27,2360.2,72.27
CROMPTON.NS,0.215626,335.15,72.27,335.15,72.27
CUMMINSIND.NS,0.018625,3880.1,72.27,3880.1,72.27
DABUR.NS,0.138006,523.65,72.27,523.65,72.27
DIVISLAB.NS,0.011861,6093.0,72.27,6093.0,72.27
ELGIEQUIP.NS,0.15251,473.85,72.27,473.85,72.27
