year,total_return,annualized_return,downside_volatility,sharpe,days
2014,5.91514,55.105701066915714,0.050654541427384646,2.5836045829651133,121
2015,1.3125965656041192,1.3521787338824756,0.1562794881195297,2.209300967924739,247
2016,0.3251167004467175,0.33424607965291697,0.18670937491274392,1.5476633131219943,246
2017,0.7143577937241423,0.7293276931245687,0.10432343608084088,3.5850277256425946,248
2018,-0.13645024855357646,-0.139534629564963,0.1376332323262134,-0.6517156341853187,246
2019,0.20506223204648766,0.21245470672459077,0.10284521265137446,1.1886176390106582,244
2020,0.3098169688058956,0.3126480488611538,0.35545321523204404,0.9870174327608034,250
2021,0.7744767422687737,0.7951974415879697,0.14563949578634683,2.9815261793156393,247
2022,0.008011572082548435,0.008174410727160852,0.1884910574452382,0.2074586217010077,247
2023,0.6481555165041286,0.6718531840780686,0.13852559373057236,2.9696494853681643,245
2024,0.5093067998975114,0.5193612195847914,0.2340474030324605,1.8024013497336429,248
2025,-0.00689998125821778,-0.007039164245895346,0.1811169649550053,0.1489566772437899,247
2026,-0.09684751197605357,-0.31827558449369053,0.1715532209828556,-1.692078887556325,67
