,Ticker,ROE_Mar-25,ROCE_Mar-25,ROE_Mar-24,ROCE_Mar-24,ROE_Mar-23,ROCE_Mar-23,ROE_Mar-22,ROCE_Mar-22,ROE_Mar-21,ROCE_Mar-21,ROE_Mar-20,ROCE_Mar-20,ROE_Mar-19,ROCE_Mar-19,ROE_Mar-18,ROCE_Mar-18,ROE_Mar-17,ROCE_Mar-17,ROE_Mar-16,ROCE_Mar-16,ROE_Mar-15,ROCE_Mar-15,ROE_Mar-14,ROCE_Mar-14,ROE_Mar-13,ROCE_Mar-13,ROE_Mar-12,ROCE_Mar-12,ROE_Mar-11,ROCE_Mar-11,ROE_Mar-10,ROCE_Mar-10,ROE_Mar-09,ROCE_Mar-09,ROE_Mar-08,ROCE_Mar-08,ROE_Mar-07,ROCE_Mar-07,ROE_Mar-06,ROCE_Mar-06,ROE_Mar-05,ROCE_Mar-05,Unnamed: 0
976,TAINWALCHM.NS,3.2,3.77,4.09,4.51,3.32,3.93,0.4,0.79,-0.33,-0.28,5.05,5.08,2.66,2.35,8.43,8.44,10.0,10.04,8.68,8.56,4.99,4.96,0.77,0.76,1.53,1.52,0.67,0.67,3.91,3.88,4.67,4.64,13.41,13.29,19.21,19.19,8.34,8.32,14.0,13.98,0.41,0.41,989
977,TAJGVK.NS,,,13.71,17.48,16.83,20.59,2.5,6.1,-6.86,-2.59,5.8,8.88,6.06,9.53,5.51,3.27,2.86,1.59,2.31,1.23,-0.56,-0.29,1.42,0.85,2.54,1.52,8.63,5.59,13.48,8.95,12.39,8.45,20.46,13.49,30.23,23.32,34.58,24.07,30.5,18.95,18.45,11.02,990
978,TALBROAUTO.NS,,,25.25,18.26,13.56,20.17,13.8,20.82,15.14,17.02,3.77,12.81,11.76,20.73,11.26,18.69,6.78,16.39,6.43,5.19,8.22,6.44,13.88,10.56,10.49,7.66,11.7,7.91,11.61,7.47,8.18,4.25,-2.33,-1.25,9.66,5.33,12.55,7.66,8.46,6.9,28.18,15.07,991
979,TANLA.NS,43.3,40.68,25.61,21.88,30.62,34.44,16.94,21.94,23.79,24.54,-29.73,-27.67,2.44,3.02,1.97,0.95,-0.09,-0.23,0.57,0.57,0.49,0.49,-1.57,-1.56,-0.28,-0.28,-1.68,-1.68,-2.8,-2.8,0.49,0.49,11.36,11.18,15.12,15.02,11.42,11.38,69.37,68.0,35.75,35.16,992
980,TASTYBITE.NS,8.22,10.76,14.48,17.13,12.4,14.96,4.75,6.99,19.04,16.98,25.04,28.59,22.77,30.73,26.64,19.08,29.54,28.54,26.75,18.5,24.44,15.16,12.77,6.86,21.17,10.15,6.96,4.43,8.39,5.34,33.31,22.11,9.89,5.77,9.1,5.89,7.42,4.34,5.16,3.9,-2.61,-1.95,993
981,TATACHEM.NS,3.06,3.65,4.78,4.88,6.42,7.8,5.22,6.33,3.61,4.64,57.1,7.18,6.91,7.46,15.6,8.04,7.82,8.83,8.23,6.73,10.55,7.92,7.64,5.63,12.12,9.6,11.88,7.92,8.61,5.37,10.17,8.21,12.48,10.07,26.57,22.61,18.56,13.08,16.28,10.65,17.04,10.72,994
982,TATACOFFEE.NS,,,,,17.03,10.58,8.74,10.41,9.23,10.72,7.31,8.26,7.37,8.7,6.82,6.42,15.51,14.47,13.52,12.46,14.97,13.5,17.64,15.64,17.86,15.57,17.24,15.58,13.66,11.96,8.88,6.81,6.15,4.26,7.22,4.94,5.96,3.72,12.0,7.67,16.57,14.2,995
983,TATACOMM.NS,,,6.45,10.0,6.75,12.24,11.9,14.01,10.61,12.03,2.53,8.28,-5.39,4.8,3.02,2.76,7.45,6.81,4.41,4.02,8.07,7.4,6.87,5.98,6.32,5.49,2.4,2.01,2.31,1.84,6.63,4.79,7.52,5.81,5.08,4.68,7.36,7.14,7.9,7.67,13.2,12.78,996
984,TATACONSUM.NS,7.37,9.05,7.2,11.1,7.46,9.71,7.54,9.51,5.53,7.69,4.83,7.16,9.29,12.92,12.68,12.35,7.29,7.06,19.61,18.33,11.66,9.59,17.39,14.6,11.15,10.78,13.83,11.36,8.87,7.23,19.04,16.14,8.87,7.31,17.55,14.1,20.14,17.5,16.4,13.72,12.55,10.23,997
985,TATAELXSI.NS,27.44,34.27,31.61,38.99,36.2,41.73,34.33,42.91,27.22,35.65,23.49,30.55,30.75,45.3,32.5,31.7,31.34,45.27,40.13,38.32,36.31,34.98,31.98,30.43,10.94,10.43,17.95,16.99,17.58,16.8,27.53,25.97,38.33,35.97,44.27,41.42,56.3,53.06,52.05,48.71,48.06,45.8,998
986,TATAGLOBAL.NS,7.37,9.05,7.2,11.1,7.46,9.71,7.54,9.51,5.53,7.69,4.83,7.16,9.29,12.92,12.68,12.35,7.29,7.06,19.61,18.33,11.66,9.59,17.39,14.6,11.15,10.78,13.83,11.36,8.87,7.23,19.04,16.14,8.87,7.31,17.55,14.1,20.14,17.5,16.4,13.72,12.55,10.23,999
987,TATAINVEST.NS,0.91,0.95,0.95,0.89,1.24,1.25,1.03,1.09,0.77,0.81,1.48,1.59,1.88,1.71,1.54,1.45,8.27,9.79,9.06,9.04,8.67,8.65,8.65,8.63,8.45,8.43,8.41,8.4,12.11,12.1,12.67,12.67,19.7,13.37,21.99,21.99,25.2,25.18,27.07,26.88,23.09,22.79,1000
988,TATAMETALI.NS,,,,,5.09,7.44,15.56,19.13,16.9,22.36,18.05,22.99,23.71,31.25,44.37,43.43,56.01,50.3,41.45,17.19,94.34,28.88,683.31,22.16,0.0,12.93,-419.62,-51.99,20.45,9.41,51.04,15.93,-340.45,-70.71,36.18,23.42,20.71,11.75,35.09,19.01,62.6,47.54,1001
989,TATAMOTORS.NS,16.3,21.46,26.21,17.41,12.14,9.96,-6.97,1.07,-12.57,0.37,-39.64,-7.18,9.11,11.57,-5.13,5.04,-11.48,-1.19,-0.26,5.31,-31.93,-16.02,1.74,2.75,1.57,0.97,6.33,3.84,9.06,5.14,15.15,7.75,8.21,4.96,25.96,15.49,27.95,19.18,27.74,17.76,30.04,17.1,1002
990,TATAMTRDVR.NS,16.3,21.46,26.21,17.41,12.14,9.96,-6.97,1.07,-12.57,0.37,-39.64,-7.18,9.11,11.57,-5.13,5.04,-11.48,-1.19,-0.26,5.31,-31.93,-16.02,1.74,2.75,1.57,0.97,6.33,3.84,9.06,5.14,15.15,7.75,8.21,4.96,25.96,15.49,27.95,19.18,27.74,17.76,30.04,17.1,1003
991,TATAPOWER.NS,17.05,18.44,14.12,13.35,23.85,15.29,25.57,10.44,5.45,7.41,1.07,10.82,12.46,11.09,-24.25,12.25,2.39,9.15,8.82,11.74,6.42,3.7,7.26,4.15,8.35,4.35,9.78,5.48,8.37,5.2,8.91,5.6,10.66,6.85,10.88,7.94,11.63,7.17,11.07,7.32,10.82,6.86,1004
992,TATASPONGE.NS,,,,,-52.7,2.0,19.68,5.9,22.05,20.81,-25.6,-4.92,11.47,17.13,14.27,21.0,6.79,6.55,3.81,3.68,11.55,11.15,14.0,13.5,13.35,12.66,13.31,12.53,19.98,18.43,20.12,17.98,34.5,29.94,39.23,25.0,13.4,6.36,15.05,9.48,46.14,39.93,1005
993,TATASTEEL.NS,11.02,11.95,3.49,13.83,11.49,13.66,26.31,27.99,18.08,14.89,9.04,9.49,14.95,17.12,6.77,12.87,6.93,9.89,6.95,8.97,9.65,6.5,10.48,6.95,9.17,5.92,12.72,8.44,14.62,8.97,13.57,7.83,21.46,8.99,21.47,9.94,30.26,16.7,35.94,25.16,49.2,30.79,1006
