,Ticker,ROE_Mar-25,ROCE_Mar-25,ROE_Mar-24,ROCE_Mar-24,ROE_Mar-23,ROCE_Mar-23,ROE_Mar-22,ROCE_Mar-22,ROE_Mar-21,ROCE_Mar-21,ROE_Mar-20,ROCE_Mar-20,ROE_Mar-19,ROCE_Mar-19,ROE_Mar-18,ROCE_Mar-18,ROE_Mar-17,ROCE_Mar-17,ROE_Mar-16,ROCE_Mar-16,ROE_Mar-15,ROCE_Mar-15,ROE_Mar-14,ROCE_Mar-14,ROE_Mar-13,ROCE_Mar-13,ROE_Mar-12,ROCE_Mar-12,ROE_Mar-11,ROCE_Mar-11,ROE_Mar-10,ROCE_Mar-10,ROE_Mar-09,ROCE_Mar-09,ROE_Mar-08,ROCE_Mar-08,ROE_Mar-07,ROCE_Mar-07,ROE_Mar-06,ROCE_Mar-06,ROE_Mar-05,ROCE_Mar-05,Unnamed: 0
0,3IINFOLTD.NS,41.45,11.08,-938.15,-266.55,5.77,4.66,0.99,4.24,39.89,3.34,26.18,10.65,70.15,26.94,-84.47,-0.34,41.87,7.3,-330.37,-46.03,0.0,-5.31,-82.7,-12.01,-26.36,-8.44,-57.79,-11.22,12.33,5.27,-12.52,-4.28,28.54,8.42,17.52,5.02,17.76,6.43,14.43,5.69,28.9,4.88,0
1,3MINDIA.NS,25.78,39.79,22.62,29.95,21.36,28.38,10.69,14.27,6.72,9.02,10.55,15.27,17.36,26.33,20.2,19.86,19.63,19.21,19.92,19.36,13.41,12.99,6.14,5.99,7.96,7.72,10.72,10.37,18.31,17.64,21.07,20.86,,,,,,,,,,,1
2,8KMILES.NS,,,-35.04,5.28,-2.55,1.75,-5.55,2.01,-0.04,5.69,-6.34,2.75,11.05,16.25,6.23,11.44,2.12,4.43,2.1,1.89,2.02,1.5,0.4,0.29,0.23,0.16,0.25,0.18,1.77,1.2,0.5,0.49,18.34,15.05,1.44,0.87,12.91,7.96,-6.97,-0.78,-1.08,-0.12,2
3,A2ZINFRA.NS,,,-104.08,-126.46,-552.57,-10.02,-160.81,-96.47,-29.78,-11.61,-80.81,-7.92,4.95,6.93,-18.71,-0.39,-23.01,5.66,-5.64,-3.95,-15.54,-10.84,-21.43,-15.39,-4.87,-4.13,1.7,1.51,7.49,7.0,22.35,18.29,26.61,12.26,56.18,17.38,30.32,12.58,55.06,32.84,,,3
4,AAKASH.NS,3.04,7.18,10.6,15.26,8.67,13.24,12.82,18.41,9.97,14.76,12.96,18.19,10.12,11.09,12.09,12.99,,,,,,,,,,,,,,,,,,,,,,,,,,,4
5,AARTIDRUGS.NS,12.57,14.57,12.07,14.97,13.71,17.39,20.05,23.35,29.98,32.29,21.82,21.73,16.82,19.55,16.94,19.96,19.5,21.33,18.92,11.47,25.55,15.44,24.59,16.67,21.79,13.76,12.72,8.15,14.35,8.61,18.47,7.69,12.53,4.76,11.98,3.97,12.97,4.21,14.56,4.53,18.36,6.17,5
6,AARTIIND.NS,6.05,7.72,7.88,8.62,11.09,13.43,26.26,25.88,15.05,14.03,18.03,18.18,18.79,20.57,20.88,20.33,23.4,24.22,23.58,12.63,20.68,10.85,19.09,10.76,19.54,12.14,17.0,10.33,14.95,8.61,17.56,10.91,24.51,13.14,12.99,7.5,10.33,6.08,19.93,12.72,22.61,13.85,6
7,AAVAS.NS,13.16,38.75,13.0,27.45,13.15,23.39,12.7,19.95,12.05,20.24,11.87,8.77,9.57,9.25,7.82,8.28,10.21,11.04,15.78,10.25,18.8,12.86,12.77,12.55,6.47,7.54,0.01,0.29,,,,,,,,,,,,,,,7
8,ABAN.NS,9.67,12.95,-5.56,-7.97,0.95,1.63,1.78,2.52,1.54,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
9,ABBOTINDIA.NS,33.41,42.09,32.47,42.33,29.77,38.5,28.32,36.37,26.54,33.6,24.38,30.54,22.42,33.64,23.7,22.95,19.94,19.28,21.34,20.68,24.42,23.44,25.18,23.47,,,,,,,,,,,,,,,,,,,10
10,ABCAPITAL.NS,11.73,8.57,5.12,5.65,1.39,1.79,3.47,4.17,0.76,0.74,0.31,1.39,-0.13,1.2,0.5,0.76,0.09,0.09,-0.03,-0.01,-4.84,-2.24,-8.35,-3.56,,,,,,,,,,,,,,,,,,,11
11,ABFRL.NS,-1.53,0.29,-3.52,4.38,3.49,6.61,-2.8,3.77,-24.19,-4.92,-13.37,10.31,22.48,13.78,10.79,8.6,5.59,9.4,-11.08,-6.02,-66.11,-16.97,-32.42,-11.42,0.0,5.79,,,,,,,,,,,,,,,,,12
12,ABGSHIP.NS,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-85.85,-177.1,-17.31,-14.99,-4.23,7.01,3.73,12.68,5.66,15.21,7.63,21.28,7.85,20.39,8.87,23.45,15.51,21.68,14.28,19.51,15.19,45.3,24.48,13
13,ABIRLANUVO.NS,,,,,,,,,,,,,,,,,,,4.2,3.59,6.19,5.15,8.31,6.95,6.17,4.96,6.08,4.71,7.03,5.33,3.18,1.89,3.67,1.96,6.66,3.99,7.2,4.51,8.55,5.83,8.39,6.41,14
14,ACC.NS,13.27,16.14,13.25,15.86,6.19,9.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.66,12.33,15
15,ACCELYA.NS,,,,,,,,,19.69,24.0,,,,,,,,,,,,,,,,,,,,,17.43,16.63,10.58,10.25,18.76,18.07,11.5,10.44,10.5,9.28,,,16
16,ACCURACY.NS,,,0.4,7.75,6.89,16.52,16.64,23.18,10.53,13.82,5.27,10.73,11.54,16.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
17,ACE.NS,25.26,35.53,26.86,37.01,17.73,24.76,14.02,19.7,15.31,21.49,11.89,16.92,12.84,19.45,12.97,18.0,4.05,8.15,3.14,2.32,2.64,1.88,1.6,1.12,2.93,2.15,11.85,8.66,19.41,14.97,14.42,14.22,14.62,14.38,26.48,25.92,18.26,17.92,32.15,30.65,47.44,39.28,18
18,ADANIENT.NS,22.62,11.07,17.09,21.8,11.64,19.44,15.23,22.52,8.93,22.91,18.58,21.12,14.99,28.59,5.04,20.52,5.88,20.61,13.94,8.65,3.95,3.11,-1.78,-1.44,5.01,4.23,3.61,3.23,2.75,2.71,12.91,8.53,19.86,10.23,23.32,7.22,14.43,3.91,15.36,6.21,15.98,8.26,19
19,ADANIGREEN.NS,,,-8.09,5.02,-6.68,2.73,-3.81,3.11,21.15,12.02,9.32,8.43,-2.48,6.38,-3.2,2.12,-4.02,-3.0,-0.56,-0.45,,,,,,,,,,,,,,,,,,,,,,,20
20,ADANIPORTS.NS,,,5.95,7.81,-1.68,4.49,1.12,5.49,8.91,9.79,9.81,8.35,12.97,13.25,13.29,14.7,18.56,13.29,21.85,12.03,19.49,10.17,21.6,10.59,26.17,11.48,22.55,11.33,22.98,15.84,20.11,13.3,15.67,9.13,8.17,4.66,25.2,9.39,11.28,4.36,11.68,5.53,21
21,ADANIPOWER.NS,24.88,22.63,58.79,33.2,69.4,18.47,100.67,19.21,-6.17,0.77,-18.68,4.38,-2.46,3.96,-0.24,-0.2,-129.55,-24.0,1.06,0.35,-0.88,-0.27,7.64,2.28,-41.98,-7.29,-4.87,-1.15,8.28,2.35,2.94,1.1,-0.12,-0.03,-0.11,-0.06,-0.88,-0.54,-0.1,0.0,-0.1,-0.1,22
22,ADANITRANS.NS,,,5.44,6.69,1.64,4.85,-7.64,6.13,-1.68,6.07,0.36,6.35,2.42,7.51,-1.22,-0.23,0.18,0.04,-2.51,-1.14,-1.67,-1.66,0.0,0.0,,,,,,,,,,,,,,,,,,,23
23,ADORWELD.NS,8.42,20.14,17.43,24.1,18.32,24.82,16.02,18.34,-5.04,6.64,10.51,14.95,9.05,15.92,7.49,12.98,7.63,11.42,10.36,9.96,15.86,15.16,2.33,2.31,10.33,10.23,11.93,11.82,15.69,15.57,17.35,17.16,9.25,9.11,17.96,17.85,27.94,27.63,38.89,38.08,31.48,30.55,24
24,ADSL.NS,9.0,6.82,4.67,7.31,-8.28,3.48,1.15,2.03,1.62,2.21,1.67,2.86,2.07,3.34,1.09,3.75,0.39,4.65,0.46,0.43,0.06,0.05,1.85,1.8,-1.5,-1.45,0.85,0.83,8.17,8.07,15.21,14.97,24.98,24.82,24.06,23.27,39.02,38.16,45.04,43.32,22.96,10.27,25
25,ADVANIHOTR.NS,32.46,40.11,34.71,42.75,45.6,55.41,13.05,15.63,-9.43,-10.85,23.8,26.28,20.86,22.57,18.14,22.87,21.45,29.07,16.97,13.46,10.59,6.75,6.81,4.24,8.14,5.5,7.21,5.16,6.15,4.7,2.62,1.57,0.17,0.11,28.63,13.6,22.48,9.15,27.63,10.08,31.21,8.75,26
26,ADVANTA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.54,7.96,28.73,26.62,27
27,ADVENZYMES.NS,16.27,18.75,18.62,25.82,10.56,13.8,11.34,14.62,16.3,21.97,15.64,20.16,11.02,15.18,12.42,15.68,13.54,17.15,12.15,14.73,12.59,15.57,7.18,19.15,16.6,20.44,26.7,23.45,27.97,20.23,23.55,18.82,,,,,,,,,,,28
28,AEGISCHEM.NS,,,17.28,19.5,37.61,44.84,29.51,27.07,12.78,11.5,2.45,1.89,10.93,15.46,13.12,12.91,9.48,8.86,12.76,10.9,26.66,22.24,6.02,4.39,12.4,9.24,13.79,11.2,11.8,9.36,20.9,14.45,17.72,13.35,24.81,17.7,19.9,14.65,30.29,22.59,17.67,11.7,29
29,AFFLE.NS,,,4.38,5.88,7.35,9.87,6.7,9.0,14.61,18.56,19.92,26.39,36.04,49.9,29.27,46.87,1.56,10.61,38.03,31.81,27.62,21.95,,,,,,,,,,,,,,,,,,,,,30
30,AGI.NS,15.37,18.58,13.85,16.54,16.28,14.85,13.88,8.17,7.13,8.51,3.85,6.59,4.65,7.66,5.01,7.34,7.1,8.96,7.77,6.34,7.25,5.42,5.01,3.11,9.1,5.52,10.86,6.72,12.45,8.14,7.46,3.85,16.02,6.29,12.98,8.28,14.43,8.67,19.94,8.65,17.13,7.73,31
31,AHLUCONT.NS,11.19,14.44,23.44,18.07,15.78,21.39,14.97,21.63,8.77,13.41,8.01,14.24,15.94,24.7,18.54,30.59,17.06,27.63,20.02,16.62,19.03,16.24,9.64,6.66,-37.41,-27.65,-14.51,-12.58,22.08,17.03,32.36,31.32,32.64,28.5,41.57,31.64,39.54,25.11,37.7,23.24,12.88,8.0,32
32,AIAENG.NS,15.23,19.63,17.49,22.8,17.7,23.19,12.72,16.22,11.84,15.65,23.04,25.96,13.06,18.46,17.02,21.69,17.22,24.87,29.15,28.24,25.1,23.84,21.72,20.01,15.6,13.94,15.74,15.38,15.43,15.08,16.47,16.13,,,,,,,,,,,33
33,AIL.NS,65.24,-3.57,-308.77,-52.36,-195.65,-64.27,-43.34,-7.75,6.87,16.3,9.24,16.64,8.59,28.8,3.19,2.86,0.03,14.39,-6.99,-6.29,18.15,17.1,24.94,23.16,23.08,21.41,24.41,22.85,29.11,27.39,34.2,32.47,33.71,31.62,21.33,19.84,32.98,30.63,15.4,14.17,16.82,15.26,34
34,AIROLAM.NS,,,11.45,18.7,11.51,16.85,12.03,15.12,10.97,14.04,10.8,13.44,10.71,18.38,9.23,18.88,10.93,21.0,10.95,7.27,11.79,7.29,12.36,8.09,13.6,9.37,,,,,,,,,,,,,,,,,35
35,AJANTPHARM.NS,25.29,30.82,23.64,30.76,17.21,20.75,22.71,27.47,23.41,30.13,17.92,24.3,18.28,23.18,22.13,28.25,33.23,41.78,36.84,35.67,38.96,36.42,41.18,35.85,28.38,22.09,24.45,17.88,21.54,15.97,16.22,8.63,14.05,6.83,13.25,7.68,11.36,8.04,9.43,7.13,-42.72,-30.77,36
36,AJOONI.NS,,,5.06,7.98,2.69,4.72,6.4,10.55,2.38,6.2,2.18,4.69,3.37,3.56,3.52,6.18,28.44,11.13,18.49,12.58,17.12,17.08,2.18,2.18,-12.5,-12.5,,,,,,,,,,,,,,,,,37
37,AJRINFRA.NS,,,0.0,0.58,0.0,-0.88,-187.24,4.46,0.73,4.03,-1.35,1.85,-8.54,2.69,1.22,3.42,2.03,3.73,6.63,6.14,,,,,4.71,2.82,5.34,5.3,6.12,6.06,2.6,2.58,2.61,2.58,1.48,1.47,3.91,3.89,1.74,1.74,,,38
38,AKG.NS,0.98,3.42,2.17,5.46,2.63,5.8,5.79,11.53,5.15,10.95,5.51,13.84,5.76,15.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39
39,AKSHOPTFBR.NS,-22.52,-14.83,-231.13,-0.66,5.14,10.74,5.98,14.3,0.83,8.67,-93.64,2.98,5.47,12.13,4.63,9.21,2.92,7.09,7.52,6.92,8.15,9.2,7.29,5.96,7.22,7.18,3.32,3.3,-15.26,-12.51,-7.3,-4.43,-21.38,-11.67,,,,,21.13,17.27,-5.45,-3.7,40
40,AKZOINDIA.NS,32.25,39.92,32.13,39.58,25.49,31.85,23.05,26.95,16.13,20.06,19.2,24.51,18.6,26.33,31.07,20.89,24.51,29.6,27.78,36.1,20.28,18.49,17.74,15.95,19.82,18.37,14.12,13.22,16.2,15.17,16.09,15.77,30.39,29.74,7.9,7.65,51.65,50.16,9.13,8.66,8.95,8.48,41
41,ALANKIT.NS,3.66,7.59,5.06,6.39,-2.13,8.26,9.99,12.54,10.87,11.98,14.81,18.49,18.17,20.74,34.09,31.44,28.38,31.89,10.05,10.34,1.17,1.17,2.0,2.9,7.44,7.44,6.59,6.59,5.61,5.61,31.02,3.1,22.75,22.75,,,-12.61,-12.61,-0.46,-0.45,-4.19,-4.13,42
42,ALEMBICLTD.NS,16.63,17.06,11.48,12.07,9.56,11.04,8.45,9.05,1.61,1.91,19.36,19.21,9.96,10.66,9.31,9.02,7.47,7.22,7.09,6.8,9.13,7.98,12.8,11.12,5.58,4.85,-6.18,-5.33,-6.16,-2.1,6.57,3.51,2.22,1.29,71.46,42.25,18.36,13.68,23.76,16.95,19.5,12.04,43
43,ALKALI.NS,-13.02,-6.92,2.23,7.37,5.59,10.3,6.79,12.69,-2.48,4.89,2.53,6.72,3.3,8.04,2.58,7.16,0.7,6.7,4.57,4.2,0.58,0.46,-3.93,-2.86,9.16,7.08,-33.85,-22.68,4.73,4.18,10.05,8.68,13.86,11.81,23.27,13.07,25.86,14.56,53.43,29.2,19.91,12.15,44
44,ALKEM.NS,18.51,18.68,16.55,18.54,12.13,14.59,17.62,19.8,22.09,24.67,20.13,21.09,14.63,17.29,14.65,19.22,20.1,20.47,19.45,24.46,14.15,13.47,16.21,15.39,20.27,18.72,23.16,20.8,22.05,20.13,19.75,18.24,15.82,10.97,17.13,12.5,,,,,,,45
45,ALKYLAMINE.NS,13.26,16.17,11.74,15.25,19.56,25.19,22.72,29.35,37.27,47.13,40.11,37.66,22.94,28.94,21.63,14.05,20.5,14.32,24.99,18.09,25.98,17.89,30.58,18.81,22.39,12.78,19.31,10.73,13.6,6.94,14.41,7.53,6.36,3.06,18.55,8.25,18.75,7.73,10.42,3.96,6.93,2.79,46
46,ALLCARGO.NS,7.42,8.49,16.47,16.16,19.73,20.19,19.14,18.29,11.89,13.76,14.92,8.88,14.23,15.13,2.19,1.96,7.92,10.57,9.11,8.46,7.61,6.12,4.61,3.73,9.83,7.77,16.14,11.44,,,,,,,,,,,30.52,26.53,62.07,49.11,47
47,ALOKINDS.NS,0.0,-4.52,0.0,-3.69,0.0,-8.4,0.0,4.64,0.0,-11.03,-11.44,-4.21,-17.66,8.79,0.0,170.77,-116.91,-19.49,-65.41,-23.41,6.43,2.14,,,,,10.4,3.31,13.05,4.15,9.1,2.28,11.81,2.37,15.05,2.9,16.11,4.18,13.79,4.12,14.97,5.27,48
48,ALOKTEXT.NS,0.0,-4.52,0.0,-3.69,0.0,-8.4,0.0,4.64,0.0,-11.03,-11.44,-4.21,-17.66,8.79,0.0,170.77,-116.91,-19.49,-65.41,-23.41,6.43,2.14,,,,,10.4,3.31,13.05,4.15,9.1,2.28,11.81,2.37,15.05,2.9,16.11,4.18,13.79,4.12,14.97,5.27,49
49,AMARAJABAT.NS,13.06,15.78,13.38,17.33,13.1,18.04,11.23,14.53,15.36,19.78,18.07,21.87,14.49,20.51,16.04,14.84,18.45,16.93,23.28,21.47,24.17,22.15,26.96,24.4,27.05,24.0,26.11,22.91,22.92,19.82,30.72,25.44,19.84,13.37,28.32,21.68,19.3,15.1,11.84,10.1,4.8,4.14,50
50,AMBER.NS,7.15,13.05,2.36,7.95,2.95,7.09,3.01,5.54,3.37,6.54,10.91,12.28,9.48,13.22,7.02,14.77,7.56,16.74,8.09,15.17,10.9,16.95,9.17,15.55,14.05,15.4,,,,,,,,,,,,,,,,,51
51,AMBICAAGAR.NS,,,-3.61,3.9,2.4,6.14,2.34,6.55,2.73,3.62,4.38,5.96,11.02,6.13,-20.91,-4.76,4.13,19.73,3.74,2.32,3.99,1.91,3.06,1.2,3.9,1.45,5.89,2.31,4.62,2.05,4.78,2.94,6.58,3.05,11.61,5.86,9.75,5.42,5.9,3.01,,,52
52,AMBUJACEM.NS,7.72,7.74,6.3,8.72,8.95,11.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53
53,AMTEKAUTO.NS,,,,,,,,,,,0.0,10.16,0.0,2.98,0.0,25.64,-52.78,-4.83,-14.92,-6.19,,,,,,,,,,,,,,,,,,,,,,,54
54,AMTEKINDIA.NS,,,,,,,,,0.0,32.31,0.0,44.29,0.0,82.35,0.0,-388.67,-58.97,-15.58,-21.93,-9.43,,,,,,,,,,,,,,,,,,,,,,,55
55,ANANTRAJ.NS,5.91,6.53,3.81,4.57,3.86,4.3,2.14,2.49,0.81,1.41,1.11,1.4,1.31,1.66,1.03,1.57,1.45,2.27,1.43,1.17,3.09,2.62,2.25,1.89,2.59,2.04,2.92,2.33,4.59,3.72,6.86,6.59,11.29,10.91,15.61,15.34,10.78,8.29,32.04,26.53,1.31,1.09,56
56,ANDHRAPAP.NS,4.58,6.23,17.94,22.63,33.02,43.4,12.77,16.23,-0.47,0.25,21.81,21.95,26.19,35.26,14.72,11.27,6.77,4.52,8.18,4.19,0.05,0.03,-10.02,-4.54,-5.18,-2.62,,,7.77,5.06,10.77,5.31,4.53,2.16,3.97,1.95,6.26,3.29,9.62,5.79,11.53,7.52,57
57,ANDHRSUGAR.NS,2.36,4.46,4.05,4.84,13.49,16.69,12.7,15.4,9.1,14.49,18.82,17.68,16.57,20.6,11.26,14.81,14.32,9.68,6.69,4.6,0.6,0.39,9.67,6.24,14.27,9.14,19.95,12.64,9.13,5.47,17.69,10.36,13.88,7.6,14.22,7.64,23.28,12.15,26.18,12.54,22.58,9.88,58
58,ANGELBRKG.NS,,,37.78,53.91,41.69,57.57,39.78,55.76,26.34,37.87,15.22,27.47,15.22,34.82,22.49,49.94,6.62,24.82,8.41,22.39,13.58,27.61,2.48,7.7,3.52,13.29,4.14,5.31,3.75,4.16,4.76,5.31,0.0,0.0,,,,,,,,,59
59,ANKITMETAL.NS,,,,,0.0,11.38,0.0,6.54,0.0,10.23,0.0,8.05,0.0,65.99,0.0,-167.27,0.0,-78.91,0.0,-30.83,-62.54,-17.77,-15.22,-9.2,10.25,5.09,7.42,3.85,14.7,5.16,14.84,8.42,5.37,3.07,20.13,11.23,20.07,7.23,8.28,3.82,0.0,0.0,60
60,ANSALAPI.NS,,,-2.63,-9.93,0.0,232.53,-5.8,21.77,-10.37,18.1,-97.12,-0.77,-14.22,16.63,-2.32,3.3,0.52,2.47,1.69,1.37,1.32,1.05,0.82,0.67,2.66,2.3,2.14,1.67,4.82,3.59,5.51,2.77,4.67,2.48,15.07,9.12,14.23,11.47,29.67,19.67,13.6,6.99,61
61,ANSALHSG.NS,,,3.67,38.92,-57.53,21.63,-16.37,12.94,-25.99,-0.28,-27.93,-2.43,-2.93,14.82,-5.19,6.04,-1.44,6.87,3.46,10.86,7.23,11.56,9.8,14.12,10.43,5.99,9.82,6.52,10.84,7.35,8.46,4.19,6.85,3.24,25.79,12.32,29.44,11.74,23.67,13.48,10.73,5.91,62
62,ANTGRAPHIC.NS,,,-2.63,-2.41,-0.02,-0.02,0.09,0.07,0.13,0.11,0.29,0.24,-1.08,-0.62,1.61,1.13,0.53,0.32,1.42,0.97,-1.89,-1.32,1.67,1.17,1.47,1.03,0.93,0.62,0.48,0.31,2.85,2.4,2.76,2.38,3.91,3.2,25.57,20.48,-13.39,-4.57,-17.64,-6.0,63
63,APARINDS.NS,18.49,31.29,22.27,35.98,29.26,48.59,14.73,24.22,10.47,20.5,12.76,30.59,13.07,33.39,14.12,30.57,19.23,17.63,15.21,13.5,7.51,6.25,11.33,9.7,18.23,16.46,12.66,10.54,28.24,24.9,10.43,8.93,1.88,1.55,30.97,28.24,21.75,16.39,34.21,16.16,34.16,16.94,64
64,APCOTEXIND.NS,9.77,14.43,10.32,13.86,22.67,24.15,24.94,30.36,14.45,18.37,6.61,9.05,16.77,22.16,15.68,22.74,15.69,20.4,21.79,20.45,24.74,21.12,15.41,11.83,16.37,11.6,16.42,11.12,16.7,14.28,14.43,13.46,8.08,7.69,9.09,8.61,0.02,0.02,3.01,2.82,2.6,2.42,65
65,APEX.NS,0.78,2.82,2.93,5.77,7.32,13.06,8.64,14.58,10.06,16.35,15.31,21.75,17.12,27.49,26.16,38.81,22.96,35.58,25.61,21.82,32.79,27.69,35.47,25.66,38.56,30.26,,,,,,,,,,,,,,,,,66
66,APLAPOLLO.NS,10.87,13.12,15.7,21.2,19.91,25.99,16.45,20.52,10.61,14.35,9.01,11.86,12.54,21.34,12.44,20.7,10.89,18.98,8.87,21.48,9.2,6.67,8.04,5.75,11.51,9.2,10.79,8.59,11.32,9.74,8.78,8.25,0.03,0.03,25.09,17.63,43.48,23.05,15.59,7.94,9.26,2.36,67
67,APLLTD.NS,9.68,12.54,13.57,14.96,7.85,8.62,10.27,12.28,22.37,25.28,28.97,27.16,22.53,23.56,19.22,19.19,23.06,27.9,45.62,56.46,34.38,31.63,37.84,32.91,34.24,27.96,33.4,24.95,29.5,19.08,,,,,,,,,,,,,68
68,APOLLO.NS,14.84,16.28,13.1,14.3,15.66,15.37,10.88,11.96,2.01,6.45,11.79,11.5,7.79,10.74,6.31,8.77,7.96,8.68,10.77,6.3,10.96,6.89,11.15,7.68,11.33,8.02,9.81,7.18,10.25,6.86,9.85,6.88,8.66,6.32,8.31,6.41,13.4,10.5,8.22,6.81,14.93,9.67,69
69,APOLLOHOSP.NS,,,13.1,14.3,15.66,15.37,10.88,11.96,2.01,6.45,11.79,11.5,7.79,10.74,6.31,8.77,7.96,8.68,10.77,6.3,10.96,6.89,11.15,7.68,11.33,8.02,9.81,7.18,10.25,6.86,9.85,6.88,8.66,6.32,8.31,6.41,13.4,10.5,8.22,6.81,14.93,9.67,70
70,APOLLOTYRE.NS,5.89,9.36,11.05,15.41,5.84,8.77,2.74,4.93,7.63,9.72,6.61,6.51,7.74,10.4,8.57,6.18,15.05,11.46,21.51,18.41,19.74,16.0,16.17,11.47,13.36,7.72,8.86,5.01,10.47,6.59,24.07,14.41,7.99,5.19,17.89,14.06,11.76,8.21,12.39,7.39,6.06,3.72,71
71,APTECHT.NS,10.29,15.17,12.23,14.62,21.63,24.55,17.01,12.52,-6.08,6.7,0.1,7.21,2.25,3.04,7.81,7.75,4.17,4.15,4.71,4.68,7.83,7.77,11.09,11.0,9.44,9.34,6.86,6.74,2.97,2.92,30.82,30.74,,,,,,,,,,,72
72,ARIHANTSUP.NS,8.59,4.56,11.01,7.05,10.47,9.43,25.35,30.0,3.29,9.94,-1.25,3.34,2.12,8.79,8.61,12.57,22.48,26.84,17.92,13.57,13.13,9.32,4.25,3.26,7.65,4.28,18.3,18.15,19.77,15.95,8.49,8.36,14.87,14.87,71.14,71.14,21.29,20.83,-85.12,-85.12,-16.69,-1.42,73
73,ARSHIYA.NS,,,,,-24.76,-9.09,44.03,1.41,-16.52,4.7,-151.49,12.5,-2.05,3.6,3.31,1.84,-45.35,1.92,,-49.41,-101.44,-13.94,-83.37,-16.24,-2.2,-0.82,8.6,2.84,4.84,2.34,3.1,1.87,3.79,3.77,2.7,2.68,4.53,4.27,-5.01,-4.91,5.58,5.27,74
74,ARVIND.NS,6.69,14.79,8.77,14.87,10.49,14.17,1.96,15.34,3.15,6.96,6.0,13.2,7.08,13.41,7.91,12.0,0.61,16.73,11.6,7.11,14.64,9.14,15.3,9.34,12.92,7.98,25.13,15.58,9.04,5.16,3.88,2.06,-11.23,-5.19,1.86,0.96,9.08,4.34,8.61,4.34,10.48,5.29,75
75,ARVINDFASN.NS,1.61,2.84,-0.49,2.65,0.42,1.08,0.32,0.9,-3.3,0.94,-0.36,3.57,4.58,5.83,4.33,6.77,-0.4,-0.09,-11.11,-11.11,,,,,,,,,,,,,,,,,,,,,,,76
76,ARVSMART.NS,2.34,3.75,9.66,11.64,7.23,9.08,8.34,12.03,4.15,8.7,6.0,12.83,14.94,20.05,10.09,12.05,10.55,12.07,12.05,9.23,8.69,7.34,8.04,8.03,20.15,19.89,95.22,90.22,50.51,2.14,,,,,,,,,,,,,77
77,ASAHIINDIA.NS,,,13.9,15.05,17.29,22.17,19.18,22.82,9.33,14.06,11.9,13.21,15.2,17.95,16.7,19.25,15.53,19.74,24.68,7.64,16.14,3.8,-15.31,-5.84,-167.68,-12.53,-39.72,-6.53,6.93,1.57,0.6,0.1,-20.1,-3.53,4.53,1.21,14.96,4.08,34.38,11.38,44.54,37.98,78
78,ASAL.NS,15.65,20.3,11.97,14.84,11.43,12.94,19.43,25.58,23.01,30.54,25.26,31.43,20.28,29.81,20.85,32.76,17.44,27.28,17.66,13.01,18.22,11.78,10.23,4.4,6.45,3.19,5.39,3.11,5.41,3.21,2.78,1.58,2.79,2.0,16.06,9.84,8.06,4.38,10.45,5.51,-16.39,-13.16,79
79,ASHIANA.NS,2.41,3.47,10.4,11.65,3.54,3.75,-0.8,-0.36,0.48,1.46,-3.73,-0.63,2.25,4.42,5.05,7.14,9.27,12.05,16.6,15.02,8.77,8.04,7.58,7.1,12.04,11.12,28.71,26.44,27.94,26.4,28.96,26.88,28.9,28.25,57.89,56.54,32.22,31.21,20.96,20.16,-0.69,-0.63,80
80,ASHOKA.NS,4.91,9.81,11.61,12.86,19.92,14.14,-11.43,19.34,13.57,18.03,14.89,19.58,12.93,18.55,12.3,15.04,10.22,13.1,9.48,7.89,13.48,9.12,11.08,7.37,11.96,7.62,13.41,7.93,12.35,8.3,19.28,11.51,15.03,7.26,8.05,3.69,5.4,2.78,5.44,2.31,7.61,4.29,81
81,ASHOKLEY.NS,28.67,31.65,29.71,35.78,16.37,20.09,7.38,2.94,-4.49,-0.91,3.29,6.67,23.8,27.81,23.7,30.07,19.96,16.05,7.2,4.94,8.17,4.04,0.89,0.35,13.73,5.55,19.55,8.0,23.76,9.23,18.23,6.67,9.02,3.29,22.06,14.21,23.73,17.2,23.57,16.81,22.67,14.52,82
82,ASIANPAINT.NS,18.88,26.52,28.88,36.03,26.3,33.43,23.48,30.27,25.24,31.99,28.07,33.91,24.11,33.01,24.29,35.25,25.39,35.75,32.18,30.14,31.37,29.39,32.46,29.99,34.74,31.91,38.52,35.62,39.24,35.55,49.73,45.72,33.1,29.51,40.4,36.05,36.56,32.39,30.01,26.17,30.31,26.31,83
83,ASTERDM.NS,185.92,133.16,4.76,7.06,6.28,6.33,3.05,3.91,-2.4,-0.96,2.37,2.97,1.84,1.91,-2.97,-1.06,2.0,-2.78,-18.09,-1.2,-13.03,-4.24,14.73,10.54,0.39,0.44,,,,,,,,,,,,,,,,,84
