Date,Close,High,Low,Open,Volume
,MID150BEES.NS,MID150BEES.NS,MID150BEES.NS,MID150BEES.NS,MID150BEES.NS
2019-02-04,60.04999923706055,60.650001525878906,60.04999923706055,60.54999923706055,7154
2019-06-20,62.02000045776367,62.02000045776367,61.41999816894531,61.41999816894531,18308
2019-06-21,62.540000915527344,63.9900016784668,61.970001220703125,63.9900016784668,594
2019-06-24,62.40999984741211,67.30000305175781,62.209999084472656,63.9900016784668,36970
2019-06-25,62.77000045776367,64.5,62.459999084472656,62.459999084472656,104746
2019-06-26,63.31999969482422,65.19000244140625,63.099998474121094,63.13999938964844,36090
2019-06-27,63.79999923706055,64.0,63.150001525878906,63.31999969482422,395399
2019-06-28,63.41999816894531,63.66999816894531,63.400001525878906,63.599998474121094,247962
2019-07-01,63.619998931884766,63.790000915527344,63.560001373291016,63.790000915527344,82823
2019-07-02,63.099998474121094,63.970001220703125,63.099998474121094,63.630001068115234,56776
2019-07-03,63.959999084472656,64.0999984741211,63.0,63.97999954223633,229194
2019-07-04,63.95000076293945,64.2699966430664,63.220001220703125,64.1500015258789,161428
2019-07-05,63.15999984741211,63.900001525878906,63.029998779296875,63.900001525878906,11563
2019-07-08,61.02000045776367,67.0,59.0,62.5,134627
2019-07-09,61.560001373291016,61.599998474121094,56.5,61.02000045776367,91780
2019-07-10,61.029998779296875,61.72999954223633,61.0099983215332,61.70000076293945,184412
2019-07-11,61.5,65.5,61.150001525878906,62.5,16472
2019-07-12,61.70000076293945,61.9900016784668,61.56999969482422,61.56999969482422,68366
2019-07-15,61.209999084472656,64.9000015258789,61.0,62.5,75087
2019-07-16,61.959999084472656,62.0,61.150001525878906,61.560001373291016,298566
2019-07-17,61.619998931884766,61.91999816894531,61.20000076293945,61.75,41260
2019-07-18,60.790000915527344,61.40999984741211,60.0,60.0,122526
2019-07-19,59.689998626708984,60.81999969482422,59.54999923706055,60.77000045776367,294961
2019-07-22,59.27000045776367,59.33000183105469,58.79999923706055,59.099998474121094,37864
2019-07-23,58.849998474121094,59.31999969482422,58.56999969482422,59.16999816894531,109974
2019-07-24,58.20000076293945,59.0,57.900001525878906,59.0,415244
2019-07-25,58.099998474121094,58.56999969482422,58.0099983215332,58.36000061035156,171934
2019-07-26,58.849998474121094,58.90999984741211,58.349998474121094,58.5,31931
2019-07-29,58.47999954223633,58.5099983215332,58.06999969482422,58.13999938964844,31040
2019-07-30,57.380001068115234,58.380001068115234,57.150001525878906,58.380001068115234,90037
2019-07-31,57.880001068115234,57.9900016784668,56.61000061035156,57.0,39049
2019-08-01,57.400001525878906,57.959999084472656,56.900001525878906,57.54999923706055,315637
2019-08-02,57.34000015258789,57.63999938964844,56.630001068115234,57.130001068115234,95169
2019-08-05,56.5099983215332,58.0,55.81999969482422,58.0,155276
2019-08-06,57.58000183105469,57.58000183105469,56.599998474121094,56.90999984741211,236530
2019-08-07,57.09000015258789,57.970001220703125,56.88999938964844,57.900001525878906,228411
2019-08-08,57.7400016784668,57.7599983215332,57.119998931884766,57.540000915527344,55826
2019-08-09,57.95000076293945,58.54999923706055,57.70000076293945,58.11000061035156,61902
2019-08-13,57.22999954223633,58.11000061035156,57.0,58.04999923706055,26812
2019-08-14,57.66999816894531,57.70000076293945,57.099998474121094,57.38999938964844,125645
2019-08-16,57.84000015258789,57.849998474121094,57.189998626708984,57.189998626708984,22038
2019-08-19,58.02000045776367,58.220001220703125,57.54999923706055,58.0,101322
2019-08-20,57.5,67.44999694824219,57.20000076293945,67.44999694824219,56728
2019-08-21,56.86000061035156,57.45000076293945,56.529998779296875,57.41999816894531,84203
2019-08-22,55.95000076293945,56.59000015258789,55.61000061035156,56.54999923706055,73013
2019-08-23,56.369998931884766,56.45000076293945,55.04999923706055,55.4900016784668,40155
2019-08-26,57.15999984741211,60.400001525878906,54.95000076293945,56.0,25015
2019-08-27,57.66999816894531,57.79999923706055,57.25,57.349998474121094,134873
2019-08-28,56.880001068115234,58.0,56.63999938964844,58.0,260876
2019-08-29,56.90999984741211,57.0,56.56999969482422,56.900001525878906,95267
2019-08-30,57.099998474121094,57.349998474121094,56.709999084472656,57.18000030517578,41709
2019-09-03,56.5,58.0,56.5,58.0,26985
2019-09-04,56.779998779296875,56.84000015258789,52.400001525878906,52.400001525878906,64356
2019-09-05,56.86000061035156,57.040000915527344,56.43000030517578,56.54999923706055,63221
2019-09-06,57.09000015258789,57.27000045776367,55.0,56.5,208163
2019-09-09,57.849998474121094,57.95000076293945,52.52000045776367,57.95000076293945,23935
2019-09-11,58.20000076293945,58.290000915527344,57.599998474121094,57.650001525878906,107699
2019-09-12,58.18000030517578,58.689998626708984,58.130001068115234,58.130001068115234,3675
2019-09-13,58.47999954223633,58.4900016784668,57.29999923706055,57.29999923706055,30271
2019-09-16,58.38999938964844,58.599998474121094,57.81999969482422,57.81999969482422,24179
2019-09-17,57.15999984741211,58.65999984741211,52.0,52.0,57757
2019-09-18,57.540000915527344,57.81999969482422,56.9900016784668,56.9900016784668,30171
2019-09-19,56.470001220703125,57.400001525878906,53.0,53.0,60926
2019-09-20,59.90999984741211,63.650001525878906,56.09000015258789,56.09000015258789,191697
2019-09-23,61.59000015258789,63.0,52.0,52.0,10121590
2019-09-24,61.189998626708984,61.54999923706055,56.65999984741211,56.65999984741211,351983
2019-09-25,60.0,61.0,59.95000076293945,61.0,32695
2019-09-26,60.75,60.75,57.20000076293945,57.20000076293945,7896
2019-09-27,60.220001220703125,60.790000915527344,60.16999816894531,60.619998931884766,88119
2019-09-30,59.41999816894531,60.0,59.0,60.0,26320
2019-10-01,58.040000915527344,59.709999084472656,57.720001220703125,59.59000015258789,86740
2019-10-03,58.41999816894531,58.47999954223633,57.79999923706055,58.0,24106
2019-10-04,58.0099983215332,58.709999084472656,57.70000076293945,58.68000030517578,313733
2019-10-07,57.4900016784668,58.099998474121094,57.29999923706055,58.099998474121094,58431
2019-10-09,58.4900016784668,58.5,57.150001525878906,57.33000183105469,61991
2019-10-10,57.84000015258789,58.4900016784668,57.54999923706055,57.790000915527344,12953
2019-10-11,57.970001220703125,58.20000076293945,57.47999954223633,57.630001068115234,7821
2019-10-14,58.08000183105469,58.470001220703125,57.709999084472656,57.709999084472656,9505
2019-10-15,58.08000183105469,58.439998626708984,57.70000076293945,58.0,239599
2019-10-16,58.0,58.61000061035156,58.0,58.0,19908
2019-10-17,58.91999816894531,59.0,58.2400016784668,58.2400016784668,24471
2019-10-18,60.15999984741211,60.189998626708984,59.45000076293945,59.45000076293945,21753
2019-10-22,60.11000061035156,60.5099983215332,59.72999954223633,60.439998626708984,29892
2019-10-23,60.08000183105469,60.529998779296875,60.0,60.16999816894531,37239
2019-10-24,60.099998474121094,60.560001373291016,59.970001220703125,60.5,264651
2019-10-25,60.04999923706055,60.5,58.099998474121094,60.04999923706055,22151
2019-10-27,61.25,61.93000030517578,60.5,60.5,1925
2019-10-29,61.0,61.5,60.58000183105469,60.63999938964844,56342
2019-10-30,61.5,63.29999923706055,60.849998474121094,62.0,30317
2019-10-31,62.0,63.0,61.5,62.0,46826
2019-11-01,61.709999084472656,62.7400016784668,61.709999084472656,61.709999084472656,36444
2019-11-04,62.38999938964844,63.0,62.18000030517578,62.79999923706055,7081
2019-11-05,62.0,63.0,61.52000045776367,63.0,36794
2019-11-06,61.63999938964844,62.4900016784668,61.279998779296875,61.279998779296875,119583
2019-11-07,62.34000015258789,62.36000061035156,61.540000915527344,61.540000915527344,21438
2019-11-08,61.84000015258789,62.38999938964844,61.77000045776367,62.2599983215332,13705
2019-11-11,61.70000076293945,62.209999084472656,61.5,62.029998779296875,502324
2019-11-13,61.4900016784668,62.20000076293945,60.810001373291016,62.20000076293945,318397
2019-11-14,61.59000015258789,61.810001373291016,61.25,61.400001525878906,113829
2019-11-15,61.58000183105469,62.099998474121094,61.369998931884766,61.369998931884766,120544
2019-11-18,62.06999969482422,62.40999984741211,61.599998474121094,62.209999084472656,86165
2019-11-19,62.09000015258789,62.459999084472656,61.91999816894531,62.2599983215332,280026
2019-11-20,62.2599983215332,62.66999816894531,62.150001525878906,62.16999816894531,446776
2019-11-21,61.79999923706055,62.65999984741211,61.79999923706055,62.5,324178
2019-11-22,62.119998931884766,62.380001068115234,61.41999816894531,61.77000045776367,8656089
2019-11-25,62.650001525878906,62.720001220703125,62.0,62.29999923706055,483639
2019-11-26,62.02000045776367,62.959999084472656,62.02000045776367,62.68000030517578,201566
2019-11-27,62.369998931884766,62.54999923706055,62.04999923706055,62.400001525878906,469548
2019-11-28,63.2400016784668,63.25,62.5,62.5,434147
2019-11-29,63.40999984741211,63.630001068115234,62.849998474121094,63.5,663907
2019-12-02,62.689998626708984,66.51000213623047,62.65999984741211,66.51000213623047,2248216
2019-12-03,62.43000030517578,63.0,62.099998474121094,62.849998474121094,181605
2019-12-04,62.529998779296875,62.849998474121094,62.04999923706055,62.04999923706055,540197
2019-12-05,62.70000076293945,62.95000076293945,62.27000045776367,62.86000061035156,144380
2019-12-06,61.75,62.709999084472656,61.43000030517578,62.70000076293945,34052
2019-12-09,61.66999816894531,62.33000183105469,61.58000183105469,61.81999969482422,64481
2019-12-10,61.220001220703125,61.869998931884766,61.16999816894531,61.869998931884766,41799
2019-12-11,61.29999923706055,66.51000213623047,60.95000076293945,66.51000213623047,164542
2019-12-12,62.0099983215332,64.4000015258789,60.099998474121094,62.9900016784668,259111
2019-12-13,62.2400016784668,62.470001220703125,62.15999984741211,62.15999984741211,132552
2019-12-16,62.349998474121094,62.61000061035156,62.25,62.61000061035156,22480
2019-12-17,62.630001068115234,62.63999938964844,62.31999969482422,62.400001525878906,53409
2019-12-18,62.41999816894531,62.599998474121094,62.15999984741211,62.599998474121094,40777
2019-12-19,62.54999923706055,62.599998474121094,62.029998779296875,62.029998779296875,418267
2019-12-20,62.36000061035156,62.709999084472656,62.209999084472656,62.709999084472656,33456
2019-12-23,62.43000030517578,62.779998779296875,62.20000076293945,62.779998779296875,42039
2019-12-24,62.369998931884766,62.459999084472656,62.09000015258789,62.43000030517578,76211
2019-12-26,62.380001068115234,62.5,62.08000183105469,62.470001220703125,54114
2019-12-27,63.0,63.18000030517578,62.25,62.2599983215332,41741
2019-12-30,64.19000244140625,67.9000015258789,61.0,62.900001525878906,135799
2019-12-31,63.31999969482422,63.52000045776367,63.20000076293945,63.41999816894531,886761
2020-01-01,63.599998474121094,63.70000076293945,63.15999984741211,63.70000076293945,53121
2020-01-02,64.33999633789062,64.37000274658203,63.5,63.849998474121094,21256
2020-01-03,64.05000305175781,64.44999694824219,63.849998474121094,64.0,50563
2020-01-06,62.66999816894531,63.59000015258789,62.5099983215332,63.59000015258789,97467
2020-01-07,63.2599983215332,63.65999984741211,62.65999984741211,63.5,127796
2020-01-08,63.310001373291016,63.31999969482422,62.63999938964844,62.66999816894531,50932
2020-01-09,63.970001220703125,64.30000305175781,63.900001525878906,64.0,278033
2020-01-10,64.44000244140625,64.77999877929688,64.0,64.0,66191
2020-01-13,64.73999786376953,64.95999908447266,64.4000015258789,64.83999633789062,393759
2020-01-14,65.0,65.08999633789062,64.44000244140625,65.08000183105469,40793
2020-01-15,65.83999633789062,65.91999816894531,52.099998474121094,52.099998474121094,220200
2020-01-16,66.18000030517578,66.45999908447266,65.86000061035156,66.38999938964844,281567
2020-01-17,66.72000122070312,66.87000274658203,66.0999984741211,66.54000091552734,36695
2020-01-20,66.37999725341797,67.12000274658203,66.12999725341797,66.43000030517578,193921
2020-01-21,66.2699966430664,66.47000122070312,65.94999694824219,66.36000061035156,85652
2020-01-22,66.05999755859375,66.87999725341797,65.91999816894531,66.87999725341797,89498
2020-01-23,67.05999755859375,68.5,65.94000244140625,67.5999984741211,130936
2020-01-24,67.58999633789062,67.68000030517578,67.0,67.0,240553
2020-01-27,67.43000030517578,69.30000305175781,67.0999984741211,67.19999694824219,55610
2020-01-28,67.41000366210938,67.75,67.0,67.0,72224
2020-01-29,67.45999908447266,67.98999786376953,67.19999694824219,67.94999694824219,32659
2020-01-30,67.01000213623047,67.55000305175781,66.69999694824219,67.05999755859375,115497
2020-01-31,66.79000091552734,67.3499984741211,66.44999694824219,67.0,882105
2020-02-03,65.91999816894531,68.19999694824219,64.95999908447266,66.0,138883
2020-02-04,66.51000213623047,66.62000274658203,65.94999694824219,66.05000305175781,321355
2020-02-05,67.0999984741211,67.37999725341797,66.5,66.5,54114
2020-02-06,67.56999969482422,67.69999694824219,67.0,67.25,45675
2020-02-07,68.04000091552734,68.08999633789062,67.33999633789062,67.4000015258789,146163
2020-02-10,67.3499984741211,68.16999816894531,67.30000305175781,68.16999816894531,10235
2020-02-11,67.68000030517578,68.19000244140625,67.44999694824219,68.19000244140625,47047
2020-02-12,67.5,75.0,67.19999694824219,75.0,38650
2020-02-13,67.44000244140625,67.56999969482422,67.0,67.56999969482422,105078
2020-02-14,67.08000183105469,67.72000122070312,66.9800033569336,67.4000015258789,19585
2020-02-17,66.30000305175781,67.30000305175781,66.16000366210938,67.25,71914
2020-02-18,66.05999755859375,68.0,65.0999984741211,66.8499984741211,76749
2020-02-19,66.95999908447266,67.5,66.18000030517578,67.5,56010
2020-02-20,67.45999908447266,69.0,67.05000305175781,68.5999984741211,15705
2020-02-24,66.0999984741211,69.30000305175781,66.0199966430664,69.0,39834
