Stock,Sector,Industry,Index Satisfied,5 Day Avg Volume (Cr),1_Year_Return,Nifty_Return(1Y),Difference_wrt_Nifty,F3,1_day_return,prev_close
HAL.NS,Industrials,Aerospace & Defense,"['NIFTY ALPHA QUALITY VALUE LOW-VOLATILITY 30', 'NIFTY TRANSPORTATION & LOGISTICS', 'NIFTY100 QUALITY 30', 'NIFTY MOBILITY', 'NIFTY HOUSING', 'NIFTY ALPHA QUALITY LOW-VOLATILITY 30']",565.716,130.98,34.45,96.52999999999999,1,0.12,4426.1
PERSISTENT.NS,Technology,Information Technology Services,"['NIFTY50 SHARIAH', 'NIFTY IT']",190.60000000000002,94.24,34.45,59.78999999999999,1,0.69,5487.75
BSE.NS,Financial Services,Financial - Data & Stock Exchanges,"['NIFTY50 EQUAL WEIGHT', 'NIFTY COMMODITIES']",820.778,201.41,34.45,166.95999999999998,1,4.73,3858.9
ANANTRAJ.NS,Real Estate,Real Estate - Development,"['NIFTY 50', 'NIFTY HIGH BETA 50', 'NIFTY100 LIQUID 15', 'NIFTY 200', 'NIFTY MIDSMALL FINANCIAL SERVICES', 'NIFTY MOBILITY', 'NIFTY 500', 'NIFTY 100', 'NIFTY BANK', 'NIFTY TOTAL MARKET']",71.08400000000002,232.54,34.45,198.08999999999997,1,3.29,727.6
SUZLON.NS,Industrials,Industrial - Machinery,"['NIFTY MIDCAP LIQUID 15', 'NIFTY MIDCAP SELECT', 'NIFTY NON-CYCLICAL CONSUMER']",266.324,183.77,34.45,149.32,1,-0.39,79.74
TRENT.NS,Consumer Cyclical,Apparel - Retail,"['NIFTY LARGEMIDCAP 250', 'NIFTY500 MULTICAP 50:25:25']",2362.524,276.44,34.45,241.99,1,0.5,7612.7
PCBL.NS,Basic Materials,Chemicals - Specialty,['NIFTY100 ESG SECTOR LEADERS'],231.638,222.26,34.45,187.81,1,-1.11,571.2
TIPSINDLTD.NS,Communication Services,Entertainment,"['NIFTY MIDCAP 150', 'NIFTY MIDSMALL HEALTHCARE', 'NIFTY ALPHA LOW-VOLATILITY 30', 'NIFTY SHARIAH 25', 'NIFTY MIDSMALLCAP 400', 'NIFTY SMALLCAP 250', 'NIFTY MIDCAP 100', 'NIFTY500 MULTICAP 50:25:25', 'NIFTY500 SHARIAH']",26.052,130.36,34.45,95.91000000000001,1,1.61,705.75
DLF.NS,Real Estate,Real Estate - Development,['NIFTY FINANCIAL SERVICES EX-BANK'],333.438,73.8,34.45,39.349999999999994,0,2.08,913.75
MINDACORP.NS,Consumer Cyclical,Auto - Parts,['NIFTY MIDSMALL FINANCIAL SERVICES'],52.318000000000005,88.09,34.45,53.64,0,1.77,612.6
ASTRAMICRO.NS,Technology,Communication Equipment,"['NIFTY 50', 'NIFTY QUALITY LOW-VOLATILITY 30', 'NIFTY100 ESG SECTOR LEADERS', 'NIFTY LOW VOLATILITY 50', 'NIFTY100 ENHANCED ESG', 'NIFTY100 LIQUID 15', 'NIFTY100 ESG', 'NIFTY CORE HOUSING', 'NIFTY100 QUALITY 30', 'NIFTY INDIA CONSUMPTION', 'NIFTY SHARIAH 25', 'NIFTY NON-CYCLICAL CONSUMER', 'NIFTY COMMODITIES', 'NIFTY AUTO', 'NIFTY 100', 'NIFTY200 QUALITY 30', 'NIFTY500 SHARIAH']",16.482,90.96,34.45,56.50999999999999,0,-1.73,826.0
RCF.NS,Basic Materials,Agricultural Inputs,"['NIFTY GROWTH SECTORS 15', 'NIFTY MEDIA']",37.452,50.47,34.45,16.019999999999996,0,2.59,186.06
ACE.NS,Industrials,Agricultural - Machinery,"['NIFTY100 LIQUID 15', 'NIFTY500 VALUE 50', 'NIFTY FINANCIAL SERVICES EX-BANK']",26.345999999999997,100.16,34.45,65.71,0,0.21,1391.7
JPPOWER.NS,Utilities,Independent Power Producers,"['NIFTY CONSUMER DURABLES', 'NIFTY100 ESG', 'NIFTY CORE HOUSING', 'NIFTY50 SHARIAH', 'NIFTY AUTO', 'NIFTY HOUSING', 'NIFTY 100']",66.398,100.52,34.45,66.07,0,4.99,19.15
CHOLAFIN.NS,Financial Services,Financial - Credit Services,"['NIFTY PRIVATE BANK', 'NIFTY BANK']",182.23,30.92,34.45,-3.530000000000001,0,-1.63,1581.85
FIEMIND.NS,Consumer Cyclical,Auto - Parts,"['NIFTY MIDCAP150 QUALITY 50', 'NIFTY MNC', 'NIFTY QUALITY LOW-VOLATILITY 30', 'NIFTY FMCG', 'NIFTY50 SHARIAH', 'NIFTY SHARIAH 25', 'NIFTY SERVICES SECTOR']",18.404,92.72,34.45,58.269999999999996,0,-1.02,1731.7
ITDCEM.NS,Industrials,Engineering & Construction,['NIFTY GROWTH SECTORS 15'],63.366,145.18,34.45,110.73,0,1.69,537.8
GMRINFRA.NS,Industrials,"Airlines, Airports & Air Services",['NIFTY SMALLCAP 100'],141.76600000000002,60.02,34.45,25.57,0,-0.14,93.93
APOLLOTYRE.NS,Consumer Cyclical,Auto - Parts,"['NIFTY PRIVATE BANK', 'NIFTY BANK']",181.37399999999997,48.69,34.45,14.239999999999995,0,0.53,550.75
TATAMTRDVR.NS,Consumer Cyclical,Auto - Manufacturers,"['NIFTY 50', 'NIFTY INFRASTRUCTURE', 'NIFTY100 ESG SECTOR LEADERS', 'NIFTY100 LOW VOLATILITY 30', 'NIFTY CONSUMER DURABLES', 'NIFTY100 ENHANCED ESG', 'NIFTY100 LIQUID 15', 'NIFTY100 ESG', 'NIFTY NEXT 50', 'NIFTY100 QUALITY 30', 'NIFTY 200', 'NIFTY50 VALUE 20', 'NIFTY MIDCAP SELECT', 'NIFTY50 EQUAL WEIGHT', 'NIFTY OIL & GAS', 'NIFTY COMMODITIES', 'NIFTY100 EQUAL WEIGHT', 'NIFTY LARGEMIDCAP 250', 'NIFTY 500', 'NIFTY MIDCAP 50', 'NIFTY 100', 'NIFTY MIDCAP 100', 'NIFTY DIVIDEND OPPORTUNITIES 50', 'NIFTY500 MULTICAP 50:25:25', 'NIFTY TOTAL MARKET']",0.0,86.0,34.45,51.55,0,0.0,768.65
BHARATFORG.NS,Consumer Cyclical,Auto - Parts,['NIFTY SERVICES SECTOR'],166.198,44.55,34.45,10.099999999999994,0,0.9,1530.2
IRB.NS,Industrials,Industrial - Infrastructure Operations,"['NIFTY MIDCAP150 QUALITY 50', 'NIFTY LOW VOLATILITY 50', 'NIFTY INDIA DIGITAL']",93.342,98.32,34.45,63.86999999999999,0,0.43,61.32
ASHOKLEY.NS,Industrials,Agricultural - Machinery,['NIFTY QUALITY LOW-VOLATILITY 30'],222.26999999999998,37.69,34.45,3.239999999999995,0,1.16,238.13
TATAPOWER.NS,Utilities,Independent Power Producers,"['NIFTY100 LIQUID 15', 'NIFTY HOUSING', 'NIFTY FINANCIAL SERVICES EX-BANK']",950.164,87.51,34.45,53.06,0,-0.28,481.25
RPOWER.NS,Utilities,Independent Power Producers,"['NIFTY MEDIA', 'NIFTY OIL & GAS']",724.4460000000001,171.76,34.45,137.31,0,4.99,51.09
TIINDIA.NS,Consumer Cyclical,Auto - Parts,"['NIFTY HOUSING', 'NIFTY SERVICES SECTOR']",124.394,44.5,34.45,10.049999999999997,0,0.1,4340.6
RTNPOWER.NS,Utilities,Renewable Utilities,['NIFTY PSE'],33.862,147.08,34.45,112.63000000000001,0,4.97,16.06
SARDAEN.NS,Basic Materials,Steel,"['NIFTY MIDCAP150 QUALITY 50', 'NIFTY METAL', 'NIFTY HIGH BETA 50', 'NIFTY200 ALPHA 30', 'NIFTY100 LIQUID 15', 'NIFTY MICROCAP 250', 'NIFTY COMMODITIES', 'NIFTY MIDSMALLCAP 400', 'NIFTY HOUSING', 'NIFTY MIDCAP 50']",37.374,108.0,34.45,73.55,0,1.86,451.25
HINDCOPPER.NS,Basic Materials,Copper,"['NIFTY 200', 'NIFTY100 EQUAL WEIGHT', 'NIFTY DIVIDEND OPPORTUNITIES 50']",376.602,124.0,34.45,89.55,0,1.51,349.1
