,Ticker,Revenue_Mar 24,Revenue_Mar 23,Revenue_Mar 22,Revenue_Mar 21,Revenue_Mar 20,Revenue_Mar 19,Revenue_Mar 18,Revenue_Mar 17,Revenue_Mar 16,Revenue_Mar 15,Revenue_Mar 14,Revenue_Mar 13,Revenue_Mar 12,Revenue_Mar 11,Revenue_Mar 10,Revenue_Mar 09,Revenue_Mar 08,Revenue_Mar 07,Revenue_Mar 06,Revenue_Mar 05
46,AJANTPHARM.NS,314.3,269.99,365.83,312.66,250.45,202.12,206.37,203.99,175.44,153.42,314.07,355.59,512.26,388.4,323.54,270.71,241.53,202.35,174.64,148.64
47,AJOONI.NS,9.14,8.5,74.0,51.01,47.63,64.53,72.37,863.21,562.88,306.81,24.23,0.0,,,,,,,,
48,AJRINFRA.NS,0.0,0.0,0.0,0.01,0.01,0.24,1.59,2.01,4.26,,,1.68,1.41,1.17,1.61,2.59,1.88,1.51,1.06,
49,AKG.NS,32.57,26.88,116.75,73.18,100.27,177.93,,,,,,,,,,,,,,
50,AKSHOPTFBR.NS,13.22,16.82,18.51,15.15,15.36,32.5,35.85,28.15,26.73,22.98,14.81,15.68,12.96,0.36,1.37,40.71,,,44.95,15.13
51,AKUMS.NS,,89.95,,,,,,,,,,,,,,,,,,
52,AKZOINDIA.NS,870.68,835.63,692.0,532.18,583.73,640.0,582.29,550.86,586.75,541.11,517.75,477.94,540.16,298.04,282.83,238.07,242.74,217.24,214.43,209.53
53,ALANKIT.NS,4.67,4.86,7.26,7.22,9.07,8.61,7.3,5.94,8.15,5.57,3.43,24.47,25.8,33.48,1109.12,4.25,,1.79,1.13,0.59
54,ALEMBICLTD.NS,5.93,4.8,2.96,2.82,2.87,4.82,4.7,5.25,5.02,5.4,5.75,13.42,8.75,15.12,76.08,79.75,71.82,50.17,227.82,187.81
55,ALKALI.NS,81.37,86.65,89.38,54.38,69.58,70.27,64.6,57.02,71.97,67.21,64.86,60.81,58.19,64.43,57.18,64.05,89.02,99.45,108.77,63.3
56,ALKEM.NS,815.37,757.39,738.59,603.9,558.52,477.97,443.35,390.5,330.49,266.24,2234.87,1923.84,1612.88,1366.21,1124.0,971.26,816.24,,,
57,ALKYLAMINE.NS,281.59,328.97,301.85,608.19,486.42,,,,,,437.1,358.48,282.2,231.09,211.44,194.43,178.86,146.18,125.61,115.24
58,ALLCARGO.NS,16.62,110.78,139.71,80.2,65.91,61.37,48.69,47.77,47.81,90.25,78.46,80.59,83.88,,,,,,148.77,231.82
59,ALOKINDS.NS,10.79,13.59,14.4,7.52,14.32,22.86,38.97,59.87,86.52,160.68,,,107.72,81.09,54.66,150.96,115.68,107.13,90.14,91.73
60,ALOKTEXT.NS,10.79,13.59,14.4,7.52,14.32,22.86,38.97,59.87,86.52,160.68,,,107.72,81.09,54.66,150.96,115.68,107.13,90.14,91.73
61,AMARAJABAT.NS,615.32,608.07,509.12,418.6,400.44,397.72,354.75,311.31,274.61,246.55,201.2,173.37,277.19,206.2,172.47,156.61,193.31,529.07,348.59,208.82
62,AMBER.NS,1336.95,1490.7,931.21,681.41,954.87,695.91,611.54,656.01,450.66,498.19,386.26,459.03,,,,,,,,
63,AMBICAAGAR.NS,56.98,68.25,67.73,83.48,97.51,80.46,72.98,69.6,67.53,67.53,65.41,58.05,49.87,42.53,39.51,47.29,43.95,38.21,35.51,
64,AMBUJACEM.NS,81.54,100.65,,,,,,,,,,,,,,,,,,
65,AMIORG.NS,186.43,169.26,142.75,,,,,,,,,,,,,,,,,
66,AMTEKAUTO.NS,,,,,29.37,45.75,58.8,78.54,66.06,,,,,,,,,,,
67,AMTEKINDIA.NS,,,,7.66,7.84,12.15,13.89,38.8,26.46,,,,,,,,,,,
68,ANANDRATHI.NS,166.08,127.13,96.99,92.43,119.27,99.45,156.58,,,,,,,,,,,,,
69,ANANTRAJ.NS,23.36,20.02,11.96,8.69,13.84,11.13,14.9,14.55,13.43,14.59,14.85,17.64,10.68,13.18,1.95,1.08,1.22,1.71,9.48,11.67
70,ANDHRAPAP.NS,452.75,527.45,347.05,222.97,319.26,358.9,317.83,294.78,291.63,285.38,274.49,309.4,,196.58,198.18,243.99,224.77,204.36,187.15,374.8
71,ANDHRSUGAR.NS,84.88,107.19,89.8,350.32,383.87,359.41,356.56,334.45,320.66,287.18,267.86,306.9,279.45,186.28,212.87,222.25,176.33,219.38,186.61,159.36
72,ANDREWYU.NS,6.34,7.65,8.48,6.76,6.12,6.36,7.39,8.73,10.78,11.32,11.25,9.54,8.91,7.84,6.55,6.19,6.06,23.74,19.58,20.31
73,ANGELBRKG.NS,505.51,357.72,270.06,152.82,98.69,102.36,102.58,316.19,253.36,239.88,163.21,209.22,18.97,18.57,18.92,0.0,,,,
74,ANGELONE.NS,505.51,357.72,270.06,152.82,98.69,102.36,102.58,316.19,253.36,239.88,163.21,209.22,18.97,18.57,18.92,0.0,,,,
75,ANKITMETAL.NS,,60.52,53.63,29.61,38.85,28.99,13.2,1.67,68.13,94.01,120.88,125.06,97.07,209.4,193.1,153.75,86.29,92.84,27.67,0.0
76,ANSALAPI.NS,30.43,40.23,40.6,45.87,50.47,38.98,34.9,42.61,44.6,54.01,58.49,66.54,65.94,69.12,57.0,55.47,73.39,127.56,186.56,163.04
77,ANSALHSG.NS,55.53,30.95,34.42,23.41,19.69,25.0,34.14,46.1,75.4,129.49,101.58,215.01,197.19,150.42,110.87,118.16,141.45,112.77,80.9,62.8
78,ANTGRAPHIC.NS,0.05,0.04,0.07,0.07,0.09,0.1,0.15,0.15,0.19,0.16,0.21,0.23,0.26,0.24,0.25,0.3,0.29,0.31,0.3,3.36
79,ANURAS.NS,102.81,119.49,106.34,81.15,105.78,100.3,68.55,57.66,56.94,54.68,227.62,149.31,,,121.51,91.06,72.73,,,
80,APARINDS.NS,3761.33,3440.64,2246.08,1557.57,1844.81,1982.3,1441.27,1247.87,1305.03,1301.55,1165.38,1178.11,960.34,842.2,592.68,737.32,521.42,447.66,524.26,402.64
81,APCOTEXIND.NS,216.91,208.3,184.57,104.28,95.67,301.7,252.78,186.41,128.92,339.89,285.02,523.41,488.19,388.82,278.05,183.73,184.72,141.48,136.04,145.72
82,APEX.NS,257.31,342.5,292.54,261.91,264.67,279.91,319.56,291.12,251.47,249.73,257.13,170.18,,,,,,,,
83,APLAPOLLO.NS,499.33,514.85,362.06,481.02,2384.72,2460.57,1827.14,1316.8,1277.99,860.58,877.73,720.8,509.14,290.3,186.13,191.51,259.88,629.17,464.6,360.57
84,APLLTD.NS,298.86,261.97,256.19,257.01,219.23,194.18,156.21,156.84,158.7,107.1,97.81,79.18,72.95,61.79,,,,,,
85,APOLLO.NS,505.83,453.74,424.08,636.51,703.62,599.22,516.3,452.92,388.79,330.12,277.56,238.47,208.24,186.99,295.51,242.05,191.5,172.55,139.89,142.47
86,APOLLOHOSP.NS,505.83,453.74,424.08,636.51,703.62,599.22,516.3,452.92,388.79,330.12,277.56,238.47,208.24,186.99,295.51,242.05,191.5,172.55,139.89,142.47
87,APOLLOPIPE.NS,248.3,232.52,199.37,395.19,311.2,301.93,257.82,218.5,0.0,1.52,1.46,1.36,1.31,39.03,23.09,0.19,0.32,0.84,0.74,0.39
88,APOLLOTYRE.NS,276.17,272.41,230.66,184.75,193.38,215.96,180.05,175.51,172.04,175.56,172.82,168.77,161.83,108.92,100.1,81.15,75.86,709.12,683.3,584.64
89,APTECHT.NS,36.76,64.64,36.47,14.16,23.14,35.29,39.89,30.89,22.77,25.17,26.92,20.58,18.64,19.3,26.59,,,,,
90,APTUS.NS,21.8,18.65,13.66,56.32,46.02,37.98,26.21,,,,,,,,,,,,,
91,ARE&M.NS,615.32,608.07,509.12,418.6,400.44,397.72,354.75,311.31,274.61,246.55,201.2,173.37,277.19,206.2,172.47,156.61,193.31,529.07,348.59,208.82
92,ARIHANTSUP.NS,22.23,18.18,36.73,25.62,14.27,16.45,25.53,31.29,15.81,14.28,11.75,16.93,23.52,37.02,8.53,0.0,494.7,56.0,-1.26,0.21
93,ARSHIYA.NS,,0.99,2.36,2.56,9.25,5.39,3.74,5.17,4.12,3.96,44.94,113.31,100.74,77.0,46.57,43.64,35.42,103.91,12.78,3.02
94,ARTEMISMED.NS,62.21,53.26,41.15,303.73,425.37,259.81,239.02,,191.01,,,,,,,,,,,
95,ARVIND.NS,271.39,295.32,286.26,174.9,259.12,248.86,248.26,231.5,209.39,202.32,184.97,146.5,137.22,105.47,99.87,107.08,101.07,87.36,75.79,85.41
96,ARVINDFASN.NS,45.8,55.76,38.81,28.12,145.57,174.12,86.4,26.89,0.0,,,,,,,,,,,
97,ARVSMART.NS,33.25,25.88,28.3,26.4,42.57,66.36,40.18,31.69,43.8,6.1,43.39,247.36,1400.21,6038.89,,,,,,
98,ASAHIINDIA.NS,170.56,161.18,127.92,97.92,106.92,117.59,106.56,94.89,89.18,84.62,86.59,119.66,102.92,94.95,79.01,76.49,62.21,47.61,36.58,73.62
99,ASAL.NS,420.26,387.61,283.52,241.01,289.05,220.44,179.28,160.93,159.04,330.2,235.82,173.86,153.11,100.38,89.47,107.6,177.21,122.64,116.33,86.31
100,ASALCBR.NS,420.26,387.61,283.52,241.01,289.05,220.44,179.28,160.93,159.04,330.2,235.82,173.86,153.11,100.38,89.47,107.6,177.21,122.64,116.33,86.31
101,ASHIANA.NS,86.7,34.25,16.81,18.71,25.22,28.43,26.57,32.44,49.43,11.74,8.22,64.04,117.14,77.63,56.24,44.14,65.84,92.82,62.68,21.34
102,ASHOKA.NS,275.24,227.0,163.56,135.99,140.26,136.1,130.71,107.21,103.44,123.98,98.55,311.03,254.13,227.18,244.3,162.45,71.44,158.48,78.89,61.18
103,ASHOKLEY.NS,130.66,123.1,73.88,52.13,59.5,98.98,90.04,70.77,66.54,47.66,37.37,46.91,48.27,84.02,55.9,46.37,59.93,55.59,43.88,35.9
104,ASIANPAINT.NS,321.62,313.58,262.6,193.04,179.25,170.89,147.7,131.85,131.84,121.44,108.62,935.33,830.29,660.56,559.6,470.2,374.85,307.9,255.19,213.96
105,ASKAUTOLTD.NS,148.44,129.62,,,,,,,,,,,,,,,,,,
106,ASTEC.NS,233.66,320.4,345.23,283.28,266.87,220.38,188.24,152.73,126.34,129.12,102.25,91.81,65.47,65.53,66.06,89.53,58.53,367.18,4759.81,3975.2
107,ASTERDM.NS,40.77,30.7,22.45,15.02,15.22,11.77,10.49,9.41,4.69,1.36,0.02,0.07,,,,,,,,
108,ASTRAL.NS,189.72,171.43,171.31,123.7,135.28,159.9,134.4,123.3,111.31,105.78,190.92,365.31,257.75,182.78,256.85,171.5,120.85,89.23,95.29,111.03
109,ASTRAMICRO.NS,95.24,93.21,84.86,68.02,53.29,33.04,41.2,45.09,48.44,77.52,64.91,27.8,24.9,19.7,19.68,21.69,22.96,19.36,19.76,122.87
110,ASTRAZEN.NS,518.21,401.19,322.24,325.42,332.72,291.32,228.4,217.48,225.49,206.83,189.59,156.17,212.61,237.72,,,,,,
111,ATFL.NS,311.15,348.18,375.88,365.91,342.68,337.94,332.8,330.3,320.93,311.77,313.85,323.74,289.11,295.75,266.56,317.46,414.72,426.01,384.88,432.48
112,ATGL.NS,40.66,39.81,27.62,15.42,17.04,15.63,53.5,,,,,,,,,,,,,
113,ATLANTA.NS,10.86,1.72,24.12,2.01,4.24,2.15,15.21,26.6,16.67,60.88,38.29,30.17,20.89,34.17,121.46,119.27,66.66,102.85,89.31,91.58
114,ATUL.NS,1479.19,1714.11,1686.17,1186.2,1315.92,1319.34,1047.0,907.86,826.99,861.07,796.98,674.35,604.98,516.98,400.52,398.72,341.41,306.95,278.73,234.46
115,ATULAUTO.NS,173.05,198.79,133.92,134.87,285.02,303.86,253.37,216.62,236.98,219.91,383.9,324.73,395.93,332.06,197.06,193.17,145.5,220.29,232.81,177.37
116,AURIONPRO.NS,235.66,184.25,127.14,84.08,116.8,140.41,113.43,96.11,72.97,131.61,120.5,115.8,95.49,78.94,35.94,38.37,45.77,22.92,18.21,11.07
117,AUROPHARMA.NS,181.7,218.34,192.65,270.07,226.43,209.21,175.28,163.97,156.63,277.23,243.94,186.3,147.08,141.98,583.64,519.88,415.67,351.72,261.67,213.68
118,AURUM.NS,2.71,2.35,0.58,3.32,3.57,3.44,3.22,6.68,5.39,0.0,0.0,,,,,,,,,
119,AUTOAXLES.NS,1475.1,1537.65,986.38,599.24,629.94,1283.11,1005.4,775.75,718.61,305.15,,,,,,,,,,
120,AUTOIND.NS,167.02,165.95,149.19,91.77,117.01,167.27,183.1,224.02,235.11,293.15,323.08,468.04,478.54,404.58,229.1,191.78,243.38,177.04,139.24,113.87
121,AVALON.NS,67.21,82.71,27216.22,,,,,21077.8,,,,,,,,,,,,
122,AVANTIFEED.NS,314.89,296.62,297.08,237.99,232.12,200.99,619.91,491.21,444.41,1955.58,1245.85,713.46,491.77,259.69,120.2,91.24,157.24,186.15,239.31,260.94
123,AVTNPL.NS,33.05,38.23,35.58,30.89,25.28,21.7,19.7,20.18,17.55,16.85,17.8,33.62,286.56,182.43,111.28,126.93,108.35,95.02,188.19,150.48
124,AWL.NS,378.88,425.19,402.87,,,,,,1547.43,1294.61,1351.53,1303.37,,,,,,,,
125,AZAD.NS,57.65,1523.46,1276.68,796.4,,,,,,,,,,,,,,,,
126,BAJAJ-AUTO.NS,1600.59,1287.38,1145.41,958.67,1033.92,1045.37,869.65,752.21,780.54,746.86,696.32,691.06,674.88,566.69,816.51,601.34,610.12,931.04,748.38,
127,BAJAJCON.NS,67.77,66.6,59.53,61.99,57.22,61.65,56.26,53.71,58.9,55.68,45.54,41.13,32.09,121.84,132.0,488.84,0.0,0.0,,
128,BAJAJCORP.NS,67.77,66.6,59.53,61.99,57.22,61.65,56.26,53.71,58.9,55.68,45.54,41.13,32.09,121.84,132.0,488.84,0.0,0.0,,
129,BAJAJELEC.NS,402.9,470.77,415.27,399.27,437.48,651.68,461.35,420.74,456.86,422.59,403.11,339.59,311.01,277.34,228.2,1026.89,797.83,1255.55,983.66,757.51
130,BAJAJFINSV.NS,10.66,6.76,39.2,20.34,49.0,26.58,15.2,9.67,15.23,12.58,9.08,8.89,9.38,8.28,8.78,7.74,7.19,,,
131,BAJAJHIND.NS,48.83,50.64,44.75,60.61,60.56,61.81,53.08,39.83,43.21,55.93,103.91,,,,,,,,,
132,BAJAJHLDNG.NS,279.62,168.49,159.62,33.02,194.43,89.28,85.28,79.12,125.3,87.36,71.85,66.82,58.22,96.55,76.0,21.66,34.39,931.04,748.43,578.39
133,BAJFINANCE.NS,759.53,590.31,461.86,391.16,397.08,301.4,231.03,182.19,1364.02,1076.36,810.54,621.48,523.48,380.11,243.86,161.76,111.94,99.91,100.07,88.17
134,BALAJITELE.NS,57.01,51.14,23.94,31.23,57.02,43.54,41.19,53.79,33.83,32.16,20.17,21.6,19.84,23.09,23.44,45.23,50.45,48.68,42.99,30.17
135,BALAMINES.NS,412.9,532.79,591.97,378.93,283.65,293.15,266.55,206.02,195.96,186.68,188.3,157.96,138.74,107.02,404.15,388.39,336.13,270.83,428.7,292.41
136,BALKRISIND.NS,481.05,507.53,427.66,297.87,247.41,271.31,230.07,385.71,335.38,391.06,370.04,330.09,291.74,200.1,717.34,647.87,512.87,453.84,320.83,394.06
137,BALLARPUR.NS,,,,,2.32,3.52,2.34,3.3,8.57,6.88,,,,,,,,,,
138,BALMLAWRIE.NS,135.59,135.08,119.44,89.01,89.46,155.72,151.42,149.68,559.48,961.51,921.6,1584.59,1402.47,1233.62,989.89,1004.68,886.49,785.49,757.44,606.34
139,BALRAMCHIN.NS,277.26,231.27,237.5,229.13,215.51,187.61,190.11,147.23,112.54,121.96,108.84,134.04,94.53,116.15,,,,,,35.09
140,BANCOINDIA.NS,141.41,140.35,111.21,91.39,83.67,102.94,86.55,71.33,68.93,58.74,62.53,62.32,78.25,65.42,57.68,40.92,42.7,390.17,258.2,204.45
141,BANG.NS,98.58,90.29,59.28,41.74,72.61,113.65,124.49,117.32,107.73,95.05,120.48,174.48,101.21,107.43,95.53,102.27,89.92,74.01,154.86,67.54
142,BARBEQUE.NS,267.62,275.47,195.59,133.54,281.17,251.38,206.94,181.13,300.34,228.18,242.27,192.62,135.36,,,,,,,
143,BASF.NS,3180.29,3151.95,3026.04,2207.98,1744.29,1391.93,1289.77,1171.96,1096.61,1087.03,1023.31,910.29,812.18,707.76,339.23,396.59,322.16,273.28,242.5,233.38
144,BATAINDIA.NS,270.63,268.55,185.77,132.83,237.57,227.84,204.57,191.96,188.13,419.21,,,,,,,,,,
145,BAYERCROP.NS,1136.57,1144.7,1054.43,949.06,803.88,923.41,790.06,791.75,1057.32,1017.3,886.67,689.95,575.27,541.09,436.85,375.33,313.17,,,
146,BBL.NS,3313.18,2509.9,2239.61,1293.53,1643.3,1649.66,1369.51,1198.73,1131.56,1080.91,860.79,959.95,1270.05,1244.02,1172.66,968.04,1001.31,836.37,535.76,4320.15
147,BBOX.NS,23.01,21.64,89.48,76.71,103.98,103.18,106.56,86.39,110.01,119.47,107.12,206.25,437.32,215.21,,,,,305.86,227.49
148,BBTC.NS,37.43,35.03,48.62,29.75,30.69,34.66,29.78,37.3,34.65,34.47,39.36,34.88,186.43,228.4,211.85,185.8,163.02,146.54,123.13,104.75
149,BCG.NS,,2.15,1.82,7.21,9.8,9.63,9.56,9.79,9.62,10.32,12.68,12.4,10.58,117.48,94.69,72.82,53.7,17.85,14.02,5.74
150,BCP.NS,13.65,13.43,18.1,25.55,32.75,82.26,419.58,301.78,209.59,189.68,129.96,517.91,518.14,,691.35,712.4,,,,
151,BDL.NS,129.27,135.82,153.72,104.42,168.88,167.47,250.3,39992.7,42557.2,24702.7,15508.3,9359.6,,,,,,,,
152,BECTORFOOD.NS,257.2,214.96,157.03,142.61,123.58,128.5,113.5,205.19,,,,,,,,,,,,
153,BEDMUTHA.NS,251.68,212.86,204.61,120.28,146.66,199.95,246.16,284.74,237.56,152.85,105.51,102.15,99.25,90.35,124.3,163.18,127.33,216.5,148.29,96.63
154,BEL.NS,27.59,24.14,62.85,57.72,53.03,49.6,42.36,38.56,303.96,855.33,784.44,762.98,720.96,698.14,649.45,574.24,508.9,487.63,439.21,398.92
155,BEML.NS,970.58,933.38,1038.37,851.57,725.08,833.34,776.96,598.2,714.28,672.5,697.0,672.44,652.7,634.93,683.67,675.65,609.78,663.03,562.44,472.34
156,BEPL.NS,49.09,82.13,84.02,77.87,66.56,73.82,62.19,37.74,32.0,36.23,30.55,25.25,24.98,27.96,18.86,13.57,15.51,14.48,15.98,9.15
157,BERGEPAINT.NS,85.8,97.49,79.7,61.99,58.6,56.8,48.65,43.52,59.59,54.9,97.69,87.33,76.91,60.9,48.74,47.38,42.0,36.37,49.18,41.41
158,BESTAGRO.NS,760.57,634.38,479.72,410.97,313.14,300.93,422.17,124.31,28.44,0.22,0.23,0.26,0.45,0.82,,,,,,
159,BFUTILITIE.NS,5.15,4.79,4.88,3.87,5.11,4.73,3.94,5.64,1.38,,,,,,,,,,,
160,BGRENERGY.NS,140.27,111.73,169.17,157.94,373.06,447.52,457.09,476.45,448.74,466.32,456.71,430.59,477.7,658.3,426.28,266.96,209.0,717.72,,
161,BHANDARI.NS,3.62,2.88,11.78,130.07,165.65,221.88,188.94,170.19,130.09,113.34,86.24,77.68,61.09,170.61,2.31,1.66,1.71,2.08,1.5,1.24
162,BHARATFIN.NS,,,,,,216.58,137.61,112.56,91.83,57.32,47.96,30.7,60.22,162.53,138.86,108.15,36.65,16.7,6.44,
163,BHARATFORG.NS,192.61,162.63,134.32,78.42,98.01,140.02,114.17,165.98,186.13,195.33,145.99,135.34,158.31,126.57,83.36,92.4,98.63,83.73,70.97,308.07
164,BHARATGEAR.NS,431.81,499.1,712.57,540.54,497.65,729.97,622.28,520.33,508.44,530.71,537.07,502.22,550.74,428.53,319.75,310.36,307.24,255.03,275.83,245.28
165,BHARATRAS.NS,2514.03,2970.6,3131.39,2570.2,2859.82,2335.25,1871.86,1460.89,1072.1,1032.68,850.56,441.44,332.82,220.8,238.7,249.75,163.04,140.6,112.13,122.2
166,BHARATWIRE.NS,91.39,86.76,64.34,39.98,57.33,53.53,36.68,14.42,13.5,26.1,27.97,24.97,26.2,61.29,,,,,,
167,BHARTIARTL.NS,163.6,149.33,126.37,117.13,99.56,124.1,134.24,155.79,150.85,138.83,124.88,119.42,109.55,100.11,93.77,179.37,135.73,94.16,59.45,43.93
168,BHARTIHEXA.NS,141.78,263.16,216.21,184.09,154.96,144.54,176.33,205.02,207.51,188.01,162.75,146.64,135.16,,,,,,,
169,BHEL.NS,68.62,67.1,60.92,49.71,61.63,87.37,78.79,116.22,108.83,123.32,159.78,197.85,196.02,863.02,678.75,543.68,399.19,709.38,549.17,393.81
170,BHUSANSTL.NS,,,,195.88,166.44,191.06,751.06,605.08,521.05,469.98,427.16,489.63,468.14,329.65,1323.65,1173.89,984.24,901.68,676.97,660.95
171,BIKAJI.NS,91.65,77.93,64.07,,,,,,,,,,,,,,,,,
172,BINANIIND.NS,0.0,0.48,0.4,-0.92,-0.76,0.74,11.78,50.65,176.18,15.73,40.74,60.54,47.03,11.85,7.77,4.76,0.0,0.06,0.19,4.21
173,BINDALAGRO.NS,2.17,0.8,0.94,0.75,0.71,0.83,0.79,0.9,17.6,2.29,4.21,6.16,19.06,7.57,5.38,5.42,24.49,7.41,29.47,59.99
174,BIOCON.NS,17.72,16.6,14.48,16.9,16.57,48.08,40.32,129.4,115.09,112.08,110.13,96.9,77.79,78.06,56.42,45.21,83.4,82.54,69.16,65.04
175,BIRLACABLE.NS,228.5,264.07,178.48,109.51,74.36,167.44,108.35,70.36,83.26,87.97,96.86,41.27,25.03,22.6,32.91,39.38,42.55,17.4,28.83,20.05
176,BIRLACORPN.NS,739.74,706.56,622.12,576.83,616.36,574.42,483.58,434.38,425.27,416.82,391.69,338.01,296.97,279.69,281.06,234.1,223.99,203.42,158.22,147.87
177,BIRLAMONEY.NS,69.05,46.58,41.03,33.85,29.6,29.85,28.89,22.27,20.14,20.22,11.75,11.89,12.17,17.85,17.59,12.24,215.87,116.04,201.59,133.06
178,BLISSGVS.NS,57.83,57.45,61.38,45.13,42.85,41.36,28.88,33.74,31.64,30.35,28.16,34.29,25.85,21.22,16.37,12.89,15.88,98.85,15.45,16.46
179,BLKASHYAP.NS,53.86,48.42,50.57,33.22,35.16,33.2,43.48,43.3,40.97,39.31,62.43,73.42,93.52,74.6,495.84,711.68,750.95,786.7,453.2,645.3
180,BLS.NS,2.88,2.11,3.93,1.98,5.19,5.05,3.99,23.52,15.51,13.3,,,,,,,,,,
181,BLUEDART.NS,2217.1,2176.86,1855.65,1380.35,1332.66,1332.26,1174.6,1128.31,1074.04,954.76,814.04,911.83,,,,,,,,192.88
182,BLUEJET.NS,41.02,41.56,39.4,5033.61,89699.16,,,,,,,,,,,,,,,
183,BLUESTARCO.NS,437.69,763.56,558.36,398.99,497.04,496.75,448.23,432.32,392.6,342.55,308.04,307.67,300.25,317.88,280.75,283.79,247.02,177.3,651.4,509.74
184,BODALCHEM.NS,110.22,123.79,152.97,92.35,100.02,112.89,91.74,108.36,83.39,95.81,87.94,48.01,55.3,57.41,246.87,209.09,405.91,252.45,457.17,57.32
185,BOMDYEING.NS,81.75,129.45,96.87,57.78,91.73,214.46,128.89,93.14,89.33,115.14,128.6,112.77,540.02,458.62,430.3,348.1,242.05,128.52,263.38,266.54
186,BOROLTD.NS,82.23,83.67,65.73,46.2,51.8,30.28,,,,,,,,,,,,,,
187,BORORENEW.NS,75.52,52.73,49.42,38.62,23.77,38.68,128.07,1155.84,961.96,583.56,518.8,447.34,401.94,300.56,222.27,169.71,195.81,185.12,188.34,167.89
188,BOSCHLTD.NS,5670.2,5060.78,3993.76,3294.24,3336.14,4096.61,3832.82,3421.38,3089.62,3848.89,,,,,,,,,,
189,BPCL.NS,2097.16,2221.82,1701.27,1111.11,1445.86,1511.4,1202.01,1542.12,2618.01,3292.68,3596.57,3320.74,5863.06,4194.26,3325.14,3708.4,3048.28,2670.7,2517.78,1929.25
190,BRFL.NS,,,2.62,3.43,15.37,29.65,97.28,208.45,309.93,262.46,216.0,237.35,203.19,176.3,144.3,194.27,147.0,77.68,40.63,31.51
191,BRIGADE.NS,87.59,95.73,93.84,72.26,90.48,132.61,92.98,131.84,108.36,87.64,79.75,69.14,50.93,40.14,28.92,31.16,41.04,140.5,68.15,151.24
192,BRITANNIA.NS,671.9,648.34,555.07,513.86,456.83,436.22,775.02,701.2,662.33,598.25,525.83,469.72,416.42,353.58,1425.15,1302.79,1083.23,920.6,717.17,664.53
193,BRNL.NS,0.88,3.18,10.87,2.28,0.8,1.25,3.97,2.61,3.84,10.43,10.94,0.68,,,,,,,,
194,BSE.NS,75.43,44.27,44.88,94.2,84.14,73.31,81.46,61.7,24.3,39.88,29.14,30.08,36.46,39.82,46.98,41.13,538.88,356.85,214.78,0.0
195,BSL.NS,647.53,458.35,423.46,312.3,378.97,424.89,391.25,427.39,367.53,369.1,328.54,286.77,295.01,263.23,211.57,257.19,243.93,247.24,234.94,202.92
196,BSOFT.NS,95.84,87.94,73.32,59.16,52.84,36.55,76.1,70.12,67.18,66.24,47.98,37.09,34.44,60.05,54.38,82.54,59.49,42.42,177.01,137.11
197,BURNPUR.NS,15.6,16.98,17.56,14.37,9.01,10.07,4.88,8.63,10.22,9.97,14.33,13.29,7.69,6.37,6.57,4.53,6.29,21.19,26.57,26.02
198,BUTTERFLY.NS,520.86,590.93,562.26,486.39,379.59,364.65,302.33,226.44,503.9,295.86,427.41,408.01,382.12,210.53,,,,,55.29,32.86
199,CADILAHC.NS,107.54,86.28,77.95,75.98,61.99,58.96,56.74,31.55,68.67,258.03,197.37,179.48,153.85,142.59,138.24,127.82,133.9,115.47,203.28,173.57
200,CAIRN.NS,,,,,,,,,24.8,41.64,52.04,48.17,0.05,0.01,0.02,0.02,,,,
201,CAMLINFINE.NS,46.17,50.25,43.67,47.06,47.82,45.2,33.23,31.3,42.64,44.92,79.31,66.79,53.87,177.05,213.98,173.58,136.95,97.54,0.0,
202,CAMPUS.NS,47.44,48.71,39.24,,,,,,,,,,,,,,,,,
203,CAMS.NS,214.57,189.54,176.63,138.09,135.66,133.58,124.27,93.95,89.68,75.12,62.62,60.56,55.94,,,,,,,
204,CANFINHOME.NS,264.56,205.91,149.28,151.55,152.47,129.68,113.98,508.24,406.77,306.62,282.0,191.57,139.68,112.86,104.31,108.8,108.1,92.74,72.26,61.97
205,CAPACITE.NS,220.76,263.77,196.61,129.58,225.17,263.3,196.73,279.21,1396.73,1022.19,431.15,8.7,,,,,,,,
206,CAPF.NS,0.79,0.55,0.45,0.5,0.5,0.48,0.4,0.69,0.73,11.97,3.74,8.42,0.21,0.21,,,,,,
207,CAPLIPOINT.NS,82.3,69.65,69.66,63.81,69.78,70.99,56.42,45.19,153.07,,,,,,,,,29.52,,
208,CARBORUNIV.NS,138.4,132.14,116.68,88.2,87.18,94.22,83.42,74.51,68.97,62.1,61.17,58.72,60.05,98.99,79.91,71.48,63.55,50.21,40.31,67.53
209,CAREERP.NS,34.41,28.53,16.13,9.96,28.71,37.84,39.14,40.14,38.35,34.65,29.86,38.91,43.89,43.36,42.76,37.42,31.51,57.33,47.65,
210,CARERATING.NS,94.82,83.78,73.96,74.56,74.37,100.93,109.16,95.24,90.08,88.7,79.13,69.61,62.37,179.53,143.1,121.12,66.84,,,
211,CARTRADE.NS,39.81,33.45,26.78,258.89,349.18,,,,,,,,,,,,,,,
212,CARYSIL.NS,138.45,125.39,145.36,93.03,80.3,76.61,296.4,272.44,267.61,249.9,230.06,175.97,209.39,186.42,156.97,178.82,112.56,77.73,52.89,47.6
