,Ticker,Revenue_Mar 24,Revenue_Mar 23,Revenue_Mar 22,Revenue_Mar 21,Revenue_Mar 20,Revenue_Mar 19,Revenue_Mar 18,Revenue_Mar 17,Revenue_Mar 16,Revenue_Mar 15,Revenue_Mar 14,Revenue_Mar 13,Revenue_Mar 12,Revenue_Mar 11,Revenue_Mar 10,Revenue_Mar 09,Revenue_Mar 08,Revenue_Mar 07,Revenue_Mar 06,Revenue_Mar 05
1319,VASWANI.NS,129.78,130.62,124.81,104.78,117.48,106.37,79.11,85.17,82.89,88.93,79.0,78.56,84.69,107.76,68.17,118.77,65.41,40.76,21.74,
1321,VEDL.NS,190.21,183.01,170.1,100.65,96.39,103.88,122.38,98.56,114.99,109.62,96.24,25.17,74.94,86.22,63.81,64.47,907.46,512.46,450.12,380.89
1322,VEEDOL.NS,914.78,877.86,733.91,3092.06,3315.53,3509.82,3160.26,2827.94,2900.79,11244.12,10689.88,9894.02,9210.69,7948.85,7487.36,6081.03,4917.37,4125.67,2946.07,2490.99
1323,VENKEYS.NS,2653.54,3005.3,3123.57,2212.35,2314.85,2160.18,1908.67,1757.3,1509.83,1842.93,1848.59,1518.83,1054.44,906.94,751.17,606.14,557.05,437.07,406.42,365.15
1324,VENUSPIPES.NS,395.25,272.17,254.21,,,,,,,,,,,,,,,,,
1325,VERTOZ.NS,9.94,45.26,17.14,13.85,12.83,35.59,25.39,5308.91,2883.85,2060.6,1858.15,1249.3,,,,,,,,
1327,VGUARD.NS,104.96,93.7,80.52,62.74,57.95,60.29,54.39,49.23,619.0,582.5,508.44,455.72,332.9,243.44,160.52,113.99,100.45,109.63,595.95,447.05
1328,VIDEOIND.NS,,,,,,27.11,82.7,347.03,,,,,,,,,,,,
1329,VIJAYA.NS,51.3,44.05,44.22,810.51,725.21,616.23,525.27,462.07,366.73,46.21,38.17,32.04,11.66,,0.0,0.0,0.0,0.0,,
1330,VIKASECO.NS,1.78,4.24,2.67,4.15,6.87,8.76,8.31,13.26,12.08,8.3,16.69,155.18,109.33,97.29,78.4,56.75,44.98,1.41,3.17,0.03
1331,VIKASLIFE.NS,2.52,3.22,2.69,1.13,2.35,3.25,2.94,33.14,296.35,257.56,237.74,467.82,,,,,,,,
1332,VIKASPROP.NS,,,,0.46,0.14,1.04,0.0,1.72,64.15,161.56,77.49,120.65,63.41,73.3,63.99,19.69,27.86,4.39,15.41,21.59
1333,VINATIORGA.NS,183.28,202.83,157.18,92.84,100.1,219.48,144.65,124.21,122.3,149.59,141.0,111.99,90.63,65.35,47.92,196.84,152.01,127.26,88.08,74.31
1334,VIPCLOTHNG.NS,22.19,24.29,22.0,17.32,20.92,25.12,26.92,35.03,29.44,41.39,40.81,39.55,34.86,35.47,33.69,30.56,32.6,31.15,31.39,292.73
1335,VIPIND.NS,156.08,142.57,88.88,43.4,121.3,126.29,99.76,88.55,86.09,74.15,68.82,61.93,60.88,262.56,224.79,182.39,195.62,170.15,200.28,193.87
1336,VISAKAIND.NS,175.57,950.65,817.39,693.8,659.76,713.79,635.85,603.34,631.16,641.39,560.34,574.6,471.37,410.86,376.96,367.25,271.63,272.33,274.93,195.86
1337,VISASTEEL.NS,57.85,49.44,68.4,48.94,30.04,70.41,74.16,127.02,45.93,83.83,93.63,46.89,124.17,120.33,105.19,94.68,61.27,48.43,34.91,33.6
1338,VISESHINFO.NS,0.0,0.0,0.0,0.0,0.02,0.05,0.2,0.49,0.69,0.62,0.47,0.66,24.28,27.73,29.27,29.02,30.91,40.86,29.09,23.76
1339,VISHAL.NS,336.73,243.94,182.97,157.94,205.61,219.65,164.91,152.65,130.13,121.63,102.19,47.18,17.93,475.31,493.53,621.92,448.82,328.87,174.92,98.73
1340,VISHNU.NS,118.25,,,,,,,,,,,,,,,,,,,
1341,VISHWARAJ.NS,29.27,32.83,124.81,113.55,98.61,,,,,,,,,,,,,,,
1342,VIVIDHA.NS,10.07,11.53,10.27,4.55,4.7,10.58,9.79,6.54,5.72,5.06,10.95,20.81,35.14,37.65,89.29,145.89,115.6,93.76,181.21,390.57
1343,VIVIMEDLAB.NS,,21.33,26.34,25.33,33.36,30.51,31.67,70.33,197.11,265.46,266.6,263.45,274.8,304.81,211.33,161.14,165.52,174.0,105.26,106.24
1344,VLSFINANCE.NS,114.52,21.42,73.63,55.59,7.13,3.48,539.69,694.16,493.46,1192.1,984.0,581.74,534.92,150.55,263.0,157.09,4.83,3.25,2.42,1.83
1345,VMART.NS,1408.29,1247.93,843.66,545.75,915.44,790.81,675.44,554.41,448.0,399.93,320.16,213.52,382.93,0.0,210.3,207.69,176.38,,,
