Date,Open,High,Low,Close,Adj Close,Volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-01-01,63.59999847,63.9280014,63.59999847,63.71900177,63.71900177,130500.0,,,,,,
2014-01-02,63.70000076,64.29599762,62.72499847,62.85599899,62.85599899,675500.0,,,,,,
2014-01-03,62.41899872,62.93999863,62.34999847,62.79199982,62.79199982,266060.0,,,,,,
2014-01-06,62.75999832,62.84199905,62.40000153,62.54199982,62.54199982,125770.0,,,,,,
2014-01-07,62.54000092,62.88000107,62.13499832,62.39400101,62.39400101,146070.0,,,,,,
2014-01-08,62.40000153,62.60499954,62.29999924,62.43399811,62.43399811,154220.0,,,,,,
2014-01-09,62.40000153,62.58300018,62.19599915,62.35699844,62.35699844,168880.0,,,,,,
2014-01-10,62.40000153,63.09000015,62.1230011,62.47200012,62.47200012,154220.0,,,,,,
2014-01-13,62.59999847,63.64500046,62.5,63.35900116,63.35900116,404270.0,,,,,,
2014-01-14,63.25,63.49100113,63.0,63.0890007,63.0890007,155620.0,,,,,,
2014-01-15,63.20000076,63.89799881,63.20000076,63.80699921,63.80699921,234930.0,,,,,,
2014-01-16,64.0,64.07499695,63.71300125,63.88100052,63.88100052,274200.0,,,,,,
2014-01-17,63.69300079,63.9640007,63.125,63.22700119,63.22700119,146150.0,,,,,,
2014-01-20,63.29999924,63.95000076,63.12799835,63.87799835,63.87799835,97540.0,,,,,,
2014-01-21,63.90000153,64.0,63.61100006,63.70899963,63.70899963,181970.0,,,,,,
2014-01-22,63.79999924,64.31999969,63.59899902,64.24099731,64.24099731,234190.0,,,,,,
2014-01-23,64.09700012,64.39900208,63.90000153,64.29100037,64.29100037,195560.0,,,,,,
2014-01-24,63.90000153,64.08000183,63.32500076,63.46300125,63.46300125,197720.0,,,,,,
2014-01-27,63.0,63.20199966,61.95000076,62.10200119,62.10200119,310470.0,,,,,,
2014-01-28,62.11500168,62.48899841,61.7120018,62.13100052,62.13100052,207410.0,,,,,,
2014-01-29,62.40000153,62.79999924,62.23099899,62.43000031,62.43000031,170750.0,,,,,,
2014-01-30,61.70100021,62.06499863,61.15000153,61.67399979,61.67399979,297350.0,,,,,,
2014-01-31,61.79999924,61.84899902,61.61500168,61.72399902,61.72399902,158190.0,,,,,,
2014-02-03,61.67499924,61.77000046,61.10100174,61.29100037,61.29100037,180350.0,,,,,,
2014-02-04,61.18999863,61.18999863,60.31000137,60.93199921,60.93199921,483320.0,,,,,,
2014-02-05,58.61500168,61.20000076,58.61500168,61.09199905,61.09199905,350780.0,,,,,,
2014-02-06,64.98999786,66.35500336,60.5,61.10599899,61.10599899,214550.0,,,,,,
2014-02-07,61.5,61.69900131,61.22100067,61.60499954,61.60499954,238130.0,,,,,,
2014-02-10,61.61000061,61.79999924,61.29999924,61.47900009,61.47900009,106710.0,,,,,,
2014-02-11,61.5,61.70000076,61.29999924,61.59899902,61.59899902,158560.0,,,,,,
2014-02-12,61.63100052,62.08000183,61.63100052,61.72499847,61.72499847,95650.0,,,,,,
2014-02-13,61.79999924,61.79999924,60.70100021,60.83399963,60.83399963,176770.0,,,,,,
2014-02-14,60.90000153,61.43000031,60.71300125,61.3390007,61.3390007,189270.0,,,,,,
2014-02-17,61.40000153,61.79999924,61.01699829,61.61899948,61.61899948,213570.0,,,,,,
2014-02-18,61.70000076,62.18399811,61.5019989,61.99599838,61.99599838,177550.0,,,,,,
2014-02-19,62.0,62.39500046,61.9129982,62.25,62.25,129280.0,,,,,,
2014-02-20,62.20000076,62.20000076,61.68999863,61.82899857,61.82899857,108320.0,,,,,,
2014-02-21,58.70500183,62.47999954,58.70500183,62.32400131,62.32400131,92670.0,,,,,,
2014-02-24,62.29700089,62.64400101,62.00500107,62.59199905,62.59199905,122640.0,,,,,,
2014-02-25,62.70000076,62.84999847,62.43000031,62.79999924,62.79999924,138670.0,,,,,,
2014-02-26,62.72000122,63.15000153,62.69900131,63.06600189,63.06600189,317690.0,,,,,,
2014-02-28,63.0,63.54000092,62.99900055,63.44100189,63.44100189,393610.0,,,,,,
2014-03-03,63.39699936,63.59000015,62.80099869,62.87900162,62.87900162,238500.0,,,,,,
2014-03-04,62.90000153,63.72999954,62.90000153,63.65499878,63.65499878,538390.0,,,,,,
2014-03-05,63.78699875,64.08000183,63.56100082,64.01100159,64.01100159,513290.0,,,,,,
2014-03-06,64.15000153,64.7990036,64.05500031,64.66899872,64.66899872,494140.0,,,,,,
2014-03-07,64.79699707,66.09999847,64.59999847,66.02400208,66.02400208,814230.0,,,,,,
2014-03-10,65.69999695,65.98200226,65.38400269,65.73799896,65.73799896,640360.0,,,,,,
2014-03-11,65.69999695,65.90000153,64.91999817,65.10199738,65.10199738,234530.0,,,,,,
2014-03-12,65.08999634,65.48999786,64.82099915,65.25499725,65.25499725,151310.0,,,,,,
2014-03-13,65.25499725,65.58899689,64.80000305,64.91300201,64.91300201,117090.0,,,,,,
2014-03-14,64.69999695,65.12999725,64.5,65.03600311,65.03600311,284660.0,,,,,,
2014-03-18,65.04000092,65.71199799,64.99900055,65.15799713,65.15799713,254050.0,,,,,,
2014-03-19,65.15799713,65.5,65.0,65.30200195,65.30200195,357820.0,,,,,,
2014-03-20,65.19000244,65.39900208,64.81500244,64.85800171,64.85800171,149620.0,,,,,,
2014-03-21,64.91600037,65.18900299,64.84999847,64.96800232,64.96800232,223580.0,,,,,,
2014-03-24,65.0,65.98999786,65.0,65.85199738,65.85199738,287440.0,,,,,,
2014-03-25,65.79000092,66.0,65.69999695,65.97799683,65.97799683,315480.0,,,,,,
2014-03-26,66.09999847,66.23699951,65.80000305,65.88500214,65.88500214,382730.0,,,,,,
2014-03-27,65.8010025,66.48899841,65.8010025,66.26599884,66.26599884,516410.0,,,,,,
2014-03-28,66.30000305,67.05899811,66.30000305,66.94100189,66.94100189,488280.0,,,,,,
2014-03-31,67.59999847,67.59999847,66.75099945,67.0,67.0,272920.0,,,,,,
2014-04-01,67.03299713,67.25,66.70999908,67.14600372,67.14600372,199850.0,,,,,,
2014-04-02,67.23000336,67.80000305,67.19999695,67.61499786,67.61499786,169980.0,,,,,,
2014-04-03,67.69999695,67.69999695,67.09999847,67.35600281,67.35600281,223170.0,,,,,,
2014-04-04,67.30000305,67.31999969,67.0,67.10199738,67.10199738,174480.0,,,,,,
2014-04-07,67.12000275,67.30000305,66.53700256,66.99900055,66.99900055,289580.0,,,,,,
2014-04-09,67.19999695,68.15399933,67.11599731,67.98400116,67.98400116,277730.0,,,,,,
2014-04-10,67.92500305,68.3769989,67.90000153,67.98699951,67.98699951,286500.0,,,,,,
2014-04-11,67.60800171,68.09999847,67.60600281,67.90699768,67.90699768,155390.0,,,,,,
2014-04-15,67.91999817,68.09899902,67.35199738,67.66400146,67.66400146,232810.0,,,,,,
2014-04-16,67.66400146,68.09999847,67.05000305,67.20300293,67.20300293,177890.0,,,,,,
2014-04-17,67.19999695,68.0,67.10199738,67.94300079,67.94300079,164380.0,,,,,,
