year,total_return,annualized_return,downside_volatility,sharpe,days
2014,5.64583,50.65088065901708,0.0542993351222608,1.863899661047249,121
2015,1.0484040046422312,1.078354260405924,0.16082380552320188,1.336045562971404,247
2016,0.09312096044210816,0.09549739525203638,0.14303218949560959,0.6280453074261539,246
2017,0.9382969353125563,0.959097816239832,0.10654328321322354,4.737457319322504,248
2018,-0.1633539355398962,-0.16698552618810736,0.12114651435004777,-0.7920416115134034,246
2019,0.1490140434491709,0.15425885944279072,0.08580106772356834,1.1721802559023986,244
2020,0.1567599076491586,0.1581082989102558,0.29749607798646704,0.6510854079118216,250
2021,1.5419476989928782,1.590409140607047,0.11707570954991442,5.283275803109651,247
2022,-0.27261914148072675,-0.2772908963183587,0.1943169904687245,-0.8351280773612232,247
2023,0.4905793848279829,0.5076763197765626,0.14600470410863037,2.313529465495714,245
2024,0.5050358761688574,0.5149925996405329,0.2156458893229631,1.461031546368127,248
2025,0.07487252514204568,0.07644468643068936,0.18711631711437082,0.20121036284057492,247
2026,-0.10332347207502268,-0.3364799368732241,0.1689065561644405,-1.7098319889162534,67
